region;route;county
AR;US63;Arkansas
AR;US79;Arkansas
AR;US165;Arkansas
AR;AR1;Arkansas
AR;AR11;Arkansas
AR;AR13;Arkansas
AR;AR17;Arkansas
AR;AR33;Arkansas
AR;AR44;Arkansas
AR;AR130;Arkansas
AR;AR144;Arkansas
AR;AR146;Arkansas
AR;AR152;Arkansas
AR;AR153;Arkansas
AR;AR169;Arkansas
AR;AR276;Arkansas
AR;AR343;Arkansas
AR;AR980;Arkansas
AR;US82;Ashley
AR;US165;Ashley
AR;US425;Ashley
AR;AR8;Ashley
AR;AR52;Ashley
AR;AR133;Ashley
AR;AR144;Ashley
AR;AR160;Ashley
AR;AR169;Ashley
AR;AR173;Ashley
AR;AR189;Ashley
AR;AR209;Ashley
AR;AR902;Ashley
AR;US62;Baxter
AR;US412;Baxter
AR;AR5;Baxter
AR;AR14;Baxter
AR;AR101;Baxter
AR;AR126;Baxter
AR;AR177;Baxter
AR;AR178;Baxter
AR;AR201;Baxter
AR;AR202;Baxter
AR;AR263;Baxter
AR;AR341;Baxter
AR;AR342;Baxter
AR;AR345;Baxter
AR;AR980;Baxter
AR;I-49;Benton
AR;US62;Benton
AR;US71;Benton
AR;US412;Benton
AR;AR12;Benton
AR;AR16;Benton
AR;AR37;Benton
AR;AR43;Benton
AR;AR59;Benton
AR;AR72;Benton
AR;AR94;Benton
AR;AR102;Benton
AR;AR112;Benton
AR;AR127;Benton
AR;AR244;Benton
AR;AR264;Benton
AR;AR265;Benton
AR;AR279;Benton
AR;AR303;Benton
AR;AR340;Benton
AR;AR612;Benton
AR;AR980;Benton
AR;US62;Boone
AR;US65;Boone
AR;US412;Boone
AR;AR7;Boone
AR;AR14;Boone
AR;AR43;Boone
AR;AR123;Boone
AR;AR206;Boone
AR;AR281;Boone
AR;AR392;Boone
AR;AR397;Boone
AR;AR980;Boone
AR;US63;Bradley
AR;US278;Bradley
AR;AR8;Bradley
AR;AR160;Bradley
AR;AR172;Bradley
AR;AR189;Bradley
AR;AR275;Bradley
AR;AR600;Bradley
AR;AR980;Bradley
AR;US79;Calhoun
AR;US167;Calhoun
AR;US278;Calhoun
AR;AR8;Calhoun
AR;AR160;Calhoun
AR;AR203;Calhoun
AR;AR205;Calhoun
AR;AR274;Calhoun
AR;AR275;Calhoun
AR;US62;Carroll
AR;US412;Carroll
AR;AR21;Carroll
AR;AR23;Carroll
AR;AR103;Carroll
AR;AR143;Carroll
AR;AR187;Carroll
AR;AR221;Carroll
AR;AR311;Carroll
AR;AR980;Carroll
AR;US65;Chicot
AR;US82;Chicot
AR;US165;Chicot
AR;US278;Chicot
AR;AR8;Chicot
AR;AR35;Chicot
AR;AR52;Chicot
AR;AR142;Chicot
AR;AR144;Chicot
AR;AR159;Chicot
AR;AR160;Chicot
AR;AR208;Chicot
AR;AR209;Chicot
AR;AR257;Chicot
AR;AR293;Chicot
AR;AR722;Chicot
AR;AR980;Chicot
AR;I-30;Clark
AR;US67;Clark
AR;AR7;Clark
AR;AR8;Clark
AR;AR26;Clark
AR;AR51;Clark
AR;AR53;Clark
AR;AR84;Clark
AR;AR128;Clark
AR;AR182;Clark
AR;AR283;Clark
AR;AR346;Clark
AR;AR390;Clark
AR;US49;Clay
AR;US62;Clay
AR;US67;Clay
AR;AR1;Clay
AR;AR90;Clay
AR;AR119;Clay
AR;AR135;Clay
AR;AR139;Clay
AR;AR141;Clay
AR;AR211;Clay
AR;AR280;Clay
AR;AR328;Clay
AR;AR980;Clay
AR;AR5;Cleburne
AR;AR16;Cleburne
AR;AR25;Cleburne
AR;AR87;Cleburne
AR;AR92;Cleburne
AR;AR107;Cleburne
AR;AR110;Cleburne
AR;AR124;Cleburne
AR;AR210;Cleburne
AR;AR225;Cleburne
AR;AR263;Cleburne
AR;AR310;Cleburne
AR;AR336;Cleburne
AR;AR337;Cleburne
AR;AR356;Cleburne
AR;AR980;Cleburne
AR;US63;Cleveland
AR;US79;Cleveland
AR;US167;Cleveland
AR;AR8;Cleveland
AR;AR11;Cleveland
AR;AR35;Cleveland
AR;AR54;Cleveland
AR;AR97;Cleveland
AR;AR114;Cleveland
AR;AR133;Cleveland
AR;AR189;Cleveland
AR;AR212;Cleveland
AR;AR530;Cleveland
AR;US79;Columbia
AR;US82;Columbia
AR;US371;Columbia
AR;AR19;Columbia
AR;AR57;Columbia
AR;AR98;Columbia
AR;AR160;Columbia
AR;AR344;Columbia
AR;AR355;Columbia
AR;AR980;Columbia
AR;I-40;Conway
AR;US64;Conway
AR;AR9;Conway
AR;AR92;Conway
AR;AR95;Conway
AR;AR113;Conway
AR;AR124;Conway
AR;AR154;Conway
AR;AR155;Conway
AR;AR213;Conway
AR;AR247;Conway
AR;AR287;Conway
AR;AR915;Conway
AR;AR980;Conway
AR;I-57;Craighead
AR;I-555;Craighead
AR;US49;Craighead
AR;US63;Craighead
AR;US67;Craighead
AR;US78;Craighead
AR;AR1;Craighead
AR;AR18;Craighead
AR;AR69;Craighead
AR;AR91;Craighead
AR;AR135;Craighead
AR;AR139;Craighead
AR;AR141;Craighead
AR;AR148;Craighead
AR;AR158;Craighead
AR;AR163;Craighead
AR;AR226;Craighead
AR;AR230;Craighead
AR;AR349;Craighead
AR;AR351;Craighead
