region;route;county
AZ;I-40;Apache
AZ;US60;Apache
AZ;US64;Apache
AZ;US160;Apache
AZ;US180;Apache
AZ;US191;Apache
AZ;AZ61;Apache
AZ;AZ180A;Apache
AZ;AZ260;Apache
AZ;AZ261;Apache
AZ;AZ264;Apache
AZ;AZ273;Apache
AZ;AZ373;Apache
AZ;I-10;Cochise
AZ;US191;Cochise
AZ;AZ80;Cochise
AZ;AZ82;Cochise
AZ;AZ83;Cochise
AZ;AZ90;Cochise
AZ;AZ92;Cochise
AZ;AZ181;Cochise
AZ;AZ186;Cochise
AZ;I-17;Coconino
AZ;I-40;Coconino
AZ;US89;Coconino
AZ;US89A;Coconino
AZ;US160;Coconino
AZ;US180;Coconino
AZ;AZ64;Coconino
AZ;AZ66;Coconino
AZ;AZ67;Coconino
AZ;AZ87;Coconino
AZ;AZ89;Coconino
AZ;AZ89A;Coconino
AZ;AZ98;Coconino
AZ;AZ99;Coconino
AZ;AZ179;Coconino
AZ;AZ260;Coconino
AZ;AZ264;Coconino
AZ;AZ389;Coconino
AZ;US60;Gila
AZ;US70;Gila
AZ;AZ73;Gila
AZ;AZ77;Gila
AZ;AZ87;Gila
AZ;AZ177;Gila
AZ;AZ188;Gila
AZ;AZ260;Gila
AZ;AZ288;Gila
AZ;US70;Graham
AZ;US191;Graham
AZ;AZ266;Graham
AZ;AZ366;Graham
AZ;US70;Greenlee
AZ;US191;Greenlee
AZ;AZ75;Greenlee
AZ;AZ78;Greenlee
AZ;I-10;La Paz
AZ;US60;La Paz
AZ;US95;La Paz
AZ;AZ72;La Paz
AZ;AZ95;La Paz
AZ;I-8;Maricopa
AZ;I-10;Maricopa
AZ;I-17;Maricopa
AZ;US60;Maricopa
AZ;US93;Maricopa
AZ;Lp101;Maricopa
AZ;Lp202;Maricopa
AZ;Lp303;Maricopa
AZ;AZ51;Maricopa
AZ;AZ71;Maricopa
AZ;AZ74;Maricopa
AZ;AZ85;Maricopa
AZ;AZ87;Maricopa
AZ;AZ88;Maricopa
AZ;AZ143;Maricopa
AZ;AZ188;Maricopa
AZ;AZ238;Maricopa
AZ;AZ347;Maricopa
AZ;I-15;Mohave
AZ;I-40;Mohave
AZ;US93;Mohave
AZ;AZ66;Mohave
AZ;AZ68;Mohave
AZ;AZ95;Mohave
AZ;AZ389;Mohave
AZ;I-40;Navajo
AZ;US60;Navajo
AZ;US160;Navajo
AZ;US163;Navajo
AZ;US180;Navajo
AZ;AZ73;Navajo
AZ;AZ77;Navajo
AZ;AZ87;Navajo
AZ;AZ98;Navajo
AZ;AZ99;Navajo
AZ;AZ260;Navajo
AZ;AZ264;Navajo
AZ;AZ277;Navajo
AZ;AZ377;Navajo
AZ;AZ564;Navajo
AZ;I-10;Pima
AZ;I-19;Pima
AZ;AZ77;Pima
AZ;AZ83;Pima
AZ;AZ85;Pima
AZ;AZ86;Pima
AZ;AZ210;Pima
AZ;AZ286;Pima
AZ;AZ386;Pima
AZ;I-8;Pinal
AZ;I-10;Pinal
AZ;US60;Pinal
AZ;AZ77;Pinal
AZ;AZ79;Pinal
AZ;AZ84;Pinal
AZ;AZ87;Pinal
AZ;AZ88;Pinal
AZ;AZ177;Pinal
AZ;AZ238;Pinal
AZ;AZ287;Pinal
AZ;AZ347;Pinal
AZ;AZ387;Pinal
AZ;AZ587;Pinal
AZ;I-19;Santa Cruz
AZ;AZ82;Santa Cruz
AZ;AZ83;Santa Cruz
AZ;AZ189;Santa Cruz
AZ;I-17;Yavapai
AZ;I-40;Yavapai
AZ;US93;Yavapai
AZ;AZ66;Yavapai
AZ;AZ69;Yavapai
AZ;AZ71;Yavapai
AZ;AZ89;Yavapai
AZ;AZ89A;Yavapai
AZ;AZ96;Yavapai
AZ;AZ97;Yavapai
AZ;AZ169;Yavapai
AZ;AZ179;Yavapai
AZ;AZ260;Yavapai
AZ;I-8;Yuma
AZ;US95;Yuma
AZ;AZ195;Yuma
