region;route;county
CT;I-84;Fairfield
CT;I-95;Fairfield
CT;I-684;Fairfield
CT;US1;Fairfield
CT;US6;Fairfield
CT;US7;Fairfield
CT;US202;Fairfield
CT;CT8;Fairfield
CT;CT15;Fairfield
CT;CT25;Fairfield
CT;CT33;Fairfield
CT;CT34;Fairfield
CT;CT35;Fairfield
CT;CT37;Fairfield
CT;CT39;Fairfield
CT;CT53;Fairfield
CT;CT55;Fairfield
CT;CT57;Fairfield
CT;CT58;Fairfield
CT;CT59;Fairfield
CT;CT102;Fairfield
CT;CT104;Fairfield
CT;CT106;Fairfield
CT;CT107;Fairfield
CT;CT108;Fairfield
CT;CT110;Fairfield
CT;CT111;Fairfield
CT;CT113;Fairfield
CT;CT116;Fairfield
CT;CT123;Fairfield
CT;CT124;Fairfield
CT;CT127;Fairfield
CT;CT130;Fairfield
CT;CT133;Fairfield
CT;CT135;Fairfield
CT;CT137;Fairfield
CT;CT302;Fairfield
CT;I-84;Hartford
CT;I-91;Hartford
CT;I-291;Hartford
CT;I-384;Hartford
CT;I-691;Hartford
CT;US5;Hartford
CT;US6;Hartford
CT;US44;Hartford
CT;US202;Hartford
CT;CT2;Hartford
CT;CT3;Hartford
CT;CT4;Hartford
CT;CT9;Hartford
CT;CT10;Hartford
CT;CT15;Hartford
CT;CT17;Hartford
CT;CT20;Hartford
CT;CT30;Hartford
CT;CT66;Hartford
CT;CT69;Hartford
CT;CT71;Hartford
CT;CT72;Hartford
CT;CT74;Hartford
CT;CT75;Hartford
CT;CT83;Hartford
CT;CT94;Hartford
CT;CT99;Hartford
CT;CT120;Hartford
CT;CT140;Hartford
CT;CT159;Hartford
CT;CT160;Hartford
CT;CT167;Hartford
CT;CT168;Hartford
CT;CT173;Hartford
CT;CT174;Hartford
CT;CT175;Hartford
CT;CT176;Hartford
CT;CT177;Hartford
CT;CT178;Hartford
CT;CT179;Hartford
CT;CT181;Hartford
CT;CT185;Hartford
CT;CT187;Hartford
CT;CT189;Hartford
CT;CT190;Hartford
CT;CT191;Hartford
CT;CT192;Hartford
CT;CT194;Hartford
CT;CT218;Hartford
CT;CT219;Hartford
CT;CT220;Hartford
CT;CT287;Hartford
CT;CT305;Hartford
CT;CT309;Hartford
CT;CT314;Hartford
CT;CT315;Hartford
CT;CT322;Hartford
CT;CT364;Hartford
CT;CT372;Hartford
CT;US6;Litchfield
CT;US7;Litchfield
CT;US44;Litchfield
CT;US202;Litchfield
CT;CT4;Litchfield
CT;CT8;Litchfield
CT;CT20;Litchfield
CT;CT37;Litchfield
CT;CT41;Litchfield
CT;CT43;Litchfield
CT;CT45;Litchfield
CT;CT47;Litchfield
CT;CT55;Litchfield
CT;CT61;Litchfield
CT;CT63;Litchfield
CT;CT64;Litchfield
CT;CT67;Litchfield
CT;CT72;Litchfield
CT;CT73;Litchfield
