region;route;county
IA;I-80;Adair
IA;US6;Adair
IA;IA25;Adair
IA;IA92;Adair
IA;US34;Adams
IA;IA25;Adams
IA;IA148;Adams
IA;US18;Allamakee
IA;US52;Allamakee
IA;IA9;Allamakee
IA;IA26;Allamakee
IA;IA51;Allamakee
IA;IA76;Allamakee
IA;IA2;Appanoose
IA;IA5;Appanoose
IA;IA202;Appanoose
IA;US71;Audubon
IA;IA44;Audubon
IA;IA173;Audubon
IA;I-380;Benton
IA;US30;Benton
IA;US151;Benton
IA;US218;Benton
IA;IA8;Benton
IA;IA21;Benton
IA;IA27;Benton
IA;IA150;Benton
IA;I-380;Black Hawk
IA;US20;Black Hawk
IA;US63;Black Hawk
IA;US218;Black Hawk
IA;IA21;Black Hawk
IA;IA27;Black Hawk
IA;IA57;Black Hawk
IA;IA58;Black Hawk
IA;IA175;Black Hawk
IA;IA281;Black Hawk
IA;US30;Boone
IA;US169;Boone
IA;IA17;Boone
IA;IA144;Boone
IA;IA210;Boone
IA;US63;Bremer
IA;US218;Bremer
IA;IA3;Bremer
IA;IA27;Bremer
IA;IA93;Bremer
IA;IA188;Bremer
IA;I-380;Buchanan
IA;US20;Buchanan
IA;IA27;Buchanan
IA;IA150;Buchanan
IA;IA187;Buchanan
IA;IA281;Buchanan
IA;US71;Buena Vista
IA;IA3;Buena Vista
IA;IA7;Buena Vista
IA;IA10;Buena Vista
IA;IA110;Buena Vista
IA;IA3;Butler
IA;IA14;Butler
IA;IA57;Butler
IA;IA188;Butler
IA;US20;Calhoun
IA;IA4;Calhoun
IA;IA7;Calhoun
IA;IA175;Calhoun
IA;US30;Carroll
IA;US71;Carroll
IA;IA141;Carroll
IA;I-80;Cass
IA;US6;Cass
IA;US71;Cass
IA;IA48;Cass
IA;IA83;Cass
IA;IA92;Cass
IA;IA148;Cass
IA;IA173;Cass
IA;I-80;Cedar
IA;US6;Cedar
IA;US30;Cedar
IA;IA38;Cedar
IA;IA130;Cedar
IA;I-35;Cerro Gordo
IA;US18;Cerro Gordo
IA;US65;Cerro Gordo
IA;IA27;Cerro Gordo
IA;IA122;Cerro Gordo
IA;US59;Cherokee
IA;IA3;Cherokee
IA;IA7;Cherokee
IA;IA31;Cherokee
IA;IA143;Cherokee
IA;US18;Chickasaw
IA;US63;Chickasaw
IA;US218;Chickasaw
IA;IA24;Chickasaw
IA;IA27;Chickasaw
IA;IA346;Chickasaw
IA;I-35;Clarke
IA;US34;Clarke
IA;US69;Clarke
IA;US18;Clay
IA;US71;Clay
IA;IA10;Clay
IA;US18;Clayton
IA;US52;Clayton
IA;IA3;Clayton
IA;IA13;Clayton
IA;IA56;Clayton
IA;IA76;Clayton
IA;IA128;Clayton
IA;US30;Clinton
IA;US61;Clinton
IA;US67;Clinton
IA;IA136;Clinton
IA;US30;Crawford
IA;US59;Crawford
IA;IA37;Crawford
IA;IA39;Crawford
IA;IA141;Crawford
IA;I-80;Dallas
IA;US6;Dallas
IA;US169;Dallas
IA;IA44;Dallas
IA;IA141;Dallas
IA;IA144;Dallas
IA;IA210;Dallas
IA;US63;Davis
IA;IA2;Davis
IA;IA16;Davis
IA;IA202;Davis
IA;I-35;Decatur
IA;US69;Decatur
IA;IA2;Decatur
IA;US20;Delaware
IA;IA3;Delaware
IA;IA13;Delaware
IA;IA38;Delaware
IA;US34;Des Moines
IA;US61;Des Moines
IA;IA163;Des Moines
IA;US71;Dickinson
IA;IA9;Dickinson
IA;IA86;Dickinson
IA;US20;Dubuque
IA;US52;Dubuque
IA;US61;Dubuque
IA;US151;Dubuque
IA;IA3;Dubuque
IA;IA136;Dubuque
IA;IA4;Emmet
IA;IA9;Emmet
IA;IA15;Emmet
IA;US18;Fayette
IA;IA3;Fayette
IA;IA56;Fayette
IA;IA93;Fayette
IA;IA150;Fayette
IA;IA187;Fayette
IA;US18;Floyd
IA;US218;Floyd
IA;IA14;Floyd
IA;IA27;Floyd
IA;I-35;Franklin
IA;US65;Franklin
IA;IA3;Franklin
IA;IA57;Franklin
IA;I-29;Fremont
IA;US59;Fremont
IA;US275;Fremont
IA;IA2;Fremont
IA;IA333;Fremont
IA;US30;Greene
IA;IA4;Greene
IA;IA25;Greene
IA;IA144;Greene
IA;US20;Grundy
IA;IA14;Grundy
IA;IA57;Grundy
IA;IA175;Grundy
IA;IA4;Guthrie
IA;IA25;Guthrie
IA;IA44;Guthrie
IA;IA141;Guthrie
IA;I-35;Hamilton
IA;US20;Hamilton
IA;US69;Hamilton
IA;IA17;Hamilton
IA;IA175;Hamilton
IA;US18;Hancock
IA;US69;Hancock
IA;US65;Hardin
IA;IA57;Hardin
IA;IA175;Hardin
IA;I-29;Harrison
IA;US30;Harrison
IA;IA37;Harrison
IA;IA44;Harrison
IA;IA127;Harrison
IA;IA183;Harrison
IA;IA191;Harrison
IA;US34;Henry
IA;US218;Henry
IA;IA16;Henry
IA;IA27;Henry
IA;IA78;Henry
IA;IA163;Henry
IA;US63;Howard
IA;IA9;Howard
IA;US169;Humboldt
IA;IA3;Humboldt
IA;IA15;Humboldt
IA;US20;Ida
IA;US59;Ida
IA;IA31;Ida
IA;IA175;Ida
IA;I-80;Iowa
IA;US6;Iowa
IA;US151;Iowa
IA;IA21;Iowa
IA;IA149;Iowa
IA;IA212;Iowa
IA;IA220;Iowa
IA;US52;Jackson
IA;US61;Jackson
IA;US67;Jackson
IA;IA62;Jackson
IA;IA64;Jackson
IA;I-80;Jasper
IA;US6;Jasper
IA;US65;Jasper
IA;IA14;Jasper
IA;IA117;Jasper
IA;IA163;Jasper
IA;IA224;Jasper
IA;IA330;Jasper
IA;US34;Jefferson
IA;IA1;Jefferson
IA;IA78;Jefferson
IA;IA163;Jefferson
IA;I-80;Johnson
IA;I-380;Johnson
IA;US6;Johnson
IA;US218;Johnson
IA;IA1;Johnson
IA;IA22;Johnson
IA;IA27;Johnson
IA;US151;Jones
IA;IA1;Jones
IA;IA38;Jones
IA;IA64;Jones
IA;IA136;Jones
IA;IA1;Keokuk
IA;IA21;Keokuk
IA;IA22;Keokuk
IA;IA23;Keokuk
IA;IA78;Keokuk
IA;IA92;Keokuk
IA;IA149;Keokuk
IA;US18;Kossuth
IA;US169;Kossuth
IA;IA9;Kossuth
IA;IA15;Kossuth
IA;IA17;Kossuth
IA;US61;Lee
IA;US136;Lee
IA;US218;Lee
IA;IA2;Lee
IA;IA16;Lee
IA;IA27;Lee
IA;I-380;Linn
IA;US30;Linn
IA;US151;Linn
IA;US218;Linn
IA;IA1;Linn
IA;IA13;Linn
IA;IA27;Linn
IA;IA100;Linn
IA;US61;Louisa
IA;IA70;Louisa
IA;IA78;Louisa
IA;IA92;Louisa
IA;US34;Lucas
IA;US65;Lucas
IA;IA14;Lucas
IA;US18;Lyon
IA;US75;Lyon
IA;IA9;Lyon
IA;IA182;Lyon
IA;I-80;Madison
IA;US6;Madison
IA;US169;Madison
IA;IA92;Madison
IA;US63;Mahaska
IA;IA23;Mahaska
IA;IA92;Mahaska
IA;IA146;Mahaska
IA;IA163;Mahaska
IA;IA5;Marion
IA;IA14;Marion
IA;IA92;Marion
IA;IA163;Marion
IA;IA316;Marion
IA;US30;Marshall
IA;IA14;Marshall
IA;IA96;Marshall
IA;IA146;Marshall
IA;IA330;Marshall
IA;I-29;Mills
IA;US34;Mills
IA;US59;Mills
IA;US275;Mills
IA;US218;Mitchell
IA;IA9;Mitchell
IA;I-29;Monona
IA;IA37;Monona
IA;IA141;Monona
IA;IA175;Monona
IA;IA183;Monona
IA;US34;Monroe
IA;IA5;Monroe
IA;IA137;Monroe
IA;US34;Montgomery
IA;US71;Montgomery
IA;IA48;Montgomery
IA;US6;Muscatine
IA;US61;Muscatine
IA;IA22;Muscatine
IA;IA38;Muscatine
IA;IA70;Muscatine
IA;IA92;Muscatine
IA;US18;O'Brien
IA;US59;O'Brien
IA;IA10;O'Brien
IA;IA60;O'Brien
IA;IA143;O'Brien
IA;US59;Osceola
IA;IA9;Osceola
IA;IA60;Osceola
IA;US59;Page
IA;US71;Page
IA;IA2;Page
IA;IA48;Page
IA;US18;Palo Alto
IA;IA4;Palo Alto
IA;IA15;Palo Alto
IA;US75;Plymouth
IA;IA3;Plymouth
IA;IA12;Plymouth
IA;IA60;Plymouth
IA;IA140;Plymouth
IA;IA3;Pocahontas
IA;IA4;Pocahontas
IA;IA7;Pocahontas
IA;IA10;Pocahontas
IA;IA15;Pocahontas
IA;I-35;Polk
IA;I-80;Polk
IA;I-235;Polk
IA;US6;Polk
IA;US65;Polk
IA;US69;Polk
IA;IA5;Polk
IA;IA17;Polk
IA;IA28;Polk
IA;IA44;Polk
IA;IA141;Polk
IA;IA160;Polk
IA;IA163;Polk
IA;IA316;Polk
IA;IA330;Polk
IA;IA415;Polk
IA;I-29;Pottawattamie
IA;I-80;Pottawattamie
IA;I-480;Pottawattamie
IA;I-680;Pottawattamie
IA;I-880;Pottawattamie
IA;US6;Pottawattamie
IA;US59;Pottawattamie
IA;US275;Pottawattamie
IA;IA83;Pottawattamie
IA;IA92;Pottawattamie
IA;IA165;Pottawattamie
IA;IA191;Pottawattamie
IA;I-80;Poweshiek
IA;US6;Poweshiek
IA;US63;Poweshiek
IA;IA21;Poweshiek
IA;IA85;Poweshiek
IA;IA146;Poweshiek
IA;US169;Ringgold
IA;IA2;Ringgold
IA;IA25;Ringgold
IA;US20;Sac
IA;US71;Sac
IA;IA39;Sac
IA;IA110;Sac
IA;IA175;Sac
IA;IA471;Sac
IA;I-74;Scott
IA;I-80;Scott
IA;I-280;Scott
IA;US6;Scott
IA;US61;Scott
IA;US67;Scott
IA;IA22;Scott
IA;IA130;Scott
IA;US59;Shelby
IA;IA37;Shelby
IA;IA44;Shelby
IA;IA173;Shelby
IA;IA191;Shelby
IA;US18;Sioux
IA;US75;Sioux
IA;IA10;Sioux
IA;IA12;Sioux
IA;IA60;Sioux
IA;I-35;Story
IA;US30;Story
IA;US65;Story
IA;US69;Story
IA;IA210;Story
IA;IA330;Story
IA;US30;Tama
IA;US63;Tama
IA;IA8;Tama
IA;IA21;Tama
IA;IA96;Tama
IA;IA146;Tama
IA;IA2;Taylor
IA;IA148;Taylor
IA;US34;Union
IA;US169;Union
IA;IA25;Union
IA;IA1;Van Buren
IA;IA2;Van Buren
IA;IA16;Van Buren
IA;IA81;Van Buren
IA;US34;Wapello
IA;US63;Wapello
IA;IA16;Wapello
IA;IA137;Wapello
IA;IA149;Wapello
IA;IA163;Wapello
IA;I-35;Warren
IA;US65;Warren
IA;US69;Warren
IA;IA5;Warren
IA;IA28;Warren
IA;IA92;Warren
IA;IA316;Warren
IA;US218;Washington
IA;IA1;Washington
IA;IA22;Washington
IA;IA27;Washington
IA;IA78;Washington
IA;IA92;Washington
IA;US65;Wayne
IA;IA2;Wayne
IA;IA14;Wayne
IA;US20;Webster
IA;US169;Webster
IA;IA7;Webster
IA;IA144;Webster
IA;IA175;Webster
IA;US69;Winnebago
IA;IA9;Winnebago
IA;US52;Winneshiek
IA;IA9;Winneshiek
IA;IA24;Winneshiek
IA;IA139;Winneshiek
IA;IA150;Winneshiek
IA;I-29;Woodbury
IA;I-129;Woodbury
IA;US20;Woodbury
IA;US75;Woodbury
IA;US77;Woodbury
IA;IA12;Woodbury
IA;IA31;Woodbury
IA;IA140;Woodbury
IA;IA141;Woodbury
IA;IA175;Woodbury
IA;I-35;Worth
IA;US65;Worth
IA;US69;Worth
IA;IA9;Worth
IA;IA27;Worth
IA;I-35;Wright
IA;US69;Wright
IA;IA3;Wright
IA;IA17;Wright
