region;route;county
IL;I-172;Adams
IL;US24;Adams
IL;IL57;Adams
IL;IL61;Adams
IL;IL94;Adams
IL;IL96;Adams
IL;IL104;Adams
IL;IL110;Adams
IL;IL336;Adams
IL;I-57;Alexander
IL;US51;Alexander
IL;US60;Alexander
IL;US62;Alexander
IL;IL3;Alexander
IL;IL37;Alexander
IL;IL127;Alexander
IL;IL146;Alexander
IL;I-70;Bond
IL;US40;Bond
IL;IL127;Bond
IL;IL140;Bond
IL;IL143;Bond
IL;I-90;Boone
IL;US20;Boone
IL;IL76;Boone
IL;IL173;Boone
IL;US24;Brown
IL;IL99;Brown
IL;IL107;Brown
IL;I-80;Bureau
IL;I-180;Bureau
IL;US6;Bureau
IL;US34;Bureau
IL;IL26;Bureau
IL;IL40;Bureau
IL;IL89;Bureau
IL;IL92;Bureau
IL;IL172;Bureau
IL;IL16;Calhoun
IL;IL96;Calhoun
IL;IL100;Calhoun
IL;IL108;Calhoun
IL;US52;Carroll
IL;IL40;Carroll
IL;IL64;Carroll
IL;IL72;Carroll
IL;IL73;Carroll
IL;IL78;Carroll
IL;IL84;Carroll
IL;US67;Cass
IL;IL78;Cass
IL;IL100;Cass
IL;IL125;Cass
IL;I-57;Champaign
IL;I-72;Champaign
IL;I-74;Champaign
IL;US45;Champaign
IL;US136;Champaign
IL;US150;Champaign
IL;IL10;Champaign
IL;IL47;Champaign
IL;IL49;Champaign
IL;IL54;Champaign
IL;IL130;Champaign
IL;US51;Christian
IL;IL16;Christian
IL;IL29;Christian
IL;IL48;Christian
IL;IL104;Christian
IL;I-70;Clark
IL;US40;Clark
IL;IL1;Clark
IL;IL49;Clark
IL;I-57;Clay
IL;US45;Clay
IL;US50;Clay
IL;IL37;Clay
IL;I-64;Clinton
IL;US50;Clinton
IL;IL127;Clinton
IL;IL160;Clinton
IL;IL161;Clinton
IL;IL177;Clinton
IL;I-57;Coles
IL;US45;Coles
IL;IL16;Coles
IL;IL49;Coles
IL;IL121;Coles
IL;IL130;Coles
IL;IL133;Coles
IL;I-55;Cook
IL;I-57;Cook
IL;I-80;Cook
IL;I-88;Cook
IL;I-90;Cook
IL;I-94;Cook
IL;I-190;Cook
IL;I-290;Cook
IL;I-294;Cook
IL;I-355;Cook
IL;US6;Cook
IL;US12;Cook
IL;US14;Cook
IL;US20;Cook
IL;US30;Cook
