region;route;county
KS;US54;Allen
KS;US59;Allen
KS;US169;Allen
KS;US59;Anderson
KS;US169;Anderson
KS;KS31;Anderson
KS;KS58;Anderson
KS;US59;Atchinson
KS;US73;Atchinson
KS;US159;Atchinson
KS;KS7;Atchinson
KS;KS9;Atchinson
KS;KS116;Atchinson
KS;US160;Barber
KS;US281;Barber
KS;KS2;Barber
KS;KS8;Barber
KS;US56;Barton
KS;US281;Barton
KS;KS4;Barton
KS;KS96;Barton
KS;KS156;Barton
KS;US54;Bourbon
KS;US69;Bourbon
KS;KS3;Bourbon
KS;KS7;Bourbon
KS;KS31;Bourbon
KS;KS39;Bourbon
KS;KS65;Bourbon
KS;US36;Brown
KS;US73;Brown
KS;US75;Brown
KS;US159;Brown
KS;KS20;Brown
KS;KS246;Brown
KS;I-35;Butler
KS;US54;Butler
KS;US77;Butler
KS;US400;Butler
KS;KS177;Butler
KS;KS196;Butler
KS;KS254;Butler
KS;I-35;Chase
KS;US50;Chase
KS;KS150;Chase
KS;KS177;Chase
KS;US166;Chautauqua
KS;KS99;Chautauqua
KS;US69;Cherokee
KS;US160;Cherokee
KS;US166;Cherokee
KS;US400;Cherokee
KS;KS7;Cherokee
KS;KS26;Cherokee
KS;KS66;Cherokee
KS;KS102;Cherokee
KS;KS103;Cherokee
KS;US36;Cheyenne
KS;KS27;Cheyenne
KS;KS161;Cheyenne
KS;US54;Clark
KS;US160;Clark
KS;US183;Clark
KS;US283;Clark
KS;KS34;Clark
KS;KS94;Clark
KS;US24;Clay
KS;KS9;Clay
KS;KS15;Clay
KS;KS80;Clay
KS;KS197;Clay
KS;US24;Cloud
KS;US81;Cloud
KS;KS9;Cloud
KS;KS28;Cloud
KS;KS189;Cloud
KS;I-35;Coffey
KS;US50;Coffey
KS;US75;Coffey
KS;KS31;Coffey
KS;KS58;Coffey
KS;KS130;Coffey
KS;KS131;Coffey
KS;US160;Comanche
KS;US183;Comanche
KS;KS1;Comanche
KS;US77;Cowley
KS;US160;Cowley
KS;US166;Cowley
KS;KS15;Cowley
KS;KS55;Cowley
KS;KS360;Cowley
KS;US69;Crawford
KS;US160;Crawford
KS;KS3;Crawford
KS;KS7;Crawford
KS;KS47;Crawford
KS;KS126;Crawford
KS;KS146;Crawford
KS;US36;Decatur
KS;US83;Decatur
KS;KS9;Decatur
KS;KS123;Decatur
KS;KS223;Decatur
KS;KS383;Decatur
KS;I-70;Dickinson
KS;US40;Dickinson
KS;US56;Dickinson
KS;US77;Dickinson
KS;KS4;Dickinson
KS;KS15;Dickinson
KS;KS18;Dickinson
KS;KS43;Dickinson
KS;KS197;Dickinson
KS;KS209;Dickinson
KS;KS218;Dickinson
KS;US36;Doniphan
KS;KS7;Doniphan
KS;KS20;Doniphan
KS;KS120;Doniphan
KS;KS136;Doniphan
KS;KS137;Doniphan
KS;KS238;Doniphan
KS;I-70;Douglas
KS;US24;Douglas
KS;US40;Douglas
KS;US56;Douglas
KS;US59;Douglas
KS;KS10;Douglas
KS;KS32;Douglas
KS;KS33;Douglas
KS;US50;Edwards
KS;US56;Edwards
KS;US183;Edwards
KS;KS19;Edwards
KS;US160;Elk
KS;KS99;Elk
KS;I-70;Ellis
KS;US40;Ellis
KS;US183;Ellis
KS;KS247;Ellis
KS;KS255;Ellis
KS;I-70;Ellsworth
KS;US40;Ellsworth
KS;KS4;Ellsworth
KS;KS14;Ellsworth
KS;KS111;Ellsworth
KS;KS140;Ellsworth
KS;KS141;Ellsworth
KS;KS156;Ellsworth
KS;KS232;Ellsworth
KS;US50;Finney
KS;US83;Finney
KS;US400;Finney
KS;KS23;Finney
KS;KS156;Finney
KS;US50;Ford
KS;US54;Ford
KS;US56;Ford
KS;US283;Ford
KS;US400;Ford
KS;KS34;Ford
KS;KS94;Ford
KS;I-35;Franklin
KS;US50;Franklin
KS;US59;Franklin
KS;US169;Franklin
KS;KS33;Franklin
KS;KS68;Franklin
KS;I-70;Geary
KS;US40;Geary
KS;US77;Geary
KS;KS18;Geary
KS;KS57;Geary
KS;KS157;Geary
