region;route;county
KY;KY55;Adair
KY;KY61;Adair
KY;KY76;Adair
KY;KY80;Adair
KY;KY92;Adair
KY;KY206;Adair
KY;KY439;Adair
KY;KY530;Adair
KY;KY531;Adair
KY;KY532;Adair
KY;KY533;Adair
KY;KY551;Adair
KY;KY633;Adair
KY;KY682;Adair
KY;KY704;Adair
KY;KY767;Adair
KY;KY768;Adair
KY;KY900;Adair
KY;KY901;Adair
KY;KY959;Adair
KY;KY1104;Adair
KY;KY1313;Adair
KY;KY1323;Adair
KY;KY1702;Adair
KY;KY1729;Adair
KY;KY1742;Adair
KY;KY1913;Adair
KY;KY1952;Adair
KY;KY2287;Adair
KY;KY2288;Adair
KY;KY2289;Adair
KY;KY2290;Adair
KY;KY2968;Adair
KY;KY2969;Adair
KY;KY2970;Adair
KY;KY2971;Adair
KY;KY2972;Adair
KY;KY2973;Adair
KY;KY2982;Adair
KY;KY3265;Adair
KY;KY3491;Adair
KY;KY6177;Adair
KY;US31E;Allen
KY;US231;Allen
KY;KY87;Allen
KY;KY98;Allen
KY;KY99;Allen
KY;KY100;Allen
KY;KY101;Allen
KY;KY234;Allen
KY;KY240;Allen
KY;KY252;Allen
KY;KY482;Allen
KY;KY517;Allen
KY;KY585;Allen
KY;KY671;Allen
KY;KY921;Allen
KY;KY980;Allen
KY;KY1147;Allen
KY;KY1332;Allen
KY;KY1333;Allen
KY;KY1421;Allen
KY;KY1533;Allen
KY;KY1578;Allen
KY;KY1855;Allen
KY;KY2160;Allen
KY;KY2163;Allen
KY;KY3241;Allen
KY;KY3499;Allen
KY;KY3500;Allen
KY;KY3521;Allen
KY;US62;Anderson
KY;US127;Anderson
KY;KY44;Anderson
KY;KY53;Anderson
KY;KY151;Anderson
KY;KY248;Anderson
KY;KY326;Anderson
KY;KY395;Anderson
KY;KY512;Anderson
KY;KY513;Anderson
KY;KY555;Anderson
KY;KY749;Anderson
KY;KY1291;Anderson
KY;KY1510;Anderson
KY;KY1579;Anderson
KY;KY1875;Anderson
KY;KY2820;Anderson
KY;KY3358;Anderson
KY;KY3359;Anderson
KY;US51;Ballard
KY;US60;Ballard
KY;US62;Ballard
KY;KY121;Ballard
KY;KY286;Ballard
KY;KY310;Ballard
KY;KY358;Ballard
KY;KY473;Ballard
KY;KY802;Ballard
KY;KY1105;Ballard
KY;KY1186;Ballard
KY;KY1279;Ballard
KY;KY1280;Ballard
KY;KY1290;Ballard
KY;KY1345;Ballard
KY;KY1367;Ballard
KY;KY1368;Ballard
KY;KY1563;Ballard
KY;KY1774;Ballard
KY;KY1782;Ballard
KY;KY1791;Ballard
KY;KY1837;Ballard
KY;KY2532;Ballard
KY;I-65;Barren
KY;US31E;Barren
KY;US31W;Barren
KY;US68;Barren
KY;KY63;Barren
KY;KY70;Barren
KY;KY87;Barren
KY;KY90;Barren
KY;KY249;Barren
KY;KY252;Barren
KY;KY255;Barren
KY;KY314;Barren
KY;KY335;Barren
KY;KY571;Barren
KY;KY677;Barren
KY;KY685;Barren
KY;KY740;Barren
KY;KY820;Barren
KY;KY839;Barren
KY;KY921;Barren
KY;KY1297;Barren
KY;KY1307;Barren
KY;KY1318;Barren
KY;KY1324;Barren
KY;KY1330;Barren
KY;KY1339;Barren
KY;KY1342;Barren
KY;KY1519;Barren
KY;KY2065;Barren
