region;route;county
LA;I-10;Acadia
LA;US90;Acadia
LA;US190;Acadia
LA;LA13;Acadia
LA;LA35;Acadia
LA;LA91;Acadia
LA;LA92;Acadia
LA;LA95;Acadia
LA;LA97;Acadia
LA;LA98;Acadia
LA;LA100;Acadia
LA;LA178;Acadia
LA;LA342;Acadia
LA;LA343;Acadia
LA;LA356;Acadia
LA;LA358;Acadia
LA;LA365;Acadia
LA;LA367;Acadia
LA;LA368;Acadia
LA;LA370;Acadia
LA;LA751;Acadia
LA;LA754;Acadia
LA;LA755;Acadia
LA;LA761;Acadia
LA;LA1096;Acadia
LA;LA1097;Acadia
LA;LA1098;Acadia
LA;LA1099;Acadia
LA;LA1100;Acadia
LA;LA1101;Acadia
LA;LA1102;Acadia
LA;LA1104;Acadia
LA;LA1105;Acadia
LA;LA1106;Acadia
LA;LA1107;Acadia
LA;LA1108;Acadia
LA;LA1109;Acadia
LA;LA1110;Acadia
LA;LA1111;Acadia
LA;LA1113;Acadia
LA;LA1115;Acadia
LA;LA1119;Acadia
LA;LA1120;Acadia
LA;LA1121;Acadia
LA;LA1123;Acadia
LA;LA1124;Acadia
LA;LA3007;Acadia
LA;LA3067;Acadia
LA;LA3068;Acadia
LA;LA3070;Acadia
LA;LA3116;Acadia
LA;LA3123;Acadia
LA;US165;Allen
LA;US190;Allen
LA;LA10;Allen
LA;LA26;Allen
LA;LA99;Allen
LA;LA104;Allen
LA;LA112;Allen
LA;LA113;Allen
LA;LA372;Allen
LA;LA377;Allen
LA;LA383;Allen
LA;LA1151;Allen
LA;LA1152;Allen
LA;LA1153;Allen
LA;LA1156;Allen
LA;LA3205;Allen
LA;LA3206;Allen
LA;I-10;Ascension
LA;US90;Ascension
LA;LA1;Ascension
LA;LA18;Ascension
LA;LA22;Ascension
LA;LA30;Ascension
LA;LA42;Ascension
LA;LA44;Ascension
LA;LA70;Ascension
LA;LA73;Ascension
LA;LA74;Ascension
LA;LA75;Ascension
LA;LA308;Ascension
LA;LA405;Ascension
LA;LA427;Ascension
LA;LA429;Ascension
LA;LA431;Ascension
LA;LA621;Ascension
LA;LA928;Ascension
LA;LA931;Ascension
LA;LA933;Ascension
LA;LA934;Ascension
LA;LA935;Ascension
LA;LA936;Ascension
LA;LA937;Ascension
LA;LA938;Ascension
LA;LA939;Ascension
LA;LA940;Ascension
LA;LA941;Ascension
LA;LA942;Ascension
LA;LA943;Ascension
LA;LA944;Ascension
LA;LA945;Ascension
LA;LA3038;Ascension
LA;LA3089;Ascension
LA;LA3120;Ascension
LA;LA3127;Ascension
LA;LA3251;Ascension
LA;US90;Assumption
LA;LA1;Assumption
LA;LA69;Assumption
LA;LA70;Assumption
LA;LA182;Assumption
LA;LA308;Assumption
LA;LA398;Assumption
LA;LA400;Assumption
LA;LA401;Assumption
LA;LA402;Assumption
LA;LA403;Assumption
LA;LA662;Assumption
LA;LA663;Assumption
LA;LA996;Assumption
LA;LA998;Assumption
LA;LA999;Assumption
LA;LA1000;Assumption
LA;LA1001;Assumption
LA;LA1003;Assumption
LA;LA1004;Assumption
LA;LA1005;Assumption
LA;LA1006;Assumption
LA;LA1007;Assumption
LA;LA1008;Assumption
LA;LA1010;Assumption
LA;LA1011;Assumption
LA;LA1012;Assumption
LA;LA1013;Assumption
LA;LA1014;Assumption
LA;LA1015-1;Assumption
LA;LA1015-2;Assumption
LA;LA1016-1;Assumption
LA;LA1016-2;Assumption
LA;I-49;Avoyelles
LA;US71;Avoyelles
LA;LA1;Avoyelles
LA;LA29;Avoyelles
LA;LA105;Avoyelles
LA;LA106;Avoyelles
LA;LA107;Avoyelles
LA;LA114;Avoyelles
LA;LA115;Avoyelles
LA;LA361;Avoyelles
LA;LA362;Avoyelles
LA;LA451;Avoyelles
LA;LA452;Avoyelles
LA;LA453;Avoyelles
LA;LA454;Avoyelles
LA;LA1175;Avoyelles
LA;LA1176;Avoyelles
LA;LA1177;Avoyelles
LA;LA1178;Avoyelles
LA;LA1179;Avoyelles
LA;LA1180;Avoyelles
LA;LA1181;Avoyelles
LA;LA1182;Avoyelles
LA;LA1183;Avoyelles
LA;LA1184;Avoyelles
LA;LA1185;Avoyelles
LA;LA1186;Avoyelles
LA;LA1187;Avoyelles
LA;LA1188;Avoyelles
LA;LA1189;Avoyelles
LA;LA1190;Avoyelles
LA;LA1191;Avoyelles
LA;LA1192;Avoyelles
LA;LA1193;Avoyelles
LA;LA1194;Avoyelles
LA;LA1195;Avoyelles
LA;LA1196;Avoyelles
LA;LA3041;Avoyelles
LA;US171;Beauregard
LA;US190;Beauregard
LA;LA12;Beauregard
LA;LA26;Beauregard
LA;LA27;Beauregard
LA;LA109;Beauregard
LA;LA110;Beauregard
LA;LA111;Beauregard
LA;LA112;Beauregard
LA;LA113;Beauregard
LA;LA389;Beauregard
LA;LA394;Beauregard
LA;LA399;Beauregard
LA;LA1146;Beauregard
LA;LA1147;Beauregard
LA;LA3099;Beauregard
LA;LA3226;Beauregard
LA;I-20;Bienville
LA;US80;Bienville
LA;US371;Bienville
LA;LA4;Bienville
LA;LA9;Bienville
LA;LA147;Bienville
LA;LA151;Bienville
LA;LA153;Bienville
LA;LA154;Bienville
LA;LA155;Bienville
LA;LA501;Bienville
LA;LA507;Bienville
LA;LA508;Bienville
LA;LA516;Bienville
LA;LA517;Bienville
LA;LA519;Bienville
LA;LA783;Bienville
LA;LA790;Bienville
LA;LA792;Bienville
LA;LA793;Bienville
LA;LA794;Bienville
LA;LA795;Bienville
LA;LA796;Bienville
LA;LA797;Bienville
LA;LA798-1;Bienville
LA;LA798-2;Bienville
LA;LA798-3;Bienville
LA;LA799;Bienville
LA;I-20;Bossier
LA;I-220;Bossier
LA;US71;Bossier
LA;US80;Bossier
LA;LA2;Bossier
LA;LA3;Bossier
LA;LA72;Bossier
LA;LA154;Bossier
LA;LA157;Bossier
LA;LA160;Bossier
LA;LA162;Bossier
LA;LA164;Bossier
LA;LA511;Bossier
LA;LA515;Bossier
LA;LA527;Bossier
LA;LA528;Bossier
LA;LA529;Bossier
LA;LA537;Bossier
LA;LA612;Bossier
LA;LA614;Bossier
LA;LA782-2;Bossier
LA;LA3032;Bossier
LA;LA3105;Bossier
LA;LA3227;Bossier
LA;I-20;Caddo
LA;I-220;Caddo
LA;US71;Caddo
LA;US80;Caddo
LA;US171;Caddo
LA;LA1;Caddo
LA;LA2;Caddo
LA;LA168;Caddo
LA;LA169;Caddo
LA;LA170;Caddo
LA;LA173;Caddo
LA;LA175;Caddo
LA;LA511;Caddo
LA;LA523;Caddo
LA;LA525;Caddo
LA;LA526;Caddo
LA;LA530;Caddo
LA;LA538;Caddo
LA;LA767;Caddo
LA;LA789;Caddo
LA;LA3032;Caddo
LA;LA3036;Caddo
LA;LA3049;Caddo
LA;LA3094;Caddo
LA;LA3132;Caddo
LA;LA3194;Caddo
LA;I-10;Calcasieu
LA;I-210;Calcasieu
LA;US90;Calcasieu
LA;US165;Calcasieu
LA;US171;Calcasieu
LA;LA12;Calcasieu
LA;LA14;Calcasieu
LA;LA27;Calcasieu
LA;LA101;Calcasieu
LA;LA108;Calcasieu
LA;LA109;Calcasieu
LA;LA378;Calcasieu
LA;LA379;Calcasieu
LA;LA383;Calcasieu
LA;LA384;Calcasieu
LA;LA385;Calcasieu
LA;LA389;Calcasieu
LA;LA397;Calcasieu
LA;LA1133;Calcasieu
LA;LA1138-1;Calcasieu
LA;LA1138-2;Calcasieu
LA;LA1138-3;Calcasieu
LA;LA1256;Calcasieu
LA;LA1262;Calcasieu
LA;LA3020;Calcasieu
LA;LA3059;Calcasieu
LA;LA3063;Calcasieu
LA;LA3092;Calcasieu
LA;LA3112;Calcasieu
LA;LA3186;Calcasieu
LA;LA3256;Calcasieu
LA;LA3258;Calcasieu
LA;US165;Caldwell
LA;LA4;Caldwell
LA;LA125;Caldwell
LA;LA126;Caldwell
LA;LA127;Caldwell
LA;LA133;Caldwell
LA;LA506;Caldwell
LA;LA547;Caldwell
LA;LA557;Caldwell
LA;LA559;Caldwell
LA;LA561;Caldwell
LA;LA843;Caldwell
LA;LA844;Caldwell
LA;LA845;Caldwell
LA;LA846;Caldwell
LA;LA847;Caldwell
LA;LA848;Caldwell
LA;LA849;Caldwell
LA;LA850;Caldwell
LA;LA851;Caldwell
LA;LA14;Cameron
LA;LA27;Cameron
LA;LA82;Cameron
LA;LA384;Cameron
LA;LA385;Cameron
LA;LA390;Cameron
LA;LA717;Cameron
LA;LA1142;Cameron
LA;LA1143;Cameron
LA;LA1144;Cameron
LA;LA3056;Cameron
LA;US84;Catahoula
LA;US425;Catahoula
LA;LA8;Catahoula
LA;LA15;Catahoula
LA;LA28;Catahoula
LA;LA124;Catahoula
LA;LA126;Catahoula
LA;LA459;Catahoula
LA;LA559;Catahoula
LA;LA564;Catahoula
LA;LA567;Catahoula
LA;LA600;Catahoula
LA;LA913;Catahoula
LA;LA914;Catahoula
LA;LA915;Catahoula
LA;LA916;Catahoula
LA;LA921;Catahoula
LA;LA922;Catahoula
LA;LA923;Catahoula
LA;LA1017;Catahoula
LA;LA1018-1;Catahoula
LA;LA1018-2;Catahoula
LA;LA1018-3;Catahoula
LA;LA3037;Catahoula
LA;LA3101;Catahoula
LA;LA3102;Catahoula
LA;LA3148;Catahoula
LA;LA3165;Catahoula
LA;LA3203;Catahoula
LA;LA3264;Catahoula
LA;US79;Claiborne
LA;US167;Claiborne
LA;LA2;Claiborne
LA;LA9;Claiborne
LA;LA146;Claiborne
LA;LA152;Claiborne
LA;LA154;Claiborne
LA;LA161;Claiborne
LA;LA518;Claiborne
LA;LA519;Claiborne
LA;LA520;Claiborne
LA;LA521;Claiborne
LA;LA533;Claiborne
LA;LA534;Claiborne
LA;LA540;Claiborne
LA;LA615;Claiborne
LA;LA805;Claiborne
LA;LA806;Claiborne
LA;LA807;Claiborne
LA;LA808;Claiborne
LA;LA3062;Claiborne
LA;US65;Concordia
LA;US84;Concordia
LA;US425;Concordia
LA;LA15;Concordia
LA;LA129;Concordia
LA;LA131;Concordia
LA;LA565;Concordia
LA;LA566;Concordia
LA;LA568;Concordia
LA;LA569;Concordia
LA;LA600;Concordia
LA;LA900;Concordia
LA;LA903;Concordia
LA;LA906;Concordia
LA;LA907;Concordia
LA;LA908;Concordia
LA;LA909;Concordia
LA;LA910;Concordia
LA;LA3180;Concordia
LA;LA3196;Concordia
LA;LA3203;Concordia
LA;LA3232;Concordia
LA;I-49;DeSoto
LA;US84;DeSoto
LA;US171;DeSoto
LA;US371;DeSoto
LA;LA5;DeSoto
LA;LA169;DeSoto
LA;LA172;DeSoto
LA;LA174;DeSoto
LA;LA175;DeSoto
LA;LA177;DeSoto
LA;LA191;DeSoto
LA;LA346;DeSoto
LA;LA481;DeSoto
LA;LA483;DeSoto
LA;LA509;DeSoto
LA;LA510;DeSoto
LA;LA512;DeSoto
LA;LA513;DeSoto
LA;LA522;DeSoto
LA;LA763;DeSoto
LA;LA764;DeSoto
LA;LA765;DeSoto
LA;LA789;DeSoto
LA;LA3015;DeSoto
LA;LA3248;DeSoto
LA;LA3276;DeSoto
LA;I-10;East Baton Rouge
LA;I-12;East Baton Rouge
LA;I-110;East Baton Rouge
LA;US61;East Baton Rouge
LA;US190;East Baton Rouge
LA;LA19;East Baton Rouge
LA;LA30;East Baton Rouge
LA;LA37;East Baton Rouge
LA;LA42;East Baton Rouge
LA;LA64;East Baton Rouge
LA;LA64-1;East Baton Rouge
LA;LA67;East Baton Rouge
LA;LA73;East Baton Rouge
LA;LA327;East Baton Rouge
LA;LA408;East Baton Rouge
LA;LA409;East Baton Rouge
LA;LA410;East Baton Rouge
LA;LA423;East Baton Rouge
LA;LA427;East Baton Rouge
LA;LA946;East Baton Rouge
LA;LA948;East Baton Rouge
LA;LA964;East Baton Rouge
LA;LA3006;East Baton Rouge
LA;LA3034;East Baton Rouge
LA;LA3045;East Baton Rouge
LA;LA3064;East Baton Rouge
LA;LA3246;East Baton Rouge
LA;US65;East Carroll
LA;LA2;East Carroll
LA;LA134;East Carroll
LA;LA577;East Carroll
LA;LA579;East Carroll
LA;LA580;East Carroll
LA;LA581;East Carroll
LA;LA582;East Carroll
LA;LA585;East Carroll
LA;LA596;East Carroll
LA;LA877;East Carroll
LA;LA881;East Carroll
LA;LA883-1;East Carroll
LA;LA883-2;East Carroll
LA;LA3181;East Carroll
LA;US61;East Feliciana
LA;LA10;East Feliciana
LA;LA19;East Feliciana
LA;LA37;East Feliciana
LA;LA63;East Feliciana
LA;LA67;East Feliciana
LA;LA68;East Feliciana
LA;LA409;East Feliciana
LA;LA412;East Feliciana
LA;LA422;East Feliciana
LA;LA432;East Feliciana
LA;LA952;East Feliciana
LA;LA953;East Feliciana
LA;LA954;East Feliciana
LA;LA955;East Feliciana
LA;LA956;East Feliciana
LA;LA957;East Feliciana
LA;LA958;East Feliciana
LA;LA959;East Feliciana
LA;LA960;East Feliciana
LA;LA961;East Feliciana
LA;LA963;East Feliciana
LA;LA964;East Feliciana
LA;LA3255;East Feliciana
LA;I-49;Evangeline
LA;US167;Evangeline
LA;US190;Evangeline
LA;LA10;Evangeline
LA;LA13;Evangeline
LA;LA29;Evangeline
LA;LA95;Evangeline
LA;LA104;Evangeline
LA;LA106;Evangeline
LA;LA115;Evangeline
LA;LA181;Evangeline
LA;LA363;Evangeline
LA;LA374;Evangeline
LA;LA376;Evangeline
LA;LA748;Evangeline
LA;LA757;Evangeline
LA;LA758;Evangeline
LA;LA1157-1;Evangeline
LA;LA1158;Evangeline
LA;LA1159;Evangeline
LA;LA1160;Evangeline
LA;LA1161;Evangeline
LA;LA1162;Evangeline
LA;LA1163;Evangeline
LA;LA1164;Evangeline
LA;LA1165;Evangeline
LA;LA1166;Evangeline
LA;LA1167;Evangeline
LA;LA1168;Evangeline
LA;LA1169;Evangeline
LA;LA1171;Evangeline
LA;LA1172;Evangeline
LA;LA1174;Evangeline
LA;LA3042;Evangeline
LA;LA3096;Evangeline
LA;LA3097;Evangeline
LA;LA3149;Evangeline
LA;LA3187;Evangeline
LA;LA3247;Evangeline
LA;LA3277;Evangeline
LA;US425;Franklin
LA;LA4;Franklin
LA;LA15;Franklin
LA;LA17;Franklin
LA;LA128;Franklin
LA;LA130;Franklin
LA;LA132;Franklin
LA;LA135;Franklin
LA;LA555;Franklin
LA;LA562;Franklin
LA;LA572;Franklin
LA;LA577;Franklin
LA;LA578;Franklin
LA;LA610;Franklin
LA;LA618;Franklin
LA;LA857;Franklin
LA;LA858;Franklin
LA;LA859;Franklin
LA;LA860;Franklin
LA;LA861;Franklin
LA;LA862;Franklin
LA;LA863;Franklin
LA;LA864;Franklin
LA;LA865;Franklin
LA;LA866;Franklin
LA;LA867;Franklin
LA;LA868;Franklin
LA;LA869;Franklin
LA;LA870;Franklin
LA;LA871;Franklin
LA;LA873;Franklin
