region;route;county
MA;US6;Barnstable
MA;MA3;Barnstable
MA;MA6A;Barnstable
MA;MA25;Barnstable
MA;MA28;Barnstable
MA;MA39;Barnstable
MA;MA124;Barnstable
MA;MA130;Barnstable
MA;MA132;Barnstable
MA;MA134;Barnstable
MA;MA137;Barnstable
MA;MA149;Barnstable
MA;MA151;Barnstable
MA;I-90;Berkshire
MA;US7;Berkshire
MA;US20;Berkshire
MA;MA2;Berkshire
MA;MA7A;Berkshire
MA;MA8;Berkshire
MA;MA8A;Berkshire
MA;MA9;Berkshire
MA;MA23;Berkshire
MA;MA41;Berkshire
MA;MA43;Berkshire
MA;MA57;Berkshire
MA;MA71;Berkshire
MA;MA102;Berkshire
MA;MA116;Berkshire
MA;MA143;Berkshire
MA;MA183;Berkshire
MA;MA295;Berkshire
MA;I-95;Bristol
MA;I-195;Bristol
MA;I-295;Bristol
MA;I-495;Bristol
MA;US1;Bristol
MA;US6;Bristol
MA;US44;Bristol
MA;MA1A;Bristol
MA;MA15;Bristol
MA;MA18;Bristol
MA;MA24;Bristol
MA;MA79;Bristol
MA;MA81;Bristol
MA;MA88;Bristol
MA;MA103;Bristol
MA;MA104;Bristol
MA;MA105;Bristol
MA;MA106;Bristol
MA;MA114A;Bristol
MA;MA118;Bristol
MA;MA120;Bristol
MA;MA123;Bristol
MA;MA136;Bristol
MA;MA138;Bristol
MA;MA140;Bristol
MA;MA152;Bristol
MA;MA177;Bristol
MA;MA240;Bristol
MA;I-93;Essex
MA;I-95;Essex
MA;I-495;Essex
MA;US1;Essex
MA;MA1A;Essex
MA;MA22;Essex
MA;MA28;Essex
MA;MA35;Essex
MA;MA62;Essex
MA;MA97;Essex
MA;MA99;Essex
MA;MA107;Essex
MA;MA108;Essex
MA;MA110;Essex
MA;MA113;Essex
MA;MA114;Essex
MA;MA125;Essex
MA;MA127;Essex
MA;MA127A;Essex
MA;MA128;Essex
MA;MA129;Essex
MA;MA129A;Essex
MA;MA133;Essex
MA;MA150;Essex
MA;MA213;Essex
MA;MA286;Essex
MA;I-91;Franklin
MA;US5;Franklin
MA;US202;Franklin
MA;MA2;Franklin
MA;MA2A;Franklin
MA;MA8A;Franklin
MA;MA10;Franklin
MA;MA47;Franklin
MA;MA63;Franklin
MA;MA78;Franklin
MA;MA112;Franklin
MA;MA116;Franklin
MA;MA122;Franklin
MA;MA142;Franklin
MA;I-84;Hampden
MA;I-90;Hampden
MA;I-91;Hampden
MA;I-291;Hampden
MA;I-391;Hampden
MA;US5;Hampden
MA;US20;Hampden
MA;US202;Hampden
MA;MA10;Hampden
MA;MA19;Hampden
MA;MA21;Hampden
MA;MA23;Hampden
MA;MA32;Hampden
MA;MA33;Hampden
MA;MA57;Hampden
MA;MA67;Hampden
MA;MA75;Hampden
MA;MA83;Hampden
MA;MA116;Hampden
MA;MA141;Hampden
MA;MA147;Hampden
MA;MA159;Hampden
MA;MA168;Hampden
MA;MA181;Hampden
MA;MA186;Hampden
MA;MA187;Hampden
MA;MA189;Hampden
MA;MA192;Hampden
MA;MA220;Hampden
MA;I-91;Hampshire
MA;US5;Hampshire
MA;US20;Hampshire
MA;US202;Hampshire
MA;MA8A;Hampshire
MA;MA9;Hampshire
MA;MA10;Hampshire
MA;MA21;Hampshire
MA;MA32;Hampshire
MA;MA33;Hampshire
MA;MA47;Hampshire
MA;MA63;Hampshire
MA;MA66;Hampshire
MA;MA112;Hampshire
MA;MA116;Hampshire
MA;MA141;Hampshire
MA;MA143;Hampshire
MA;MA181;Hampshire
MA;I-90;Middlesex
MA;I-93;Middlesex
MA;I-95;Middlesex
MA;I-290;Middlesex
MA;I-495;Middlesex
MA;US1;Middlesex
MA;US3;Middlesex
MA;US20;Middlesex
MA;MA2;Middlesex
MA;MA2A;Middlesex
MA;MA3;Middlesex
MA;MA3A;Middlesex
MA;MA4;Middlesex
MA;MA9;Middlesex
MA;MA13;Middlesex
MA;MA16;Middlesex
MA;MA27;Middlesex
MA;MA28;Middlesex
MA;MA30;Middlesex
MA;MA31;Middlesex
MA;MA38;Middlesex
MA;MA40;Middlesex
MA;MA60;Middlesex
MA;MA62;Middlesex
MA;MA85;Middlesex
MA;MA99;Middlesex
MA;MA110;Middlesex
MA;MA111;Middlesex
MA;MA113;Middlesex
MA;MA115;Middlesex
MA;MA117;Middlesex
MA;MA119;Middlesex
MA;MA125;Middlesex
MA;MA126;Middlesex
MA;MA128;Middlesex
MA;MA129;Middlesex
MA;MA133;Middlesex
MA;MA135;Middlesex
MA;MA225;Middlesex
MA;I-93;Norfolk
MA;I-95;Norfolk
MA;I-495;Norfolk
MA;US1;Norfolk
MA;MA1A;Norfolk
MA;MA2;Norfolk
MA;MA3;Norfolk
MA;MA3A;Norfolk
MA;MA9;Norfolk
MA;MA16;Norfolk
MA;MA18;Norfolk
MA;MA24;Norfolk
MA;MA27;Norfolk
MA;MA28;Norfolk
MA;MA37;Norfolk
MA;MA53;Norfolk
MA;MA58;Norfolk
MA;MA106;Norfolk
MA;MA109;Norfolk
MA;MA115;Norfolk
MA;MA121;Norfolk
MA;MA126;Norfolk
MA;MA128;Norfolk
MA;MA135;Norfolk
