region;route;county
MD;I-68;Allegany
MD;US40;Allegany
MD;US220;Allegany
MD;MD35;Allegany
MD;MD36;Allegany
MD;MD47;Allegany
MD;MD49;Allegany
MD;MD51;Allegany
MD;MD53;Allegany
MD;MD55;Allegany
MD;MD61;Allegany
MD;MD135;Allegany
MD;MD144;Allegany
MD;MD636;Allegany
MD;MD638;Allegany
MD;MD639;Allegany
MD;MD658;Allegany
MD;MD936;Allegany
MD;MD956;Allegany
MD;I-97;Anne Arundel
MD;I-195;Anne Arundel
MD;I-595;Anne Arundel
MD;I-695;Anne Arundel
MD;I-895;Anne Arundel
MD;US50;Anne Arundel
MD;US301;Anne Arundel
MD;MD2;Anne Arundel
MD;MD3;Anne Arundel
MD;MD4;Anne Arundel
MD;MD10;Anne Arundel
MD;MD32;Anne Arundel
MD;MD70;Anne Arundel
MD;MD100;Anne Arundel
MD;MD103;Anne Arundel
MD;MD162;Anne Arundel
MD;MD168;Anne Arundel
MD;MD169;Anne Arundel
MD;MD170;Anne Arundel
MD;MD171;Anne Arundel
MD;MD173;Anne Arundel
MD;MD174;Anne Arundel
MD;MD175;Anne Arundel
MD;MD176;Anne Arundel
MD;MD177;Anne Arundel
MD;MD178;Anne Arundel
MD;MD179;Anne Arundel
MD;MD198;Anne Arundel
MD;MD214;Anne Arundel
MD;MD216;Anne Arundel
MD;MD253;Anne Arundel
MD;MD255;Anne Arundel
MD;MD256;Anne Arundel
MD;MD258;Anne Arundel
MD;MD259;Anne Arundel
MD;MD260;Anne Arundel
MD;MD261;Anne Arundel
MD;MD270;Anne Arundel
MD;MD295;Anne Arundel
MD;MD387;Anne Arundel
MD;MD393;Anne Arundel
MD;MD408;Anne Arundel
MD;MD422;Anne Arundel
MD;MD423;Anne Arundel
MD;MD424;Anne Arundel
MD;MD435;Anne Arundel
MD;MD436;Anne Arundel
MD;MD450;Anne Arundel
MD;MD468;Anne Arundel
MD;MD607;Anne Arundel
MD;MD648;Anne Arundel
MD;MD652;Anne Arundel
MD;MD665;Anne Arundel
MD;MD710;Anne Arundel
MD;MD713;Anne Arundel
MD;MD758;Anne Arundel
MD;MD778;Anne Arundel
MD;MD794;Anne Arundel
MD;I-70;Baltimore County
MD;I-83;Baltimore County
MD;I-95;Baltimore County
MD;I-195;Baltimore County
MD;I-695;Baltimore County
MD;I-795;Baltimore County
MD;I-895;Baltimore County
MD;US1;Baltimore County
MD;US40;Baltimore County
MD;MD7;Baltimore County
MD;MD25;Baltimore County
MD;MD26;Baltimore County
MD;MD30;Baltimore County
MD;MD41;Baltimore County
MD;MD43;Baltimore County
MD;MD45;Baltimore County
MD;MD88;Baltimore County
