region;route;county
MI;US23;Alcona
MI;MI65;Alcona
MI;MI72;Alcona
MI;US41;Alger
MI;MI28;Alger
MI;MI67;Alger
MI;MI77;Alger
MI;MI94;Alger
MI;I-196;Allegan
MI;US31;Allegan
MI;US131;Allegan
MI;MI40;Allegan
MI;MI43;Allegan
MI;MI89;Allegan
MI;MI179;Allegan
MI;MI222;Allegan
MI;US23;Alpena
MI;MI32;Alpena
MI;MI65;Alpena
MI;US31;Antrim
MI;US131;Antrim
MI;MI32;Antrim
MI;MI66;Antrim
MI;MI88;Antrim
MI;I-75;Arenac
MI;US23;Arenac
MI;MI13;Arenac
MI;MI33;Arenac
MI;MI61;Arenac
MI;MI65;Arenac
MI;US41;Baraga
MI;US141;Baraga
MI;MI28;Baraga
MI;MI38;Baraga
MI;MI37;Barry
MI;MI43;Barry
MI;MI50;Barry
MI;MI66;Barry
MI;MI78;Barry
MI;MI79;Barry
MI;MI89;Barry
MI;I-75;Bay
MI;US10;Bay
MI;US23;Bay
MI;MI13;Bay
MI;MI15;Bay
MI;MI20;Bay
MI;MI25;Bay
MI;MI47;Bay
MI;MI61;Bay
MI;MI84;Bay
MI;MI138;Bay
MI;MI247;Bay
MI;US31;Benzie
MI;MI22;Benzie
MI;MI115;Benzie
MI;I-94;Berrien
MI;I-196;Berrien
MI;US12;Berrien
MI;US31;Berrien
MI;MI51;Berrien
MI;MI62;Berrien
MI;MI63;Berrien
MI;MI139;Berrien
MI;MI140;Berrien
MI;MI239;Berrien
MI;I-69;Branch
MI;US12;Branch
MI;MI60;Branch
MI;MI66;Branch
MI;MI86;Branch
MI;I-69;Calhoun
MI;I-94;Calhoun
MI;I-194;Calhoun
MI;MI37;Calhoun
MI;MI60;Calhoun
MI;MI66;Calhoun
MI;MI78;Calhoun
MI;MI89;Calhoun
MI;MI96;Calhoun
MI;MI99;Calhoun
MI;MI199;Calhoun
MI;MI227;Calhoun
MI;MI294;Calhoun
MI;MI311;Calhoun
MI;US12;Cass
MI;MI40;Cass
MI;MI51;Cass
MI;MI60;Cass
MI;MI62;Cass
MI;MI152;Cass
MI;MI216;Cass
MI;MI217;Cass
MI;US31;Charlevoix
MI;US131;Charlevoix
MI;MI32;Charlevoix
MI;MI66;Charlevoix
MI;MI75;Charlevoix
MI;I-75;Cheboygan
MI;US23;Cheboygan
MI;US31;Cheboygan
MI;MI27;Cheboygan
MI;MI33;Cheboygan
MI;MI68;Cheboygan
MI;MI212;Cheboygan
MI;I-75;Chippewa
MI;MI28;Chippewa
MI;MI48;Chippewa
MI;MI80;Chippewa
MI;MI123;Chippewa
MI;MI129;Chippewa
MI;MI134;Chippewa
MI;MI221;Chippewa
MI;US10;Clare
MI;US127;Clare
MI;MI18;Clare
MI;MI61;Clare
MI;MI115;Clare
MI;I-69;Clinton
MI;I-96;Clinton
MI;US127;Clinton
MI;MI21;Clinton
MI;MI100;Clinton
MI;I-75;Crawford
MI;US127;Crawford
MI;MI18;Crawford
MI;MI72;Crawford
MI;MI93;Crawford
MI;US2;Delta
MI;US41;Delta
MI;MI35;Delta
MI;MI69;Delta
MI;MI183;Delta
MI;US2;Dickinson
MI;US8;Dickinson
MI;US141;Dickinson
MI;MI69;Dickinson
MI;MI95;Dickinson
MI;I-69;Eaton
MI;I-96;Eaton
MI;I-496;Eaton
MI;MI43;Eaton
MI;MI50;Eaton
MI;MI66;Eaton
MI;MI78;Eaton
MI;MI79;Eaton
MI;MI99;Eaton
MI;MI100;Eaton
MI;MI188;Eaton
MI;I-75;Emmet
MI;US23;Emmet
MI;US31;Emmet
MI;US131;Emmet
MI;MI68;Emmet
MI;MI119;Emmet
MI;I-69;Genesee
MI;I-75;Genesee
MI;I-475;Genesee
MI;US23;Genesee
MI;MI13;Genesee
MI;MI15;Genesee
MI;MI21;Genesee
MI;MI54;Genesee
MI;MI57;Genesee
MI;MI18;Gladwin
MI;MI30;Gladwin
MI;MI61;Gladwin
MI;US2;Gogebic
MI;US45;Gogebic
MI;MI28;Gogebic
MI;MI64;Gogebic
MI;US31;Grand Traverse
MI;US131;Grand Traverse
MI;MI22;Grand Traverse
MI;MI37;Grand Traverse
MI;MI72;Grand Traverse
MI;MI113;Grand Traverse
MI;MI186;Grand Traverse
MI;US127;Gratiot
MI;MI46;Gratiot
MI;MI57;Gratiot
MI;US12;Hillsdale
MI;US127;Hillsdale
MI;MI34;Hillsdale
MI;MI49;Hillsdale
MI;MI99;Hillsdale
MI;US41;Houghton
MI;MI26;Houghton
MI;MI28;Houghton
MI;MI38;Houghton
MI;MI203;Houghton
MI;MI19;Huron
MI;MI25;Huron
MI;MI53;Huron
MI;MI142;Huron
MI;I-96;Ingham
MI;I-496;Ingham
MI;US127;Ingham
MI;MI36;Ingham
MI;MI43;Ingham
MI;MI52;Ingham
MI;MI99;Ingham
MI;MI106;Ingham
MI;MI143;Ingham
MI;MI188;Ingham
MI;I-96;Ionia
MI;MI21;Ionia
MI;MI44;Ionia
MI;MI50;Ionia
MI;MI66;Ionia
MI;MI91;Ionia
MI;US23;Iosco
MI;MI55;Iosco
MI;MI65;Iosco
MI;US2;Iron
MI;US141;Iron
MI;MI69;Iron
MI;MI73;Iron
MI;MI189;Iron
MI;US10;Isabella
MI;US127;Isabella
MI;MI20;Isabella
MI;I-94;Jackson
MI;US127;Jackson
MI;MI50;Jackson
MI;MI52;Jackson
MI;MI60;Jackson
MI;MI99;Jackson
MI;MI106;Jackson
MI;MI124;Jackson
MI;I-94;Kalamazoo
MI;US131;Kalamazoo
