region;route;county
MO;US63;Adair
MO;MO3;Adair
MO;MO6;Adair
MO;MO11;Adair
MO;MO149;Adair
MO;MO157;Adair
MO;I-29;Andrew
MO;I-229;Andrew
MO;US59;Andrew
MO;US71;Andrew
MO;US169;Andrew
MO;MO48;Andrew
MO;I-29;Atchinson
MO;US59;Atchinson
MO;US136;Atchinson
MO;US275;Atchinson
MO;MO46;Atchinson
MO;MO111;Atchinson
MO;US54;Audrain
MO;MO15;Audrain
MO;MO19;Audrain
MO;MO22;Audrain
MO;MO151;Audrain
MO;US60;Barry
MO;MO37;Barry
MO;MO39;Barry
MO;MO76;Barry
MO;MO86;Barry
MO;MO97;Barry
MO;MO112;Barry
MO;MO248;Barry
MO;I-49;Barton
MO;US71;Barton
MO;US160;Barton
MO;MO43;Barton
MO;MO126;Barton
MO;I-49;Bates
MO;US71;Bates
MO;MO18;Bates
MO;MO52;Bates
MO;US65;Benton
MO;MO7;Benton
MO;MO52;Benton
MO;MO82;Benton
MO;MO83;Benton
MO;MO51;Bollinger
MO;MO72;Bollinger
MO;MO91;Bollinger
MO;I-70;Boone
MO;US40;Boone
MO;US63;Boone
MO;MO22;Boone
MO;MO124;Boone
MO;MO151;Boone
MO;MO163;Boone
MO;MO740;Boone
MO;MO763;Boone
MO;I-29;Buchanan
MO;I-229;Buchanan
MO;US36;Buchanan
MO;US59;Buchanan
MO;US71;Buchanan
MO;US169;Buchanan
MO;MO6;Buchanan
MO;MO31;Buchanan
MO;MO116;Buchanan
MO;MO138;Buchanan
MO;MO273;Buchanan
MO;MO371;Buchanan
MO;MO752;Buchanan
MO;US60;Butler
MO;US67;Butler
MO;US160;Butler
MO;MO51;Butler
MO;MO53;Butler
MO;MO142;Butler
MO;MO158;Butler
MO;I-35;Caldwell
MO;US36;Caldwell
MO;MO13;Caldwell
MO;MO110;Caldwell
MO;MO116;Caldwell
MO;I-70;Callaway
MO;US40;Callaway
MO;US54;Callaway
MO;US63;Callaway
MO;MO94;Callaway
MO;US54;Camden
MO;MO5;Camden
MO;MO7;Camden
MO;MO73;Camden
MO;MO134;Camden
MO;I-55;Cape Girardeau
MO;US61;Cape Girardeau
MO;MO25;Cape Girardeau
MO;MO32;Cape Girardeau
MO;MO34;Cape Girardeau
MO;MO72;Cape Girardeau
MO;MO74;Cape Girardeau
MO;MO77;Cape Girardeau
MO;MO177;Cape Girardeau
MO;US24;Carroll
MO;US65;Carroll
MO;MO10;Carroll
MO;MO41;Carroll
MO;MO139;Carroll
MO;US60;Carter
MO;MO21;Carter
MO;MO103;Carter
MO;I-49;Cass
MO;US71;Cass
MO;MO2;Cass
MO;MO7;Cass
MO;MO18;Cass
MO;MO58;Cass
MO;MO291;Cass
MO;US54;Cedar
MO;MO32;Cedar
MO;MO39;Cedar
MO;MO82;Cedar
MO;MO97;Cedar
MO;MO215;Cedar
MO;MO245;Cedar
MO;US24;Chariton
MO;MO5;Chariton
MO;MO11;Chariton
MO;MO129;Chariton
MO;MO139;Chariton
MO;US60;Christian
MO;US65;Christian
MO;US160;Christian
MO;MO13;Christian
MO;MO14;Christian
MO;MO125;Christian
MO;MO176;Christian
MO;MO265;Christian
MO;MO413;Christian
MO;US61;Clark
MO;US136;Clark
MO;MO27;Clark
MO;MO81;Clark
MO;I-29;Clay
MO;I-35;Clay
MO;I-435;Clay
MO;US69;Clay
MO;US71;Clay
MO;US169;Clay
MO;MO1;Clay
MO;MO9;Clay
MO;MO10;Clay
MO;MO33;Clay
MO;MO92;Clay
MO;MO110;Clay
MO;MO152;Clay
MO;MO210;Clay
MO;MO283;Clay
MO;MO291;Clay
MO;I-35;Clinton
MO;US69;Clinton
MO;US169;Clinton
MO;MO33;Clinton
MO;MO110;Clinton
MO;MO116;Clinton
MO;MO121;Clinton
MO;US50;Cole
MO;US54;Cole
MO;US63;Cole
MO;MO17;Cole
MO;MO179;Cole
MO;I-70;Cooper
MO;US40;Cooper
MO;MO5;Cooper
MO;MO41;Cooper
MO;MO87;Cooper
MO;MO98;Cooper
MO;MO135;Cooper
MO;MO179;Cooper
MO;I-44;Crawford
MO;MO8;Crawford
MO;MO19;Crawford
MO;MO49;Crawford
MO;US160;Dade
MO;MO39;Dade
MO;MO97;Dade
MO;MO215;Dade
MO;MO245;Dade
MO;US65;Dallas
MO;MO32;Dallas
MO;MO38;Dallas
MO;MO64;Dallas
MO;MO64A;Dallas
MO;MO73;Dallas
MO;MO215;Dallas
MO;I-35;Daviess
MO;US69;Daviess
MO;MO6;Daviess
MO;MO13;Daviess
MO;MO190;Daviess
MO;I-35;DeKalb
MO;US36;DeKalb
MO;US69;DeKalb
MO;US169;DeKalb
MO;MO6;DeKalb
MO;MO31;DeKalb
MO;MO33;DeKalb
MO;MO110;DeKalb
MO;MO19;Dent
MO;MO32;Dent
MO;MO68;Dent
MO;MO72;Dent
MO;MO117;Dent
MO;MO119;Dent
MO;MO5;Douglas
MO;MO14;Douglas
MO;MO76;Douglas
MO;MO95;Douglas
MO;MO181;Douglas
MO;US62;Dunklin
MO;US412;Dunklin
MO;MO25;Dunklin
MO;MO53;Dunklin
MO;MO84;Dunklin
MO;MO108;Dunklin
MO;MO153;Dunklin
MO;MO162;Dunklin
MO;MO164;Dunklin
MO;I-44;Franklin
MO;US50;Franklin
MO;MO30;Franklin
MO;MO47;Franklin
MO;MO100;Franklin
MO;MO185;Franklin
MO;US50;Gasconade
MO;MO19;Gasconade
MO;MO28;Gasconade
MO;MO100;Gasconade
MO;US136;Gentry
MO;US169;Gentry
MO;MO48;Gentry
MO;MO85;Gentry
MO;I-44;Greene
MO;US60;Greene
MO;US65;Greene
MO;US160;Greene
MO;MO13;Greene
MO;MO125;Greene
MO;MO174;Greene
MO;MO266;Greene
MO;MO360;Greene
MO;MO413;Greene
MO;MO744;Greene
MO;US65;Grundy
MO;MO6;Grundy
MO;MO128;Grundy
MO;MO139;Grundy
MO;MO146;Grundy
MO;MO190;Grundy
MO;I-35;Harrison
MO;US69;Harrison
MO;US136;Harrison
MO;MO13;Harrison
MO;MO46;Harrison
MO;MO146;Harrison
MO;MO2;Henry
MO;MO7;Henry
MO;MO13;Henry
MO;MO18;Henry
MO;MO23;Henry
MO;MO52;Henry
MO;US54;Hickory
MO;US65;Hickory
MO;MO64;Hickory
MO;MO64B;Hickory
MO;MO82;Hickory
MO;MO83;Hickory
MO;MO123;Hickory
MO;MO254;Hickory
MO;I-29;Holt
MO;US59;Holt
MO;US159;Holt
MO;MO111;Holt
MO;MO113;Holt
MO;MO118;Holt
MO;MO120;Holt
MO;US40;Howard
MO;MO3;Howard
MO;MO5;Howard
MO;MO87;Howard
MO;MO124;Howard
MO;MO129;Howard
MO;MO187;Howard
MO;MO240;Howard
MO;US60;Howell
MO;US63;Howell
MO;US160;Howell
MO;MO14;Howell
MO;MO17;Howell
MO;MO76;Howell
MO;MO101;Howell
MO;MO137;Howell
MO;MO142;Howell
MO;MO21;Iron
MO;MO32;Iron
MO;MO49;Iron
MO;MO72;Iron
MO;MO143;Iron
MO;MO221;Iron
MO;I-29;Jackson
MO;I-35;Jackson
MO;I-49;Jackson
MO;I-70;Jackson
MO;I-435;Jackson
MO;I-470;Jackson
MO;I-670;Jackson
MO;US24;Jackson
MO;US40;Jackson
MO;US50;Jackson
MO;US56;Jackson
MO;US71;Jackson
MO;US169;Jackson
MO;MO7;Jackson
MO;MO12;Jackson
MO;MO78;Jackson
MO;MO150;Jackson
MO;MO291;Jackson
MO;MO350;Jackson
MO;I-44;Jasper
MO;I-49;Jasper
MO;US71;Jasper
MO;MO37;Jasper
MO;MO43;Jasper
MO;MO66;Jasper
MO;MO96;Jasper
MO;MO171;Jasper
MO;MO249;Jasper
MO;MO571;Jasper
MO;I-55;Jefferson
MO;US61;Jefferson
MO;US67;Jefferson
MO;MO21;Jefferson
MO;MO30;Jefferson
MO;MO109;Jefferson
MO;MO110;Jefferson
MO;MO141;Jefferson
MO;MO231;Jefferson
MO;US50;Johnson
MO;MO2;Johnson
MO;MO13;Johnson
MO;MO23;Johnson
MO;MO58;Johnson
MO;MO131;Johnson
MO;MO6;Knox
MO;MO11;Knox
MO;MO15;Knox
MO;MO151;Knox
MO;MO156;Knox
MO;I-44;Laclede
MO;MO5;Laclede
MO;MO17;Laclede
MO;MO32;Laclede
MO;MO64;Laclede
MO;MO64A;Laclede
MO;MO95;Laclede
MO;I-70;Lafayette
MO;US24;Lafayette
MO;US40;Lafayette
MO;US65;Lafayette
MO;MO13;Lafayette
MO;MO23;Lafayette
MO;MO131;Lafayette
MO;MO213;Lafayette
MO;MO224;Lafayette
MO;I-44;Lawrence
MO;US60;Lawrence
MO;MO14;Lawrence
MO;MO37;Lawrence
MO;MO39;Lawrence
MO;MO96;Lawrence
MO;MO97;Lawrence
MO;MO174;Lawrence
MO;MO265;Lawrence
MO;MO266;Lawrence
MO;US61;Lewis
MO;MO6;Lewis
MO;MO16;Lewis
MO;MO81;Lewis
MO;MO156;Lewis
MO;US61;Lincoln
MO;MO47;Lincoln
MO;MO79;Lincoln
MO;MO147;Lincoln
MO;US36;Linn
MO;MO5;Linn
