region;route;county
ND;US12;Adams
ND;ND8;Adams
ND;ND22;Adams
ND;I-94;Barnes
ND;US52;Barnes
ND;ND1;Barnes
ND;ND9;Barnes
ND;ND26;Barnes
ND;ND32;Barnes
ND;ND46;Barnes
ND;US2;Benson
ND;US281;Benson
ND;ND19;Benson
ND;ND20;Benson
ND;ND30;Benson
ND;ND57;Benson
ND;I-94;Billings
ND;US85;Billings
ND;US83;Bottineau
ND;ND5;Bottineau
ND;ND14;Bottineau
ND;ND43;Bottineau
ND;ND60;Bottineau
ND;ND256;Bottineau
ND;US12;Bowman
ND;US85;Bowman
ND;ND67;Bowman
ND;US52;Burke
ND;ND5;Burke
ND;ND8;Burke
ND;ND40;Burke
ND;ND50;Burke
ND;I-94;Burleigh
ND;US83;Burleigh
ND;ND14;Burleigh
ND;ND36;Burleigh
ND;ND1804;Burleigh
ND;I-29;Cass
ND;I-94;Cass
ND;US10;Cass
ND;US52;Cass
ND;US81;Cass
ND;ND10;Cass
ND;ND18;Cass
ND;ND38;Cass
ND;ND46;Cass
ND;ND1;Cavalier
ND;ND5;Cavalier
ND;ND20;Cavalier
ND;ND66;Cavalier
ND;US281;Dickey
ND;ND1;Dickey
ND;ND11;Dickey
ND;ND13;Dickey
ND;ND56;Dickey
ND;US85;Divide
ND;ND5;Divide
ND;ND40;Divide
ND;ND42;Divide
ND;ND8;Dunn
ND;ND22;Dunn
ND;ND200;Dunn
ND;ND1806;Dunn
ND;US281;Eddy
ND;ND15;Eddy
ND;ND20;Eddy
ND;US83;Emmons
ND;ND11;Emmons
ND;ND13;Emmons
ND;ND34;Emmons
ND;ND1804;Emmons
ND;US52;Foster
ND;US281;Foster
ND;ND9;Foster
ND;ND20;Foster
ND;ND200;Foster
ND;I-94;Golden Valley
ND;ND16;Golden Valley
ND;I-29;Grand Forks
ND;US2;Grand Forks
ND;US81;Grand Forks
ND;ND15;Grand Forks
ND;ND18;Grand Forks
ND;ND32;Grand Forks
ND;ND21;Grant
ND;ND31;Grant
ND;ND49;Grant
ND;ND1;Griggs
ND;ND32;Griggs
ND;ND45;Griggs
ND;ND65;Griggs
ND;ND200;Griggs
ND;ND8;Hettinger
ND;ND21;Hettinger
ND;ND22;Hettinger
ND;I-94;Kidder
ND;ND3;Kidder
ND;ND36;Kidder
ND;US281;LaMoure
ND;ND1;LaMoure
ND;ND13;LaMoure
ND;ND27;LaMoure
ND;ND56;LaMoure
ND;ND3;Logan
ND;ND13;Logan
ND;ND30;Logan
ND;ND34;Logan
ND;ND56;Logan
ND;US2;McHenry
ND;US52;McHenry
ND;ND14;McHenry
ND;ND19;McHenry
ND;ND23;McHenry
ND;ND41;McHenry
ND;ND53;McHenry
ND;ND97;McHenry
ND;ND3;McIntosh
ND;ND11;McIntosh
ND;ND13;McIntosh
ND;US85;McKenzie
ND;ND16;McKenzie
ND;ND22;McKenzie
ND;ND23;McKenzie
ND;ND58;McKenzie
ND;ND68;McKenzie
ND;ND73;McKenzie
ND;ND200;McKenzie
ND;ND1806;McKenzie
ND;US83;McLean
ND;ND28;McLean
ND;ND37;McLean
ND;ND41;McLean
ND;ND48;McLean
ND;ND53;McLean
ND;ND200;McLean
ND;ND200A;McLean
ND;ND1804;McLean
ND;ND31;Mercer
ND;ND48;Mercer
ND;ND49;Mercer
ND;ND200;Mercer
ND;ND200A;Mercer
ND;ND1806;Mercer
ND;I-94;Morton
ND;ND6;Morton
ND;ND21;Morton
ND;ND25;Morton
ND;ND31;Morton
ND;ND49;Morton
ND;ND1806;Morton
ND;US2;Mountrail
ND;ND8;Mountrail
ND;ND23;Mountrail
ND;ND37;Mountrail
ND;ND50;Mountrail
ND;ND1804;Mountrail
ND;US2;Nelson
ND;ND1;Nelson
ND;ND15;Nelson
ND;ND32;Nelson
