region;route;county
NM;I-25;Bernalillo
NM;I-40;Bernalillo
NM;NM14;Bernalillo
NM;NM45;Bernalillo
NM;NM47;Bernalillo
NM;NM147;Bernalillo
NM;NM165;Bernalillo
NM;NM217;Bernalillo
NM;NM306;Bernalillo
NM;NM313;Bernalillo
NM;NM314;Bernalillo
NM;NM317;Bernalillo
NM;NM333;Bernalillo
NM;NM337;Bernalillo
NM;NM345;Bernalillo
NM;NM423;Bernalillo
NM;NM448;Bernalillo
NM;NM500;Bernalillo
NM;NM528;Bernalillo
NM;NM536;Bernalillo
NM;NM556;Bernalillo
NM;US60;Catron
NM;US180;Catron
NM;NM12;Catron
NM;NM15;Catron
NM;NM32;Catron
NM;NM36;Catron
NM;NM59;Catron
NM;NM103;Catron
NM;NM159;Catron
NM;NM163;Catron
NM;NM174;Catron
NM;NM435;Catron
NM;NM601;Catron
NM;NM603;Catron
NM;US70;Chaves
NM;US82;Chaves
NM;US285;Chaves
NM;US380;Chaves
NM;NM2;Chaves
NM;NM13;Chaves
NM;NM20;Chaves
NM;NM24;Chaves
NM;NM172;Chaves
NM;NM190;Chaves
NM;NM246;Chaves
NM;NM249;Chaves
NM;NM253;Chaves
NM;NM254;Chaves
NM;NM255;Chaves
NM;NM256;Chaves
NM;NM261;Chaves
NM;NM409;Chaves
NM;NM438;Chaves
NM;I-40;Cibola
NM;NM6;Cibola
NM;NM36;Cibola
NM;NM117;Cibola
NM;NM122;Cibola
NM;NM124;Cibola
NM;NM279;Cibola
NM;NM412;Cibola
NM;NM547;Cibola
NM;NM568;Cibola
NM;NM605;Cibola
NM;NM606;Cibola
NM;NM615;Cibola
NM;I-25;Colfax
NM;US56;Colfax
NM;US64;Colfax
NM;US85;Colfax
NM;US87;Colfax
NM;US412;Colfax
NM;NM21;Colfax
NM;NM38;Colfax
NM;NM39;Colfax
NM;NM58;Colfax
NM;NM72;Colfax
NM;NM120;Colfax
NM;NM127;Colfax
NM;NM193;Colfax
NM;NM434;Colfax
NM;NM445;Colfax
NM;NM468;Colfax
NM;NM505;Colfax
NM;NM526;Colfax
NM;NM555;Colfax
NM;NM569;Colfax
NM;US60;Curry
NM;US70;Curry
NM;US84;Curry
NM;NM19;Curry
NM;NM77;Curry
NM;NM89;Curry
NM;NM106;Curry
NM;NM108;Curry
NM;NM209;Curry
NM;NM224;Curry
NM;NM241;Curry
NM;NM245;Curry
NM;NM267;Curry
NM;NM268;Curry
NM;NM275;Curry
NM;NM288;Curry
NM;NM289;Curry
NM;NM311;Curry
NM;NM312;Curry
NM;NM348;Curry
NM;NM467;Curry
NM;NM469;Curry
NM;NM523;Curry
NM;US60;De Baca
NM;US84;De Baca
NM;US285;De Baca
NM;NM20;De Baca
NM;NM203;De Baca
NM;NM212;De Baca
NM;NM247;De Baca
NM;NM252;De Baca
NM;NM272;De Baca
NM;NM294;De Baca
NM;I-10;Dona Ana
NM;I-25;Dona Ana
NM;US70;Dona Ana
NM;US85;Dona Ana
NM;US180;Dona Ana
NM;NM26;Dona Ana
NM;NM28;Dona Ana
NM;NM101;Dona Ana
NM;NM136;Dona Ana
NM;NM138;Dona Ana
NM;NM140;Dona Ana
NM;NM154;Dona Ana
NM;NM157;Dona Ana
NM;NM158;Dona Ana
NM;NM182;Dona Ana
NM;NM183;Dona Ana
NM;NM184;Dona Ana
NM;NM185;Dona Ana
NM;NM186;Dona Ana
NM;NM187;Dona Ana
NM;NM188;Dona Ana
NM;NM189;Dona Ana
NM;NM192;Dona Ana
NM;NM213;Dona Ana
NM;NM225;Dona Ana
NM;NM226;Dona Ana
NM;NM227;Dona Ana
NM;NM228;Dona Ana
NM;NM273;Dona Ana
NM;NM292;Dona Ana
NM;NM320;Dona Ana
NM;NM359;Dona Ana
NM;NM372;Dona Ana
NM;NM373;Dona Ana
NM;NM374;Dona Ana
NM;NM390;Dona Ana
NM;NM404;Dona Ana
NM;NM436;Dona Ana
NM;NM460;Dona Ana
NM;NM478;Dona Ana
NM;NM498;Dona Ana
NM;NM549;Dona Ana
NM;US62;Eddy
NM;US82;Eddy
NM;US180;Eddy
NM;US285;Eddy
NM;NM2;Eddy
NM;NM7;Eddy
NM;NM31;Eddy
NM;NM128;Eddy
NM;NM137;Eddy
NM;NM200;Eddy
NM;NM216;Eddy
NM;NM229;Eddy
NM;NM243;Eddy
NM;NM355;Eddy
NM;NM357;Eddy
NM;NM360;Eddy
NM;NM438;Eddy
NM;NM524;Eddy
NM;NM529;Eddy
NM;I-10;Grant
NM;US70;Grant
NM;US180;Grant
NM;NM9;Grant
NM;NM15;Grant
NM;NM35;Grant
NM;NM61;Grant
NM;NM78;Grant
NM;NM81;Grant
NM;NM90;Grant
NM;NM146;Grant
NM;NM152;Grant
NM;NM153;Grant
NM;NM211;Grant
NM;NM293;Grant
NM;NM356;Grant
NM;NM464;Grant
NM;I-40;Guadelupe
NM;US54;Guadelupe
NM;US84;Guadelupe
NM;US285;Guadelupe
NM;NM91;Guadelupe
NM;NM119;Guadelupe
NM;NM129;Guadelupe
NM;NM156;Guadelupe
NM;NM219;Guadelupe
NM;NM386;Guadelupe
NM;NM451;Guadelupe
NM;NM39;Harding
NM;NM102;Harding
NM;NM120;Harding
NM;NM419;Harding
NM;NM420;Harding
NM;I-10;Hidalgo
NM;US70;Hidalgo
NM;NM9;Hidalgo
NM;NM80;Hidalgo
NM;NM81;Hidalgo
NM;NM90;Hidalgo
NM;NM92;Hidalgo
NM;NM113;Hidalgo
NM;NM145;Hidalgo
NM;NM338;Hidalgo
NM;NM464;Hidalgo
NM;NM494;Hidalgo
NM;NM533;Hidalgo
NM;NM1113;Hidalgo
NM;US62;Lea
NM;US82;Lea
NM;US180;Lea
NM;US380;Lea
NM;NM8;Lea
NM;NM18;Lea
NM;NM83;Lea
NM;NM125;Lea
NM;NM128;Lea
NM;NM132;Lea
NM;NM133;Lea
NM;NM175;Lea
NM;NM176;Lea
NM;NM205;Lea
NM;NM206;Lea
NM;NM207;Lea
NM;NM208;Lea
NM;NM218;Lea
NM;NM238;Lea
NM;NM243;Lea
NM;NM248;Lea
NM;NM249;Lea
NM;NM322;Lea
NM;NM457;Lea
NM;NM483;Lea
NM;NM508;Lea
NM;NM529;Lea
NM;US54;Lincoln
NM;US70;Lincoln
NM;US285;Lincoln
NM;US380;Lincoln
NM;NM37;Lincoln
NM;NM48;Lincoln
NM;NM55;Lincoln
NM;NM220;Lincoln
NM;NM246;Lincoln
NM;NM247;Lincoln
NM;NM349;Lincoln
NM;NM368;Lincoln
NM;NM395;Lincoln
NM;NM461;Lincoln
NM;NM462;Lincoln
NM;NM532;Lincoln
NM;NM4;Los Alamos
NM;NM501;Los Alamos
NM;NM502;Los Alamos
NM;I-10;Luna
NM;US70;Luna
NM;US180;Luna
NM;NM9;Luna
NM;NM11;Luna
NM;NM26;Luna
NM;NM27;Luna
NM;NM61;Luna
NM;NM143;Luna
NM;NM198;Luna
NM;NM377;Luna
NM;NM418;Luna
NM;NM427;Luna
NM;NM549;Luna
NM;I-40;McKinley
NM;US491;McKinley
NM;NM36;McKinley
NM;NM53;McKinley
NM;NM118;McKinley
NM;NM122;McKinley
NM;NM134;McKinley
NM;NM264;McKinley
NM;NM371;McKinley
NM;NM400;McKinley
NM;NM412;McKinley
NM;NM509;McKinley
NM;NM564;McKinley
NM;NM566;McKinley
NM;NM602;McKinley
NM;NM605;McKinley
NM;NM608;McKinley
NM;NM609;McKinley
NM;NM610;McKinley
NM;NM612;McKinley
NM;I-25;Mora
NM;US85;Mora
NM;NM94;Mora
