region;route;county
NV;I-580;Carson City
NV;US50;Carson City
NV;US395;Carson City
NV;NV28;Carson City
NV;I-80;Churchill
NV;US50;Churchill
NV;US95;Churchill
NV;NV115;Churchill
NV;NV116;Churchill
NV;NV117;Churchill
NV;NV118;Churchill
NV;NV119;Churchill
NV;NV120;Churchill
NV;NV121;Churchill
NV;NV361;Churchill
NV;NV715;Churchill
NV;NV718;Churchill
NV;NV720;Churchill
NV;NV722;Churchill
NV;NV723;Churchill
NV;NV726;Churchill
NV;NV839;Churchill
NV;I-11;Clark
NV;I-15;Clark
NV;I-215;Clark
NV;US93;Clark
NV;US95;Clark
NV;NV146;Clark
NV;NV157;Clark
NV;NV158;Clark
NV;NV160;Clark
NV;NV163;Clark
NV;NV164;Clark
NV;NV165;Clark
NV;NV168;Clark
NV;NV169;Clark
NV;NV170;Clark
NV;NV172;Clark
NV;NV173;Clark
NV;CC215;Clark
NV;NV562;Clark
NV;NV564;Clark
NV;NV573;Clark
NV;NV574;Clark
NV;NV578;Clark
NV;NV579;Clark
NV;NV582;Clark
NV;NV592;Clark
NV;NV593;Clark
NV;NV595;Clark
NV;NV596;Clark
NV;NV599;Clark
NV;NV604;Clark
NV;NV610;Clark
NV;NV612;Clark
NV;NV613;Clark
NV;US50;Douglas
NV;US395;Douglas
NV;NV28;Douglas
NV;NV88;Douglas
NV;NV206;Douglas
NV;NV207;Douglas
NV;NV208;Douglas
NV;NV705;Douglas
NV;NV756;Douglas
NV;NV757;Douglas
NV;NV759;Douglas
NV;NV760;Douglas
NV;I-80;Elko
NV;US93;Elko
NV;NV221;Elko
NV;NV223;Elko
NV;NV225;Elko
NV;NV226;Elko
NV;NV227;Elko
NV;NV228;Elko
NV;NV229;Elko
NV;NV230;Elko
NV;NV231;Elko
NV;NV232;Elko
NV;NV233;Elko
NV;NV278;Elko
NV;NV535;Elko
NV;NV766;Elko
NV;NV767;Elko
NV;US6;Esmeralda
NV;US95;Esmeralda
NV;NV264;Esmeralda
NV;NV265;Esmeralda
NV;NV266;Esmeralda
NV;NV267;Esmeralda
NV;NV773;Esmeralda
NV;NV774;Esmeralda
NV;I-80;Eureka
NV;US50;Eureka
NV;NV278;Eureka
NV;NV306;Eureka
NV;NV766;Eureka
NV;I-80;Humboldt
NV;US95;Humboldt
NV;NV140;Humboldt
NV;NV289;Humboldt
NV;NV290;Humboldt
NV;NV292;Humboldt
NV;NV293;Humboldt
NV;NV294;Humboldt
NV;NV787;Humboldt
NV;NV789;Humboldt
NV;NV794;Humboldt
NV;NV795;Humboldt
NV;NV796;Humboldt
NV;I-80;Lander
NV;US50;Lander
NV;NV304;Lander
NV;NV305;Lander
NV;NV306;Lander
NV;NV376;Lander
NV;NV722;Lander
NV;NV806;Lander
NV;US93;Lincoln
NV;NV317;Lincoln
NV;NV318;Lincoln
NV;NV319;Lincoln
NV;NV320;Lincoln
NV;NV321;Lincoln
NV;NV322;Lincoln
NV;NV375;Lincoln
NV;NV816;Lincoln
NV;I-80;Lyon
NV;US50;Lyon
NV;US95;Lyon
NV;NV208;Lyon
NV;NV338;Lyon
NV;NV339;Lyon
NV;NV340;Lyon
NV;NV341;Lyon
NV;NV342;Lyon
NV;NV427;Lyon
NV;NV439;Lyon
NV;NV822;Lyon
NV;NV823;Lyon
NV;US6;Mineral
NV;US95;Mineral
NV;NV359;Mineral
NV;NV360;Mineral
NV;NV361;Mineral
NV;NV839;Mineral
NV;US6;Nye
NV;US95;Nye
NV;NV160;Nye
NV;NV267;Nye
NV;NV318;Nye
NV;NV361;Nye
NV;NV372;Nye
NV;NV373;Nye
NV;NV374;Nye
NV;NV375;Nye
NV;NV376;Nye
NV;NV377;Nye
NV;NV378;Nye
NV;NV379;Nye
NV;I-80;Pershing
NV;US95;Pershing
NV;NV396;Pershing
NV;NV397;Pershing
NV;NV398;Pershing
NV;NV399;Pershing
NV;NV400;Pershing
NV;NV401;Pershing
NV;NV447;Pershing
NV;NV856;Pershing
NV;NV860;Pershing
NV;I-80;Storey
NV;NV341;Storey
NV;NV342;Storey
NV;NV439;Storey
NV;NV655;Storey
NV;I-80;Washoe
NV;I-580;Washoe
NV;US395;Washoe
NV;NV28;Washoe
NV;NV341;Washoe
NV;NV425;Washoe
NV;NV426;Washoe
NV;NV427;Washoe
NV;NV429;Washoe
NV;NV430;Washoe
NV;NV431;Washoe
NV;NV439;Washoe
NV;NV443;Washoe
NV;NV445;Washoe
NV;NV446;Washoe
NV;NV447;Washoe
NV;NV647;Washoe
NV;NV648;Washoe
NV;NV653;Washoe
NV;NV655;Washoe
NV;NV659;Washoe
NV;NV667;Washoe
NV;NV668;Washoe
NV;NV671;Washoe
NV;NV673;Washoe
NV;NV880;Washoe
NV;US6;White Pine
NV;US50;White Pine
NV;US93;White Pine
NV;NV318;White Pine
NV;NV485;White Pine
NV;NV486;White Pine
NV;NV487;White Pine
NV;NV488;White Pine
NV;NV489;White Pine
NV;NV490;White Pine
NV;NV892;White Pine
NV;NV893;White Pine
NV;NV894;White Pine
NV;NV895;White Pine
