region;route;county
NY;I-87;Albany
NY;I-90;Albany
NY;I-787;Albany
NY;I-890;Albany
NY;US9;Albany
NY;US9W;Albany
NY;US20;Albany
NY;NY2;Albany
NY;NY5;Albany
NY;NY7;Albany
NY;NY9R;Albany
NY;NY32;Albany
NY;NY81;Albany
NY;NY85;Albany
NY;NY85A;Albany
NY;NY140;Albany
NY;NY143;Albany
NY;NY144;Albany
NY;NY145;Albany
NY;NY146;Albany
NY;NY155;Albany
NY;NY156;Albany
NY;NY157;Albany
NY;NY157A;Albany
NY;NY335;Albany
NY;NY377;Albany
NY;NY378;Albany
NY;NY396;Albany
NY;NY397;Albany
NY;NY443;Albany
NY;NY470;Albany
NY;NY787;Albany
NY;I-86;Allegany
NY;NY17;Allegany
NY;NY19;Allegany
NY;NY19A;Allegany
NY;NY21;Allegany
NY;NY70;Allegany
NY;NY243;Allegany
NY;NY244;Allegany
NY;NY248;Allegany
NY;NY275;Allegany
NY;NY305;Allegany
NY;NY417;Allegany
NY;NY446;Allegany
NY;I-87;Bronx
NY;I-95;Bronx
NY;I-278;Bronx
NY;I-295;Bronx
NY;I-678;Bronx
NY;I-695;Bronx
NY;US1;Bronx
NY;US9;Bronx
NY;NY9A;Bronx
NY;NY22;Bronx
NY;NY895;Bronx
NY;I-81;Broome
NY;I-86;Broome
NY;I-88;Broome
NY;US11;Broome
NY;NY7;Broome
NY;NY12;Broome
NY;NY17;Broome
NY;NY17C;Broome
NY;NY26;Broome
NY;NY38B;Broome
NY;NY41;Broome
NY;NY79;Broome
NY;NY201;Broome
NY;NY206;Broome
NY;NY235;Broome
NY;NY363;Broome
NY;NY369;Broome
NY;NY434;Broome
NY;I-86;Cattaraugus
NY;US62;Cattaraugus
NY;US219;Cattaraugus
NY;NY16;Cattaraugus
NY;NY17;Cattaraugus
NY;NY39;Cattaraugus
NY;NY98;Cattaraugus
NY;NY240;Cattaraugus
NY;NY241;Cattaraugus
NY;NY242;Cattaraugus
NY;NY243;Cattaraugus
NY;NY280;Cattaraugus
NY;NY305;Cattaraugus
NY;NY322;Cattaraugus
NY;NY353;Cattaraugus
NY;NY394;Cattaraugus
NY;NY417;Cattaraugus
NY;NY446;Cattaraugus
NY;I-90;Cayuga
NY;US20;Cayuga
NY;NY3;Cayuga
NY;NY5;Cayuga
NY;NY31;Cayuga
NY;NY34;Cayuga
NY;NY34B;Cayuga
NY;NY38;Cayuga
NY;NY38A;Cayuga
NY;NY41A;Cayuga
NY;NY90;Cayuga
NY;NY104;Cayuga
NY;NY104A;Cayuga
NY;NY176;Cayuga
NY;NY326;Cayuga
NY;NY370;Cayuga
NY;NY437;Cayuga
NY;I-86;Chautauqua
NY;I-90;Chautauqua
NY;US20;Chautauqua
NY;US62;Chautauqua
NY;NY5;Chautauqua
NY;NY17;Chautauqua
NY;NY39;Chautauqua
NY;NY60;Chautauqua
NY;NY76;Chautauqua
NY;NY83;Chautauqua
NY;NY322;Chautauqua
NY;NY394;Chautauqua
NY;NY426;Chautauqua
NY;NY430;Chautauqua
NY;NY474;Chautauqua
NY;I-86;Chemung
NY;NY13;Chemung
NY;NY14;Chemung
NY;NY17;Chemung
NY;NY34;Chemung
NY;NY223;Chemung
NY;NY224;Chemung
NY;NY225;Chemung
NY;NY328;Chemung
NY;NY352;Chemung
NY;NY367;Chemung
NY;NY414;Chemung
NY;NY427;Chemung
NY;I-88;Chenango
NY;NY7;Chenango
NY;NY8;Chenango
NY;NY12;Chenango
NY;NY12B;Chenango
NY;NY23;Chenango
NY;NY26;Chenango
NY;NY41;Chenango
NY;NY51;Chenango
NY;NY79;Chenango
NY;NY80;Chenango
NY;NY206;Chenango
NY;NY220;Chenango
NY;NY235;Chenango
NY;NY320;Chenango
NY;I-87;Clinton
NY;US2;Clinton
NY;US9;Clinton
NY;US11;Clinton
NY;NY3;Clinton
NY;NY9B;Clinton
NY;NY9N;Clinton
NY;NY22;Clinton
NY;NY22B;Clinton
NY;NY189;Clinton
NY;NY190;Clinton
NY;NY276;Clinton
NY;NY314;Clinton
NY;NY374;Clinton
NY;NY442;Clinton
NY;I-90;Columbia
NY;US9;Columbia
NY;US20;Columbia
NY;NY9G;Columbia
NY;NY9H;Columbia
NY;NY9J;Columbia
NY;NY22;Columbia
NY;NY23;Columbia
NY;NY23B;Columbia
NY;NY66;Columbia
NY;NY71;Columbia
NY;NY82;Columbia
NY;NY203;Columbia
NY;NY217;Columbia
NY;NY295;Columbia
NY;NY344;Columbia
NY;I-81;Cortland
NY;US11;Cortland
NY;NY13;Cortland
NY;NY23;Cortland
NY;NY26;Cortland
NY;NY38;Cortland
NY;NY41;Cortland
NY;NY41A;Cortland
NY;NY90;Cortland
NY;NY91;Cortland
NY;NY200;Cortland
NY;NY215;Cortland
NY;NY221;Cortland
NY;NY222;Cortland
NY;NY281;Cortland
NY;NY392;Cortland
NY;I-88;Delaware
NY;NY8;Delaware
NY;NY10;Delaware
NY;NY17;Delaware
NY;NY23;Delaware
NY;NY28;Delaware
NY;NY30;Delaware
NY;NY97;Delaware
NY;NY206;Delaware
NY;NY268;Delaware
NY;NY357;Delaware
NY;I-84;Dutchess
NY;US9;Dutchess
NY;US44;Dutchess
NY;NY9D;Dutchess
NY;NY9G;Dutchess
NY;NY22;Dutchess
NY;NY52;Dutchess
NY;NY55;Dutchess
NY;NY82;Dutchess
NY;NY113;Dutchess
NY;NY115;Dutchess
NY;NY199;Dutchess
NY;NY216;Dutchess
NY;NY292;Dutchess
NY;NY308;Dutchess
NY;NY343;Dutchess
NY;NY376;Dutchess
NY;I-90;Erie
NY;I-190;Erie
NY;I-290;Erie
NY;I-990;Erie
NY;US20;Erie
NY;US62;Erie
NY;US219;Erie
NY;NY5;Erie
NY;NY16;Erie
NY;NY33;Erie
NY;NY39;Erie
NY;NY75;Erie
NY;NY78;Erie
NY;NY93;Erie
NY;NY130;Erie
NY;NY179;Erie
NY;NY187;Erie
NY;NY198;Erie
NY;NY240;Erie
NY;NY249;Erie
NY;NY263;Erie
NY;NY265;Erie
NY;NY266;Erie
NY;NY270;Erie
NY;NY277;Erie
NY;NY324;Erie
NY;NY325;Erie
NY;NY354;Erie
NY;NY384;Erie
NY;NY391;Erie
NY;NY400;Erie
NY;NY425;Erie
