region;route;county
OK;US59;Adair
OK;US62;Adair
OK;OK10;Adair
OK;OK51;Adair
OK;OK100;Adair
OK;US64;Alfalfa
OK;OK8;Alfalfa
OK;OK8B;Alfalfa
OK;OK11;Alfalfa
OK;OK38;Alfalfa
OK;OK45;Alfalfa
OK;OK58;Alfalfa
OK;US69;Atoka
OK;US75;Atoka
OK;OK3;Atoka
OK;OK7;Atoka
OK;OK43;Atoka
OK;OK131;Atoka
OK;OK375;Atoka
OK;US64;Beaver
OK;US83;Beaver
OK;US270;Beaver
OK;US412;Beaver
OK;OK3;Beaver
OK;OK23;Beaver
OK;I-40;Beckham
OK;US283;Beckham
OK;OK6;Beckham
OK;OK30;Beckham
OK;OK34;Beckham
OK;OK55;Beckham
OK;OK152;Beckham
OK;US270;Blaine
OK;US281;Blaine
OK;OK3;Blaine
OK;OK8;Blaine
OK;OK8A;Blaine
OK;OK33;Blaine
OK;OK51;Blaine
OK;OK51A;Blaine
OK;OK58;Blaine
OK;OK58A;Blaine
OK;US69;Bryan
OK;US70;Bryan
OK;US75;Bryan
OK;OK22;Bryan
OK;OK48;Bryan
OK;OK70E;Bryan
OK;OK78;Bryan
OK;OK91;Bryan
OK;OK199;Bryan
OK;I-40;Caddo
OK;I-44;Caddo
OK;US62;Caddo
OK;US277;Caddo
OK;US281;Caddo
OK;OK8;Caddo
OK;OK9;Caddo
OK;OK19;Caddo
OK;OK37;Caddo
OK;OK58;Caddo
OK;OK146;Caddo
OK;OK152;Caddo
OK;I-40;Canadian
OK;I-344;Canadian
OK;US81;Canadian
OK;US270;Canadian
OK;US281;Canadian
OK;OK3;Canadian
OK;OK4;Canadian
OK;OK8;Canadian
OK;OK37;Canadian
OK;OK66;Canadian
OK;OK152;Canadian
OK;I-35;Carter
OK;US70;Carter
OK;US77;Carter
OK;US177;Carter
OK;OK7;Carter
OK;OK53;Carter
OK;OK53A;Carter
OK;OK74;Carter
OK;OK76;Carter
OK;OK77S;Carter
OK;OK142;Carter
OK;OK199;Carter
OK;US62;Cherokee
OK;OK10;Cherokee
OK;OK51;Cherokee
OK;OK80;Cherokee
OK;OK82;Cherokee
OK;OK100;Cherokee
OK;OK251A;Cherokee
OK;US70;Choctaw
OK;US271;Choctaw
OK;OK93;Choctaw
OK;OK109;Choctaw
OK;OK147;Choctaw
OK;OK209;Choctaw
OK;OK271A;Choctaw
OK;OK375;Choctaw
OK;US56;Cimarron
OK;US64;Cimarron
OK;US287;Cimarron
OK;US385;Cimarron
OK;US412;Cimarron
OK;OK3;Cimarron
OK;OK171;Cimarron
OK;OK325;Cimarron
OK;I-35;Cleveland
OK;I-44;Cleveland
OK;US62;Cleveland
OK;US77;Cleveland
OK;OK9;Cleveland
OK;OK37;Cleveland
OK;OK39;Cleveland
OK;OK77H;Cleveland
OK;US75;Coal
OK;OK3;Coal
OK;OK31;Coal
OK;OK31B;Coal
OK;OK43;Coal
OK;OK48;Coal
OK;OK131;Coal
OK;I-44;Comanche
OK;US62;Comanche
OK;US277;Comanche
OK;US281;Comanche
OK;OK7;Comanche
OK;OK17;Comanche
OK;OK36;Comanche
OK;OK49;Comanche
OK;OK58;Comanche
OK;OK65;Comanche
OK;OK115;Comanche
OK;I-44;Cotton
OK;US70;Cotton
OK;US277;Cotton
OK;US281;Cotton
OK;OK5;Cotton
OK;OK36;Cotton
OK;OK53;Cotton
OK;OK65;Cotton
OK;I-44;Craig
OK;US59;Craig
OK;US60;Craig
OK;US69;Craig
OK;OK2;Craig
OK;OK10;Craig
OK;OK25;Craig
OK;OK66;Craig
OK;OK82;Craig
OK;OK85;Craig
OK;I-44;Creek
OK;OK16;Creek
OK;OK33;Creek
OK;OK48;Creek
OK;OK51;Creek
OK;OK66;Creek
OK;OK67;Creek
OK;OK97;Creek
OK;OK99;Creek
OK;OK117;Creek
OK;OK117A;Creek
OK;OK166;Creek
OK;OK364;Creek
OK;I-40;Custer
OK;US183;Custer
OK;OK33;Custer
OK;OK34;Custer
OK;OK44;Custer
OK;OK47;Custer
OK;OK54;Custer
OK;OK73;Custer
OK;US59;Delaware
OK;US60;Delaware
OK;US69;Delaware
OK;US412;Delaware
OK;OK10;Delaware
OK;OK20;Delaware
OK;OK25;Delaware
OK;OK28;Delaware
OK;OK85;Delaware
OK;OK85A;Delaware
OK;OK116;Delaware
OK;OK125;Delaware
OK;OK127;Delaware
OK;OK412A;Delaware
OK;US60;Dewey
OK;US183;Dewey
OK;US270;Dewey
OK;US281;Dewey
OK;OK3;Dewey
OK;OK33;Dewey
OK;OK34;Dewey
OK;OK47;Dewey
OK;OK51;Dewey
OK;US60;Ellis
OK;US270;Ellis
OK;US283;Ellis
OK;US412;Ellis
OK;OK3;Ellis
OK;OK15;Ellis
OK;OK46;Ellis
OK;OK51;Ellis
OK;US60;Garfield
OK;US64;Garfield
OK;US81;Garfield
OK;US412;Garfield
OK;OK15;Garfield
OK;OK45;Garfield
OK;OK74;Garfield
OK;OK132;Garfield
OK;OK164;Garfield
OK;I-35;Garvin
OK;US77;Garvin
OK;US177;Garvin
OK;OK17A;Garvin
OK;OK19;Garvin
OK;OK24;Garvin
OK;OK29;Garvin
OK;OK59B;Garvin
OK;OK74;Garvin
OK;OK76;Garvin
OK;OK133;Garvin
OK;OK145;Garvin
OK;I-44;Grady
OK;US62;Grady
OK;US81;Grady
OK;US277;Grady
OK;OK4;Grady
OK;OK9;Grady
OK;OK17;Grady
OK;OK19;Grady
OK;OK37;Grady
OK;OK39;Grady
OK;OK92;Grady
OK;OK152;Grady
OK;US60;Grant
OK;US64;Grant
OK;US81;Grant
OK;OK11;Grant
OK;OK11A;Grant
OK;OK74;Grant
OK;OK132;Grant
OK;US283;Greer
OK;OK6;Greer
OK;OK9;Greer
OK;OK34;Greer
OK;OK34A;Greer
OK;OK34B;Greer
OK;OK44;Greer
OK;OK44A;Greer
OK;US62;Harmon
OK;OK5;Harmon
OK;OK9;Harmon
OK;OK30;Harmon
OK;US64;Harper
OK;US183;Harper
OK;US270;Harper
OK;US283;Harper
OK;US412;Harper
OK;OK3;Harper
OK;OK46;Harper
OK;OK149;Harper
OK;OK2;Haskell
OK;OK9;Haskell
OK;OK26;Haskell
OK;OK31;Haskell
OK;OK71;Haskell
OK;OK82;Haskell
OK;US75;Hughes
OK;US270;Hughes
OK;OK1;Hughes
OK;OK27;Hughes
OK;OK31;Hughes
OK;OK31A;Hughes
OK;OK48;Hughes
OK;OK84;Hughes
OK;US62;Jackson
OK;US283;Jackson
OK;OK5;Jackson
OK;OK6;Jackson
OK;OK19;Jackson
OK;OK34;Jackson
OK;US70;Jefferson
OK;US81;Jefferson
OK;OK5;Jefferson
OK;OK32;Jefferson
OK;OK79;Jefferson
OK;OK89;Jefferson
OK;US177;Johnston
OK;US377;Johnston
OK;OK1;Johnston
OK;OK7;Johnston
OK;OK7D;Johnston
OK;OK22;Johnston
OK;OK48;Johnston
OK;OK48A;Johnston
OK;OK78;Johnston
OK;OK99;Johnston
OK;OK199;Johnston
OK;I-35;Kay
OK;US60;Kay
OK;US77;Kay
OK;US177;Kay
OK;OK11;Kay
OK;OK156;Kay
OK;US81;Kingfisher
OK;OK3;Kingfisher
OK;OK33;Kingfisher
OK;OK51;Kingfisher
OK;OK74F;Kingfisher
OK;OK132;Kingfisher
OK;US62;Kiowa
OK;US183;Kiowa
OK;OK6;Kiowa
OK;OK9;Kiowa
OK;OK19;Kiowa
OK;OK44;Kiowa
OK;OK44A;Kiowa
OK;OK49;Kiowa
OK;OK54;Kiowa
OK;OK115;Kiowa
OK;US270;Latimer
OK;OK1;Latimer
OK;OK2;Latimer
OK;OK63;Latimer
OK;OK63A;Latimer
OK;OK82;Latimer
OK;US59;Le Flore
OK;US259;Le Flore
OK;US270;Le Flore
OK;US271;Le Flore
OK;OK1;Le Flore
OK;OK9;Le Flore
OK;OK9A;Le Flore
OK;OK31;Le Flore
OK;OK63;Le Flore
OK;OK82;Le Flore
OK;OK83;Le Flore
OK;OK112;Le Flore
OK;OK120;Le Flore
OK;OK128;Le Flore
OK;OK144;Le Flore
OK;I-44;Lincoln
OK;US62;Lincoln
OK;US177;Lincoln
OK;US377;Lincoln
OK;OK18;Lincoln
OK;OK66;Lincoln
OK;OK66B;Lincoln
OK;OK99;Lincoln
OK;OK102;Lincoln
OK;OK105;Lincoln
OK;I-35;Logan
OK;US77;Logan
OK;OK33;Logan
OK;OK51;Logan
OK;OK74;Logan
OK;OK74C;Logan
OK;OK74E;Logan
OK;OK74F;Logan
OK;OK105;Logan
OK;I-35;Love
OK;US77;Love
OK;OK32;Love
OK;OK76;Love
OK;OK77S;Love
OK;OK89;Love
OK;OK96;Love
OK;OK153;Love
OK;US60;Major
OK;US183;Major
OK;US270;Major
OK;US281;Major
OK;US412;Major
OK;OK8;Major
OK;OK51A;Major
OK;OK58;Major
OK;US70;Marshall
OK;US177;Marshall
OK;US377;Marshall
OK;OK1;Marshall
OK;OK32;Marshall
OK;OK70A;Marshall
OK;OK70B;Marshall
OK;OK70F;Marshall
OK;OK99;Marshall
OK;OK199;Marshall
OK;I-44;Mayes
OK;US69;Mayes
OK;US412;Mayes
OK;OK20;Mayes
OK;OK28;Mayes
OK;OK69A;Mayes
OK;OK82;Mayes
OK;OK412B;Mayes
OK;I-35;McClain
OK;I-44;McClain
OK;US62;McClain
OK;US77;McClain
OK;US177;McClain
OK;US277;McClain
OK;OK4;McClain
OK;OK9;McClain
OK;OK24;McClain
OK;OK37;McClain
OK;OK39;McClain
OK;OK59;McClain
OK;OK59A;McClain
OK;OK59B;McClain
OK;OK74;McClain
OK;OK74B;McClain
OK;OK76;McClain
OK;OK130;McClain
OK;OK133;McClain
OK;US70;McCurtain
OK;US259;McCurtain
OK;OK3;McCurtain
OK;OK4;McCurtain
OK;OK37;McCurtain
OK;OK87;McCurtain
OK;OK98;McCurtain
OK;OK259A;McCurtain
OK;I-40;McIntosh
OK;US69;McIntosh
OK;US266;McIntosh
OK;OK9;McIntosh
OK;OK9A;McIntosh
OK;OK52;McIntosh
OK;OK71;McIntosh
OK;OK72;McIntosh
OK;OK150;McIntosh
OK;OK375;McIntosh
OK;I-35;Murray
OK;US77;Murray
OK;US177;Murray
OK;OK1;Murray
OK;OK7;Murray
OK;OK17A;Murray
OK;OK110;Murray
OK;OK301;Murray
OK;I-40;Muskogee
OK;US62;Muskogee
OK;US64;Muskogee
OK;US69;Muskogee
OK;US266;Muskogee
OK;OK2;Muskogee
OK;OK10;Muskogee
OK;OK10A;Muskogee
OK;OK16;Muskogee
OK;OK52;Muskogee
OK;OK71;Muskogee
OK;OK72;Muskogee
OK;OK80;Muskogee
OK;OK100;Muskogee
OK;OK104;Muskogee
OK;OK162;Muskogee
OK;OK165;Muskogee
OK;OK351;Muskogee
OK;I-35;Noble
OK;US64;Noble
OK;US77;Noble
OK;US177;Noble
OK;US412;Noble
OK;OK15;Noble
OK;OK86;Noble
OK;OK108;Noble
OK;OK156;Noble
OK;OK164;Noble
OK;US60;Nowata
OK;US169;Nowata
OK;OK10;Nowata
OK;OK28;Nowata
OK;I-40;Okfuskee
OK;US62;Okfuskee
OK;US75;Okfuskee
OK;OK27;Okfuskee
OK;OK48;Okfuskee
OK;OK56;Okfuskee
OK;OK84;Okfuskee
OK;I-35;Oklahoma
OK;I-40;Oklahoma
OK;I-44;Oklahoma
OK;I-235;Oklahoma
OK;I-240;Oklahoma
OK;I-335;Oklahoma
OK;I-344;Oklahoma
OK;US62;Oklahoma
OK;US77;Oklahoma
OK;US270;Oklahoma
OK;OK3;Oklahoma
OK;OK66;Oklahoma
OK;OK74;Oklahoma
OK;OK77H;Oklahoma
OK;OK152;Oklahoma
OK;OK270;Oklahoma
OK;I-40;Okmulgee
OK;US62;Okmulgee
OK;US75;Okmulgee
OK;US266;Okmulgee
OK;OK16;Okmulgee
OK;OK56;Okmulgee
OK;OK375;Okmulgee
OK;US60;Osage
OK;US64;Osage
OK;US412;Osage
OK;OK10;Osage
OK;OK11;Osage
OK;OK18;Osage
OK;OK20;Osage
OK;OK97;Osage
OK;OK99;Osage
OK;OK123;Osage
OK;I-44;Ottawa
OK;US59;Ottawa
OK;US60;Ottawa
OK;US69;Ottawa
OK;OK10;Ottawa
OK;OK10C;Ottawa
OK;OK25;Ottawa
OK;OK69A;Ottawa
OK;OK125;Ottawa
OK;OK137;Ottawa
OK;US64;Pawnee
OK;US412;Pawnee
OK;OK15;Pawnee
OK;OK18;Pawnee
OK;OK48;Pawnee
OK;OK99;Pawnee
OK;OK108;Pawnee
OK;I-35;Payne
OK;US177;Payne
OK;US412;Payne
OK;OK18;Payne
OK;OK33;Payne
OK;OK51;Payne
OK;OK86;Payne
OK;OK99;Payne
OK;OK108;Payne
OK;OK312;Payne
OK;US69;Pittsburg
OK;US270;Pittsburg
OK;OK1;Pittsburg
OK;OK9;Pittsburg
OK;OK9A;Pittsburg
OK;OK31;Pittsburg
OK;OK31A;Pittsburg
OK;OK43;Pittsburg
OK;OK63;Pittsburg
OK;OK71;Pittsburg
OK;OK113;Pittsburg
OK;OK375;Pittsburg
OK;US177;Pontotoc
OK;US377;Pontotoc
OK;OK1;Pontotoc
OK;OK3;Pontotoc
OK;OK3E;Pontotoc
OK;OK3W;Pontotoc
OK;OK19;Pontotoc
OK;OK48;Pontotoc
OK;OK59A;Pontotoc
OK;OK99;Pontotoc
OK;OK301;Pontotoc
OK;I-40;Pottawatomie
OK;US177;Pottawatomie
OK;US270;Pottawatomie
OK;OK3;Pottawatomie
OK;OK3E;Pottawatomie
OK;OK3W;Pottawatomie
OK;OK9;Pottawatomie
OK;OK9A;Pottawatomie
OK;OK18;Pottawatomie
OK;OK39;Pottawatomie
OK;OK59;Pottawatomie
OK;OK59B;Pottawatomie
OK;OK102;Pottawatomie
OK;OK270;Pottawatomie
OK;US271;Pushmataha
OK;OK2;Pushmataha
OK;OK3;Pushmataha
OK;OK43;Pushmataha
OK;OK93;Pushmataha
OK;OK144;Pushmataha
OK;OK147;Pushmataha
OK;OK375;Pushmataha
OK;US283;Roger Mills
OK;OK6;Roger Mills
OK;OK30;Roger Mills
OK;OK33;Roger Mills
OK;OK34;Roger Mills
OK;OK47;Roger Mills
OK;OK47A;Roger Mills
OK;OK73;Roger Mills
OK;OK152;Roger Mills
OK;I-44;Rogers
OK;US169;Rogers
OK;US412;Rogers
OK;OK20;Rogers
OK;OK28;Rogers
OK;OK66;Rogers
OK;OK88;Rogers
OK;OK167;Rogers
OK;OK266;Rogers
OK;OK364;Rogers
OK;OK412P;Rogers
OK;I-40;Seminole
OK;US270;Seminole
OK;US377;Seminole
OK;OK3E;Seminole
OK;OK9;Seminole
OK;OK9A;Seminole
OK;OK39;Seminole
OK;OK56;Seminole
OK;OK59;Seminole
OK;OK99;Seminole
OK;I-40;Sequoyah
OK;US59;Sequoyah
OK;US64;Sequoyah
OK;OK10;Sequoyah
OK;OK10A;Sequoyah
OK;OK64B;Sequoyah
OK;OK64D;Sequoyah
OK;OK82;Sequoyah
OK;OK100;Sequoyah
OK;OK101;Sequoyah
OK;OK141;Sequoyah
OK;US81;Stephens
OK;OK7;Stephens
OK;OK7A;Stephens
OK;OK29;Stephens
OK;OK53;Stephens
OK;OK76;Stephens
OK;OK89;Stephens
OK;US54;Texas
OK;US56;Texas
OK;US64;Texas
OK;US412;Texas
OK;OK3;Texas
OK;OK94;Texas
OK;OK95;Texas
OK;OK136;Texas
OK;US70;Tillman
OK;US183;Tillman
OK;OK5;Tillman
OK;OK36;Tillman
OK;OK54;Tillman
OK;I-44;Tulsa
OK;I-244;Tulsa
OK;US64;Tulsa
OK;US75;Tulsa
OK;US169;Tulsa
OK;US412;Tulsa
OK;OK11;Tulsa
OK;OK20;Tulsa
OK;OK51;Tulsa
OK;OK66;Tulsa
OK;OK67;Tulsa
OK;OK97;Tulsa
OK;OK117;Tulsa
OK;OK151;Tulsa
OK;OK266;Tulsa
OK;OK364;Tulsa
OK;US64;Wagoner
OK;US69;Wagoner
OK;OK16;Wagoner
OK;OK51;Wagoner
OK;OK51B;Wagoner
OK;OK72;Wagoner
OK;OK104;Wagoner
OK;OK251A;Wagoner
OK;OK351;Wagoner
OK;OK364;Wagoner
OK;US60;Washington
OK;US75;Washington
OK;OK10;Washington
OK;OK11;Washington
OK;OK123;Washington
OK;I-40;Washita
OK;US183;Washita
OK;OK6;Washita
OK;OK42;Washita
OK;OK44;Washita
OK;OK54;Washita
OK;OK55;Washita
OK;OK115;Washita
OK;OK152;Washita
OK;OK183A;Washita
OK;US64;Woods
OK;US281;Woods
OK;OK11;Woods
OK;OK14;Woods
OK;OK34;Woods
OK;OK45;Woods
OK;OK50;Woods
OK;US183;Woodward
OK;US270;Woodward
OK;US412;Woodward
OK;OK3;Woodward
OK;OK15;Woodward
OK;OK34;Woodward
OK;OK34C;Woodward
OK;OK50;Woodward
OK;OK50A;Woodward
OK;OK50B;Woodward
