region;route;county
OR;I-84;Baker
OR;US26;Baker
OR;US30;Baker
OR;OR7;Baker
OR;OR86;Baker
OR;OR203;Baker
OR;OR245;Baker
OR;US20;Benton
OR;OR34;Benton
OR;OR99W;Benton
OR;OR223;Benton
OR;OR501;Benton
OR;I-5;Clackamas
OR;I-205;Clackamas
OR;US26;Clackamas
OR;OR35;Clackamas
OR;OR43;Clackamas
OR;OR99E;Clackamas
OR;OR211;Clackamas
OR;OR212;Clackamas
OR;OR213;Clackamas
OR;OR224;Clackamas
OR;OR551;Clackamas
OR;US26;Clatsop
OR;US30;Clatsop
OR;US101;Clatsop
OR;OR53;Clatsop
OR;OR103;Clatsop
OR;OR104;Clatsop
OR;OR104S;Clatsop
OR;OR202;Clatsop
OR;US26;Columbia
OR;US30;Columbia
OR;OR47;Columbia
OR;OR202;Columbia
OR;US101;Coos
OR;OR42;Coos
OR;OR42S;Coos
OR;OR241;Coos
OR;OR540;Coos
OR;US26;Crook
OR;OR27;Crook
OR;OR126;Crook
OR;OR380;Crook
OR;US101;Curry
OR;OR255;Curry
OR;US20;Deschutes
OR;US97;Deschutes
OR;OR27;Deschutes
OR;OR31;Deschutes
OR;OR126;Deschutes
OR;OR242;Deschutes
OR;I-5;Douglas
OR;US101;Douglas
OR;OR38;Douglas
OR;OR42;Douglas
OR;OR99;Douglas
OR;OR138;Douglas
OR;OR230;Douglas
OR;I-84;Gilliam
OR;US30;Gilliam
OR;OR19;Gilliam
OR;OR74;Gilliam
OR;OR206;Gilliam
OR;US26;Grant
OR;US395;Grant
OR;OR7;Grant
OR;OR19;Grant
OR;OR402;Grant
OR;US20;Harney
OR;US395;Harney
OR;OR78;Harney
OR;OR140;Harney
OR;OR205;Harney
OR;I-84;Hood River
OR;US30;Hood River
OR;OR35;Hood River
OR;OR281;Hood River
OR;OR282;Hood River
OR;I-5;Jackson
OR;OR62;Jackson
OR;OR66;Jackson
OR;OR99;Jackson
OR;OR140;Jackson
OR;OR230;Jackson
OR;OR234;Jackson
OR;OR238;Jackson
OR;US20;Jefferson
OR;US26;Jefferson
OR;US97;Jefferson
OR;OR293;Jefferson
OR;I-5;Josephine
OR;US199;Josephine
OR;OR46;Josephine
OR;OR99;Josephine
OR;OR238;Josephine
OR;OR260;Josephine
OR;US97;Klamath
OR;OR31;Klamath
OR;OR39;Klamath
OR;OR58;Klamath
OR;OR62;Klamath
OR;OR66;Klamath
OR;OR70;Klamath
OR;OR138;Klamath
OR;OR140;Klamath
OR;OR422;Klamath
OR;US20;Lake
OR;US395;Lake
OR;OR31;Lake
OR;OR58;Lake
OR;OR140;Lake
OR;I-5;Lane
OR;I-105;Lane
OR;US101;Lane
OR;OR36;Lane
OR;OR99;Lane
OR;OR99E;Lane
OR;OR99W;Lane
OR;OR126;Lane
OR;OR132;Lane
OR;OR242;Lane
OR;OR528;Lane
OR;OR569;Lane
OR;US20;Lincoln
OR;US101;Lincoln
OR;OR18;Lincoln
OR;OR34;Lincoln
OR;OR229;Lincoln
OR;I-5;Linn
OR;US20;Linn
OR;OR22;Linn
OR;OR34;Linn
OR;OR99E;Linn
OR;OR126;Linn
OR;OR164;Linn
OR;OR226;Linn
OR;OR228;Linn
OR;I-84;Malheur
OR;US20;Malheur
OR;US26;Malheur
OR;US30;Malheur
OR;US95;Malheur
OR;OR52;Malheur
OR;OR78;Malheur
OR;OR201;Malheur
OR;I-5;Marion
OR;OR22;Marion
OR;OR99E;Marion
OR;OR164;Marion
OR;OR211;Marion
OR;OR213;Marion
OR;OR214;Marion
OR;OR219;Marion
OR;OR226;Marion
OR;OR551;Marion
OR;I-84;Morrow
OR;US30;Morrow
OR;US730;Morrow
OR;OR74;Morrow
OR;OR206;Morrow
OR;OR207;Morrow
OR;I-5;Multnomah
OR;I-84;Multnomah
OR;I-205;Multnomah
OR;I-405;Multnomah
OR;US26;Multnomah
OR;US30;Multnomah
OR;OR8;Multnomah
OR;OR10;Multnomah
OR;OR43;Multnomah
OR;OR99E;Multnomah
OR;OR99W;Multnomah
OR;OR127;Multnomah
OR;OR213;Multnomah
OR;OR18;Polk
OR;OR22;Polk
OR;OR51;Polk
OR;OR99W;Polk
OR;OR221;Polk
OR;OR223;Polk
OR;OR223S;Polk
OR;I-84;Sherman
OR;US30;Sherman
OR;US97;Sherman
OR;OR206;Sherman
OR;OR216;Sherman
OR;US26;Tillamook
OR;US101;Tillamook
OR;OR6;Tillamook
OR;OR18;Tillamook
OR;OR22;Tillamook
OR;OR53;Tillamook
OR;OR130;Tillamook
OR;OR131;Tillamook
OR;I-82;Umatilla
OR;I-84;Umatilla
OR;US30;Umatilla
OR;US395;Umatilla
OR;US730;Umatilla
OR;OR11;Umatilla
OR;OR37;Umatilla
OR;OR74;Umatilla
OR;OR204;Umatilla
OR;OR207;Umatilla
OR;OR244;Umatilla
OR;OR331;Umatilla
OR;OR332;Umatilla
OR;OR339;Umatilla
OR;I-84;Union
OR;US30;Union
OR;OR82;Union
OR;OR203;Union
OR;OR204;Union
OR;OR237;Union
OR;OR244;Union
OR;OR3;Wallowa
OR;OR82;Wallowa
OR;I-84;Wasco
OR;US26;Wasco
OR;US30;Wasco
OR;US97;Wasco
OR;US197;Wasco
OR;OR206;Wasco
OR;OR216;Wasco
OR;OR218;Wasco
OR;OR293;Wasco
OR;I-5;Washington
OR;I-205;Washington
OR;US26;Washington
OR;OR6;Washington
OR;OR8;Washington
OR;OR10;Washington
OR;OR47;Washington
OR;OR99W;Washington
OR;OR127;Washington
OR;OR202;Washington
OR;OR210;Washington
OR;OR217;Washington
OR;OR219;Washington
OR;US26;Wheeler
OR;OR19;Wheeler
OR;OR207;Wheeler
OR;OR218;Wheeler
OR;OR18;Yamhill
