region;route;county
SC;US178;Abbeville
SC;SC20;Abbeville
SC;SC28;Abbeville
SC;SC71;Abbeville
SC;SC72;Abbeville
SC;SC81;Abbeville
SC;SC184;Abbeville
SC;SC201;Abbeville
SC;SC203;Abbeville
SC;SC252;Abbeville
SC;SC284;Abbeville
SC;SC823;Abbeville
SC;I-20;Aiken
SC;I-520;Aiken
SC;US1;Aiken
SC;US25;Aiken
SC;US78;Aiken
SC;US278;Aiken
SC;SC4;Aiken
SC;SC19;Aiken
SC;SC28;Aiken
SC;SC39;Aiken
SC;SC113;Aiken
SC;SC118;Aiken
SC;SC121;Aiken
SC;SC125;Aiken
SC;SC126;Aiken
SC;SC191;Aiken
SC;SC230;Aiken
SC;SC302;Aiken
SC;SC389;Aiken
SC;SC391;Aiken
SC;SC392;Aiken
SC;SC394;Aiken
SC;SC421;Aiken
SC;SC781;Aiken
SC;US278;Allendale
SC;US301;Allendale
SC;US321;Allendale
SC;SC3;Allendale
SC;SC125;Allendale
SC;SC300;Allendale
SC;SC641;Allendale
SC;I-85;Anderson
SC;US29;Anderson
SC;US76;Anderson
SC;US178;Anderson
SC;SC8;Anderson
SC;SC20;Anderson
SC;SC24;Anderson
SC;SC28;Anderson
SC;SC81;Anderson
SC;SC86;Anderson
SC;SC88;Anderson
SC;SC153;Anderson
SC;SC181;Anderson
SC;SC184;Anderson
SC;SC187;Anderson
SC;SC201;Anderson
SC;SC243;Anderson
SC;SC247;Anderson
SC;SC252;Anderson
SC;SC284;Anderson
SC;SC412;Anderson
SC;SC413;Anderson
SC;US21;Bamberg
SC;US78;Bamberg
SC;US301;Bamberg
SC;US321;Bamberg
SC;US601;Bamberg
SC;SC61;Bamberg
SC;SC64;Bamberg
SC;SC70;Bamberg
SC;SC217;Bamberg
SC;SC362;Bamberg
SC;SC641;Bamberg
SC;US78;Barnwell
SC;US278;Barnwell
SC;SC3;Barnwell
SC;SC37;Barnwell
SC;SC39;Barnwell
SC;SC64;Barnwell
SC;SC70;Barnwell
SC;SC125;Barnwell
SC;SC300;Barnwell
SC;SC304;Barnwell
SC;US17;Beaufort
SC;US21;Beaufort
SC;US278;Beaufort
SC;SC46;Beaufort
SC;SC116;Beaufort
SC;SC128;Beaufort
SC;SC170;Beaufort
SC;SC281;Beaufort
SC;SC462;Beaufort
SC;SC802;Beaufort
SC;I-26;Berkeley
SC;I-526;Berkeley
SC;US52;Berkeley
SC;US176;Berkeley
SC;SC6;Berkeley
SC;SC27;Berkeley
SC;SC41;Berkeley
SC;SC45;Berkeley
SC;SC165;Berkeley
SC;SC311;Berkeley
SC;SC402;Berkeley
SC;I-26;Calhoun
SC;US21;Calhoun
SC;US176;Calhoun
SC;US601;Calhoun
SC;SC6;Calhoun
SC;SC33;Calhoun
SC;SC172;Calhoun
SC;SC267;Calhoun
SC;SC419;Calhoun
SC;I-26;Charleston
SC;I-526;Charleston
SC;US17;Charleston
SC;US52;Charleston
SC;US78;Charleston
SC;SC7;Charleston
SC;SC30;Charleston
SC;SC41;Charleston
SC;SC45;Charleston
SC;SC61;Charleston
SC;SC162;Charleston
SC;SC164;Charleston
SC;SC165;Charleston
SC;SC171;Charleston
SC;SC174;Charleston
SC;SC461;Charleston
SC;SC517;Charleston
SC;SC642;Charleston
SC;SC700;Charleston
SC;SC703;Charleston
SC;I-85;Cherokee
SC;US29;Cherokee
SC;US221;Cherokee
SC;SC5;Cherokee
SC;SC11;Cherokee
SC;SC18;Cherokee
SC;SC55;Cherokee
SC;SC97;Cherokee
SC;SC105;Cherokee
SC;SC110;Cherokee
SC;SC150;Cherokee
SC;SC198;Cherokee
SC;SC211;Cherokee
SC;SC216;Cherokee
SC;SC329;Cherokee
SC;I-77;Chester
SC;US21;Chester
SC;US321;Chester
SC;SC9;Chester
SC;SC49;Chester
SC;SC72;Chester
SC;SC97;Chester
SC;SC99;Chester
SC;SC121;Chester
SC;SC200;Chester
SC;SC215;Chester
SC;SC223;Chester
SC;SC901;Chester
SC;SC909;Chester
SC;US1;Chesterfield
SC;US52;Chesterfield
SC;US601;Chesterfield
SC;SC9;Chesterfield
SC;SC102;Chesterfield
SC;SC109;Chesterfield
SC;SC145;Chesterfield
SC;SC151;Chesterfield
SC;SC207;Chesterfield
SC;SC265;Chesterfield
SC;SC268;Chesterfield
SC;SC742;Chesterfield
SC;SC903;Chesterfield
SC;I-95;Clarendon
SC;US15;Clarendon
