region;route;county
VT;US7;Addison
VT;VT12A;Addison
VT;VT17;Addison
VT;VT22A;Addison
VT;VT23;Addison
VT;VT30;Addison
VT;VT53;Addison
VT;VT73;Addison
VT;VT74;Addison
VT;VT100;Addison
VT;VT116;Addison
VT;VT125;Addison
VT;US7;Bennington
VT;VT7A;Bennington
VT;VT8;Bennington
VT;VT9;Bennington
VT;VT11;Bennington
VT;VT30;Bennington
VT;VT67;Bennington
VT;VT67A;Bennington
VT;VT100;Bennington
VT;VT153;Bennington
VT;VT279;Bennington
VT;VT313;Bennington
VT;VT315;Bennington
VT;VT346;Bennington
VT;I-91;Caledonia
VT;I-93;Caledonia
VT;US2;Caledonia
VT;US5;Caledonia
VT;US302;Caledonia
VT;VT2B;Caledonia
VT;VT5A;Caledonia
VT;VT14;Caledonia
VT;VT15;Caledonia
VT;VT16;Caledonia
VT;VT18;Caledonia
VT;VT114;Caledonia
VT;VT122;Caledonia
VT;VT215;Caledonia
VT;VT232;Caledonia
VT;I-89;Chittenden
VT;I-189;Chittenden
VT;US2;Chittenden
VT;US7;Chittenden
VT;VT2A;Chittenden
VT;VTF5;Chittenden
VT;VT15;Chittenden
VT;VT17;Chittenden
VT;VT116;Chittenden
VT;VT117;Chittenden
VT;VT127;Chittenden
VT;VT128;Chittenden
VT;VT289;Chittenden
VT;US2;Essex
VT;VT26;Essex
VT;VT102;Essex
VT;VT105;Essex
VT;VT111;Essex
VT;VT114;Essex
VT;VT141;Essex
VT;VT147;Essex
VT;VT253;Essex
VT;I-89;Franklin
VT;US7;Franklin
VT;VT36;Franklin
VT;VT38;Franklin
VT;VT58;Franklin
VT;VT78;Franklin
VT;VT104;Franklin
VT;VT105;Franklin
VT;VT108;Franklin
VT;VT118;Franklin
VT;VT120;Franklin
VT;VT128;Franklin
VT;VT139;Franklin
VT;VT207;Franklin
VT;VT235;Franklin
VT;VT236;Franklin
VT;VT242;Franklin
VT;US2;Grand Isle
VT;VT78;Grand Isle
VT;VT129;Grand Isle
VT;VT225;Grand Isle
VT;VT314;Grand Isle
VT;VT12;Lamoille
VT;VT15;Lamoille
VT;VT100;Lamoille
VT;VT100C;Lamoille
VT;VT104;Lamoille
VT;VT108;Lamoille
VT;VT109;Lamoille
VT;VT118;Lamoille
VT;I-89;Orange
VT;I-91;Orange
VT;US302;Orange
VT;VT12;Orange
VT;VT12A;Orange
VT;VT14;Orange
VT;VT25;Orange
VT;VT25A;Orange
VT;VT25B;Orange
VT;VT64;Orange
VT;VT65;Orange
VT;VT66;Orange
VT;VT110;Orange
VT;VT113;Orange
VT;VT132;Orange
VT;VT244;Orange
VT;I-91;Orleans
VT;US5;Orleans
VT;US5;Orleans
VT;VT5A;Orleans
VT;VT14;Orleans
VT;VT16;Orleans
VT;VT58;Orleans
VT;VT100;Orleans
VT;VT101;Orleans
VT;VT105;Orleans
VT;VT111;Orleans
VT;VT114;Orleans
VT;VT122;Orleans
VT;VT191;Orleans
VT;VT242;Orleans
VT;VT243;Orleans
VT;US4;Rutland
VT;US7;Rutland
VT;VT3;Rutland
VT;VT4A;Rutland
VT;VT7B;Rutland
VT;VT22A;Rutland
VT;VT30;Rutland
VT;VT31;Rutland
VT;VT53;Rutland
VT;VT73;Rutland
VT;VT100;Rutland
VT;VT103;Rutland
VT;VT133;Rutland
VT;VT140;Rutland
VT;VT144;Rutland
VT;VT149;Rutland
VT;VT153;Rutland
VT;VT155;Rutland
VT;I-89;Washington
VT;US2;Washington
VT;US302;Washington
VT;VT12;Washington
VT;VT12A;Washington
VT;VT14;Washington
VT;VT17;Washington
VT;VT62;Washington
VT;VT63;Washington
VT;VT64;Washington
VT;VT100;Washington
VT;VT100B;Washington
VT;VT110;Washington
VT;VT214;Washington
VT;VT215;Washington
VT;VT232;Washington
VT;I-91;Windham
VT;US5;Windham
VT;VT8A;Windham
VT;VT9;Windham
VT;VT11;Windham
VT;VT30;Windham
VT;VT35;Windham
VT;VT100;Windham
VT;VT103;Windham
VT;VT112;Windham
VT;VT119;Windham
VT;VT121;Windham
VT;VT123;Windham
VT;VT142;Windham
VT;I-89;Windsor
VT;I-91;Windsor
VT;US4;Windsor
VT;US5;Windsor
VT;VT10;Windsor
VT;VT10A;Windsor
VT;VT11;Windsor
VT;VT12;Windsor
VT;VT14;Windsor
VT;VT35;Windsor
VT;VT44;Windsor
VT;VT73;Windsor
VT;VT100;Windsor
VT;VT100A;Windsor
VT;VT103;Windsor
VT;VT106;Windsor
VT;VT107;Windsor
VT;VT110;Windsor
VT;VT131;Windsor
VT;VT132;Windsor
VT;VT143;Windsor
VT;VT155;Windsor
