region;route;county
WV;US33;Barbour
WV;US48;Barbour
WV;US119;Barbour
WV;US250;Barbour
WV;WV20;Barbour
WV;WV38;Barbour
WV;WV57;Barbour
WV;WV76;Barbour
WV;WV92;Barbour
WV;I-81;Berkeley
WV;US11;Berkeley
WV;WV9;Berkeley
WV;WV45;Berkeley
WV;WV51;Berkeley
WV;WV115;Berkeley
WV;WV243;Berkeley
WV;WV901;Berkeley
WV;US119;Boone
WV;WV3;Boone
WV;WV17;Boone
WV;WV85;Boone
WV;WV94;Boone
WV;WV99;Boone
WV;I-79;Braxton
WV;US19;Braxton
WV;WV4;Braxton
WV;WV5;Braxton
WV;WV15;Braxton
WV;US22;Brooke
WV;WV2;Brooke
WV;WV27;Brooke
WV;WV67;Brooke
WV;WV88;Brooke
WV;WV105;Brooke
WV;I-64;Cabell
WV;US52;Cabell
WV;US60;Cabell
WV;WV2;Cabell
WV;WV10;Cabell
WV;WV152;Cabell
WV;WV193;Cabell
WV;WV527;Cabell
WV;US33;Calhoun
WV;US119;Calhoun
WV;WV5;Calhoun
WV;WV16;Calhoun
WV;I-79;Clay
WV;WV4;Clay
WV;WV16;Clay
WV;WV36;Clay
WV;US50;Doddridge
WV;WV18;Doddridge
WV;WV23;Doddridge
WV;I-64;Fayette
WV;I-77;Fayette
WV;US19;Fayette
WV;US60;Fayette
WV;WV16;Fayette
WV;WV20;Fayette
WV;WV39;Fayette
WV;WV41;Fayette
WV;WV61;Fayette
WV;WV211;Fayette
WV;WV612;Fayette
WV;I-79;Gilmer
WV;US33;Gilmer
WV;US119;Gilmer
WV;WV5;Gilmer
WV;WV18;Gilmer
WV;WV47;Gilmer
WV;WV74;Gilmer
WV;US48;Grant
WV;US50;Grant
WV;US220;Grant
WV;WV28;Grant
WV;WV42;Grant
WV;WV55;Grant
WV;WV90;Grant
WV;WV93;Grant
WV;I-64;Greenbrier
WV;US60;Greenbrier
WV;US219;Greenbrier
WV;WV3;Greenbrier
WV;WV12;Greenbrier
WV;WV20;Greenbrier
WV;WV39;Greenbrier
WV;WV55;Greenbrier
WV;WV63;Greenbrier
WV;WV92;Greenbrier
WV;WV311;Greenbrier
WV;US50;Hampshire
WV;US220;Hampshire
WV;WV9;Hampshire
WV;WV28;Hampshire
WV;WV29;Hampshire
WV;WV127;Hampshire
