systemName;region;route
usai;AL;I-10
usai;AL;I-20
usai;AL;I-22
usai;AL;I-59
usai;AL;I-65
usai;AL;I-85
usai;AL;I-165
usai;AL;I-359
usai;AL;I-459
usai;AL;I-565
usai;AL;I-759
usaus;AL;US11
usaus;AL;US29
usaus;AL;US31
usaus;AL;US43
usaus;AL;US45
usaus;AL;US72
usaus;AL;US78
usaus;AL;US80
usaus;AL;US82
usaus;AL;US84
usaus;AL;US90
usaus;AL;US98
usaus;AL;US231
usaus;AL;US278
usaus;AL;US280
usaus;AL;US331
usaus;AL;US411
usaus;AL;US431
usaal;AL;AL4
usaal;AL;AL5
usaal;AL;AL9
usaal;AL;AL10
usaal;AL;AL13
usaal;AL;AL14
usaal;AL;AL15
usaal;AL;AL17
usaal;AL;AL18
usaal;AL;AL19
usaal;AL;AL20
usaal;AL;AL21
usaal;AL;AL22
usaal;AL;AL23
usaal;AL;AL24
usaal;AL;AL25
usaal;AL;AL26
usaal;AL;AL27
usaal;AL;AL28
usaal;AL;AL30
usaal;AL;AL32
usaal;AL;AL33
usaal;AL;AL34
usaal;AL;AL35
usaal;AL;AL36
usaal;AL;AL37
usaal;AL;AL39
usaal;AL;AL40
usaal;AL;AL41
usaal;AL;AL44
usaal;AL;AL46
usaal;AL;AL47
usaal;AL;AL48
usaal;AL;AL49
usaal;AL;AL50
usaal;AL;AL51
usaal;AL;AL52
usaal;AL;AL53
usaal;AL;AL54
usaal;AL;AL55
usaal;AL;AL56
usaal;AL;AL59
usaal;AL;AL60
usaal;AL;AL61
usaal;AL;AL62
usaal;AL;AL63
usaal;AL;AL64
usaal;AL;AL65
usaal;AL;AL66
usaal;AL;AL67
usaal;AL;AL68
usaal;AL;AL69
usaal;AL;AL70
usaal;AL;AL71
usaal;AL;AL73
usaal;AL;AL74
usaal;AL;AL75
usaal;AL;AL76
usaal;AL;AL77
usaal;AL;AL79
usaal;AL;AL81
usaal;AL;AL83
usaal;AL;AL85
usaal;AL;AL86
usaal;AL;AL87
usaal;AL;AL88
usaal;AL;AL89
usaal;AL;AL91
usaal;AL;AL92
usaal;AL;AL93
usaal;AL;AL94
usaal;AL;AL95
usaal;AL;AL96
usaal;AL;AL97
usaal;AL;AL99
usaal;AL;AL100
usaal;AL;AL101
usaal;AL;AL102
usaal;AL;AL103
usaal;AL;AL104
usaal;AL;AL105
usaal;AL;AL106
usaal;AL;AL107
usaal;AL;AL108
usaal;AL;AL109
usaal;AL;AL110
usaal;AL;AL111
usaal;AL;AL113
usaal;AL;AL114
usaal;AL;AL115
usaal;AL;AL116
usaal;AL;AL117
usaal;AL;AL118
usaal;AL;AL119
usaal;AL;AL120
usaal;AL;AL122
usaal;AL;AL123
usaal;AL;AL124
usaal;AL;AL125
usaal;AL;AL126
usaal;AL;AL127
usaal;AL;AL128
usaal;AL;AL129
usaal;AL;AL130
usaal;AL;AL131
usaal;AL;AL132
usaal;AL;AL133
usaal;AL;AL134
usaal;AL;AL136
usaal;AL;AL137
usaal;AL;AL138
usaal;AL;AL139
usaal;AL;AL140
usaal;AL;AL141
usaal;AL;AL142
usaal;AL;AL143
usaal;AL;AL144
usaal;AL;AL145
usaal;AL;AL146
usaal;AL;AL147
usaal;AL;AL148
usaal;AL;AL149
usaal;AL;AL150
usaal;AL;AL151
usaal;AL;AL152
usaal;AL;AL153
usaal;AL;AL154
usaal;AL;AL155
usaal;AL;AL156
usaal;AL;AL157
usaal;AL;AL158
usaal;AL;AL159
usaal;AL;AL160
usaal;AL;AL161
usaal;AL;AL162
usaal;AL;AL163
usaal;AL;AL164
usaal;AL;AL165
usaal;AL;AL166
usaal;AL;AL167
usaal;AL;AL168
usaal;AL;AL169
usaal;AL;AL170
usaal;AL;AL171
usaal;AL;AL172
usaal;AL;AL173
usaal;AL;AL174
usaal;AL;AL175
usaal;AL;AL176
usaal;AL;AL177
usaal;AL;AL178
usaal;AL;AL179
usaal;AL;AL180
usaal;AL;AL181
usaal;AL;AL182
usaal;AL;AL183
usaal;AL;AL184
usaal;AL;AL185
usaal;AL;AL186
usaal;AL;AL187
usaal;AL;AL188
usaal;AL;AL189
usaal;AL;AL191
usaal;AL;AL192
usaal;AL;AL193
usaal;AL;AL195
usaal;AL;AL196
usaal;AL;AL197
usaal;AL;AL198
usaal;AL;AL199
usaal;AL;AL201
usaal;AL;AL202
usaal;AL;AL203
usaal;AL;AL204
usaal;AL;AL205
usaal;AL;AL207
usaal;AL;AL208
usaal;AL;AL210
usaal;AL;AL211
usaal;AL;AL212
usaal;AL;AL213
usaal;AL;AL215
usaal;AL;AL216
usaal;AL;AL217
usaal;AL;AL219
usaal;AL;AL221
usaal;AL;AL223
usaal;AL;AL225
usaal;AL;AL227
usaal;AL;AL229
usaal;AL;AL233
usaal;AL;AL235
usaal;AL;AL237
usaal;AL;AL239
usaal;AL;AL241
usaal;AL;AL243
usaal;AL;AL245
usaal;AL;AL247
usaal;AL;AL248
usaal;AL;AL249
usaal;AL;AL251
usaal;AL;AL253
usaal;AL;AL255
usaal;AL;AL257
usaal;AL;AL259
usaal;AL;AL261
usaal;AL;AL263
usaal;AL;AL265
usaal;AL;AL269
usaal;AL;AL271
usaal;AL;AL273
usaal;AL;AL275
usaal;AL;AL277
usaal;AL;AL279
usaal;AL;AL281
usaal;AL;AL283
usaal;AL;AL285
usaal;AL;AL287
usaal;AL;AL289
usaal;AL;AL291
usaal;AL;AL293
usaal;AL;AL295
usaal;AL;AL297
usaal;AL;AL300
usaal;AL;AL301
usaal;AL;AL302
usaal;AL;AL304
usaal;AL;AL306
usaal;AL;AL307
usaal;AL;AL308
usaal;AL;AL378
usaal;AL;AL382
usaal;AL;AL605
usaal;AL;AL759
