systemName;region;route
usai;AR;I-30
usai;AR;I-40
usai;AR;I-49
usai;AR;I-55
usai;AR;I-57
usai;AR;I-430
usai;AR;I-440
usai;AR;I-530
usai;AR;I-540
usai;AR;I-555
usai;AR;I-630
usaus;AR;US49
usaus;AR;US59
usaus;AR;US61
usaus;AR;US62
usaus;AR;US63
usaus;AR;US64
usaus;AR;US65
usaus;AR;US67
usaus;AR;US70
usaus;AR;US71
usaus;AR;US78
usaus;AR;US79
usaus;AR;US82
usaus;AR;US165
usaus;AR;US167
usaus;AR;US270
usaus;AR;US271
usaus;AR;US278
usaus;AR;US371
usaus;AR;US412
usaus;AR;US425
usaar;AR;AR1
usaar;AR;AR4
usaar;AR;AR5
usaar;AR;AR7
usaar;AR;AR8
usaar;AR;AR9
usaar;AR;AR10
usaar;AR;AR11
usaar;AR;AR12
usaar;AR;AR13
usaar;AR;AR14
usaar;AR;AR15
usaar;AR;AR16
usaar;AR;AR17
usaar;AR;AR18
usaar;AR;AR19
usaar;AR;AR20
usaar;AR;AR21
usaar;AR;AR22
usaar;AR;AR23
usaar;AR;AR24
usaar;AR;AR25
usaar;AR;AR26
usaar;AR;AR27
usaar;AR;AR28
usaar;AR;AR29
usaar;AR;AR31
usaar;AR;AR32
usaar;AR;AR33
usaar;AR;AR34
usaar;AR;AR35
usaar;AR;AR36
usaar;AR;AR37
usaar;AR;AR38
usaar;AR;AR39
usaar;AR;AR41
usaar;AR;AR42
usaar;AR;AR43
usaar;AR;AR44
usaar;AR;AR45
usaar;AR;AR46
usaar;AR;AR48
usaar;AR;AR50
usaar;AR;AR51
usaar;AR;AR52
usaar;AR;AR53
usaar;AR;AR54
usaar;AR;AR56
usaar;AR;AR57
usaar;AR;AR58
usaar;AR;AR59
usaar;AR;AR60
usaar;AR;AR66
usaar;AR;AR69
usaar;AR;AR72
usaar;AR;AR73
usaar;AR;AR74
usaar;AR;AR75
usaar;AR;AR76
usaar;AR;AR77
usaar;AR;AR78
usaar;AR;AR80
usaar;AR;AR81
usaar;AR;AR83
usaar;AR;AR84
usaar;AR;AR85
usaar;AR;AR86
usaar;AR;AR87
usaar;AR;AR88
usaar;AR;AR89
usaar;AR;AR90
usaar;AR;AR91
usaar;AR;AR92
usaar;AR;AR93
usaar;AR;AR94
usaar;AR;AR95
usaar;AR;AR96
usaar;AR;AR97
usaar;AR;AR98
usaar;AR;AR100
usaar;AR;AR101
usaar;AR;AR102
usaar;AR;AR103
usaar;AR;AR104
usaar;AR;AR105
usaar;AR;AR106
usaar;AR;AR107
usaar;AR;AR108
usaar;AR;AR109
usaar;AR;AR110
usaar;AR;AR111
usaar;AR;AR112
usaar;AR;AR113
usaar;AR;AR114
usaar;AR;AR115
usaar;AR;AR116
usaar;AR;AR117
usaar;AR;AR118
usaar;AR;AR119
usaar;AR;AR120
usaar;AR;AR121
usaar;AR;AR122
usaar;AR;AR123
usaar;AR;AR124
usaar;AR;AR125
usaar;AR;AR126
usaar;AR;AR127
usaar;AR;AR128
usaar;AR;AR129
usaar;AR;AR130
usaar;AR;AR131
usaar;AR;AR133
usaar;AR;AR134
usaar;AR;AR135
usaar;AR;AR136
usaar;AR;AR137
usaar;AR;AR138
usaar;AR;AR139
usaar;AR;AR140
usaar;AR;AR141
usaar;AR;AR142
usaar;AR;AR143
usaar;AR;AR144
usaar;AR;AR145
usaar;AR;AR146
usaar;AR;AR147
usaar;AR;AR148
usaar;AR;AR149
usaar;AR;AR150
usaar;AR;AR151
usaar;AR;AR152
usaar;AR;AR153
usaar;AR;AR154
usaar;AR;AR155
usaar;AR;AR156
usaar;AR;AR157
usaar;AR;AR158
usaar;AR;AR159
usaar;AR;AR160
usaar;AR;AR161
usaar;AR;AR162
usaar;AR;AR163
usaar;AR;AR164
usaar;AR;AR166
usaar;AR;AR168
usaar;AR;AR169
usaar;AR;AR170
usaar;AR;AR171
usaar;AR;AR172
usaar;AR;AR173
usaar;AR;AR174
usaar;AR;AR175
usaar;AR;AR176
usaar;AR;AR177
usaar;AR;AR178
usaar;AR;AR179
usaar;AR;AR180
usaar;AR;AR181
usaar;AR;AR182
usaar;AR;AR183
usaar;AR;AR184
usaar;AR;AR185
usaar;AR;AR186
usaar;AR;AR187
usaar;AR;AR188
usaar;AR;AR189
usaar;AR;AR190
usaar;AR;AR191
usaar;AR;AR192
usaar;AR;AR193
usaar;AR;AR195
usaar;AR;AR196
usaar;AR;AR197
usaar;AR;AR198
usaar;AR;AR199
usaar;AR;AR200
usaar;AR;AR201
usaar;AR;AR202
usaar;AR;AR203
usaar;AR;AR205
usaar;AR;AR206
usaar;AR;AR207
usaar;AR;AR208
usaar;AR;AR209
usaar;AR;AR210
usaar;AR;AR211
usaar;AR;AR212
usaar;AR;AR213
usaar;AR;AR214
usaar;AR;AR215
usaar;AR;AR216
usaar;AR;AR217
usaar;AR;AR218
usaar;AR;AR219
usaar;AR;AR220
usaar;AR;AR221
usaar;AR;AR222
usaar;AR;AR223
usaar;AR;AR224
usaar;AR;AR225
usaar;AR;AR226
usaar;AR;AR227
usaar;AR;AR228
usaar;AR;AR229
usaar;AR;AR230
usaar;AR;AR231
usaar;AR;AR232
usaar;AR;AR233
usaar;AR;AR234
usaar;AR;AR235
usaar;AR;AR236
usaar;AR;AR237
usaar;AR;AR238
usaar;AR;AR239
usaar;AR;AR240
usaar;AR;AR241
usaar;AR;AR242
usaar;AR;AR243
usaar;AR;AR244
usaar;AR;AR246
usaar;AR;AR247
usaar;AR;AR248
usaar;AR;AR249
usaar;AR;AR250
usaar;AR;AR251
usaar;AR;AR252
usaar;AR;AR253
usaar;AR;AR254
usaar;AR;AR255
usaar;AR;AR256
usaar;AR;AR257
usaar;AR;AR258
usaar;AR;AR259
usaar;AR;AR260
usaar;AR;AR261
usaar;AR;AR262
usaar;AR;AR263
usaar;AR;AR264
usaar;AR;AR265
usaar;AR;AR266
usaar;AR;AR267
usaar;AR;AR268
usaar;AR;AR269
usaar;AR;AR270
usaar;AR;AR272
usaar;AR;AR273
usaar;AR;AR274
usaar;AR;AR275
usaar;AR;AR276
usaar;AR;AR277
usaar;AR;AR279
usaar;AR;AR280
usaar;AR;AR281
usaar;AR;AR282
usaar;AR;AR283
usaar;AR;AR284
usaar;AR;AR285
usaar;AR;AR286
usaar;AR;AR287
usaar;AR;AR288
usaar;AR;AR289
usaar;AR;AR290
usaar;AR;AR291
usaar;AR;AR292
usaar;AR;AR293
usaar;AR;AR294
usaar;AR;AR295
usaar;AR;AR296
usaar;AR;AR297
usaar;AR;AR298
usaar;AR;AR299
usaar;AR;AR300
usaar;AR;AR301
usaar;AR;AR302
usaar;AR;AR303
usaar;AR;AR304
usaar;AR;AR305
usaar;AR;AR306
usaar;AR;AR307
usaar;AR;AR308
usaar;AR;AR309
usaar;AR;AR310
usaar;AR;AR311
usaar;AR;AR312
usaar;AR;AR313
usaar;AR;AR314
usaar;AR;AR315
usaar;AR;AR316
usaar;AR;AR317
usaar;AR;AR318
usaar;AR;AR319
usaar;AR;AR320
usaar;AR;AR321
usaar;AR;AR322
usaar;AR;AR323
usaar;AR;AR324
usaar;AR;AR325
usaar;AR;AR326
usaar;AR;AR327
usaar;AR;AR328
usaar;AR;AR329
usaar;AR;AR330
usaar;AR;AR331
usaar;AR;AR332
usaar;AR;AR333
usaar;AR;AR334
usaar;AR;AR335
usaar;AR;AR336
usaar;AR;AR337
usaar;AR;AR338
usaar;AR;AR339
usaar;AR;AR340
usaar;AR;AR341
usaar;AR;AR342
usaar;AR;AR343
usaar;AR;AR344
usaar;AR;AR345
usaar;AR;AR346
usaar;AR;AR347
usaar;AR;AR348
usaar;AR;AR349
usaar;AR;AR350
usaar;AR;AR351
usaar;AR;AR352
usaar;AR;AR353
usaar;AR;AR354
usaar;AR;AR355
usaar;AR;AR356
usaar;AR;AR357
usaar;AR;AR358
usaar;AR;AR359
usaar;AR;AR360
usaar;AR;AR361
usaar;AR;AR362
usaar;AR;AR363
usaar;AR;AR364
usaar;AR;AR365
usaar;AR;AR366
usaar;AR;AR367
usaar;AR;AR368
usaar;AR;AR369
usaar;AR;AR370
usaar;AR;AR372
usaar;AR;AR373
usaar;AR;AR374
usaar;AR;AR375
usaar;AR;AR376
usaar;AR;AR377
usaar;AR;AR378
usaar;AR;AR379
