systemName;region;route
usai;AZ;I-8
usai;AZ;I-10
usai;AZ;I-15
usai;AZ;I-17
usai;AZ;I-19
usai;AZ;I-40
usaus;AZ;US60
usaus;AZ;US64
usaus;AZ;US70
usaus;AZ;US89
usaus;AZ;US89A
usaus;AZ;US93
usaus;AZ;US95
usaus;AZ;US160
usaus;AZ;US163
usaus;AZ;US180
usaus;AZ;US191
usaaz;AZ;AZ24
usaaz;AZ;AZ51
usaaz;AZ;AZ61
usaaz;AZ;AZ64
usaaz;AZ;AZ66
usaaz;AZ;AZ67
usaaz;AZ;AZ68
usaaz;AZ;AZ69
usaaz;AZ;AZ71
usaaz;AZ;AZ72
usaaz;AZ;AZ73
usaaz;AZ;AZ74
usaaz;AZ;AZ75
usaaz;AZ;AZ77
usaaz;AZ;AZ78
usaaz;AZ;AZ79
usaaz;AZ;AZ80
usaaz;AZ;AZ82
usaaz;AZ;AZ83
usaaz;AZ;AZ84
usaaz;AZ;AZ85
usaaz;AZ;AZ86
usaaz;AZ;AZ87
usaaz;AZ;AZ88
usaaz;AZ;AZ89
usaaz;AZ;AZ89A
usaaz;AZ;AZ90
usaaz;AZ;AZ92
usaaz;AZ;AZ95
usaaz;AZ;AZ96
usaaz;AZ;AZ97
usaaz;AZ;AZ98
usaaz;AZ;AZ99
usaaz;AZ;AZ101
usaaz;AZ;AZ143
usaaz;AZ;AZ169
usaaz;AZ;AZ177
usaaz;AZ;AZ179
usaaz;AZ;AZ180A
usaaz;AZ;AZ181
usaaz;AZ;AZ186
usaaz;AZ;AZ188
usaaz;AZ;AZ189
usaaz;AZ;AZ195
usaaz;AZ;AZ202
usaaz;AZ;AZ210
usaaz;AZ;AZ238
usaaz;AZ;AZ260
usaaz;AZ;AZ261
usaaz;AZ;AZ264
usaaz;AZ;AZ266
usaaz;AZ;AZ273
usaaz;AZ;AZ277
usaaz;AZ;AZ286
usaaz;AZ;AZ287
usaaz;AZ;AZ288
usaaz;AZ;AZ303
usaaz;AZ;AZ347
usaaz;AZ;AZ366
usaaz;AZ;AZ373
usaaz;AZ;AZ377
usaaz;AZ;AZ386
usaaz;AZ;AZ387
usaaz;AZ;AZ389
usaaz;AZ;AZ564
usaaz;AZ;AZ587
