systemName;region;route
cantch;BC;TCHBC
canbc;BC;BC1
canbc;BC;BC1A
canbc;BC;BC2
canbc;BC;BC3
canbc;BC;BC3A
canbc;BC;BC4
canbc;BC;BC4A
canbc;BC;BC5
canbc;BC;BC5A
canbc;BC;BC6
canbc;BC;BC7
canbc;BC;BC7B
canbc;BC;BC8
canbc;BC;BC9
canbc;BC;BC10
canbc;BC;BC11
canbc;BC;BC12
canbc;BC;BC13
canbc;BC;BC14
canbc;BC;BC15
canbc;BC;BC16
canbc;BC;BC17
canbc;BC;BC17A
canbc;BC;BC18
canbc;BC;BC19
canbc;BC;BC19A
canbc;BC;BC20
canbc;BC;BC21
canbc;BC;BC22
canbc;BC;BC22A
canbc;BC;BC23
canbc;BC;BC24
canbc;BC;BC26
canbc;BC;BC27
canbc;BC;BC28
canbc;BC;BC29
canbc;BC;BC30
canbc;BC;BC31
canbc;BC;BC31A
canbc;BC;BC33
canbc;BC;BC35
canbc;BC;BC37
canbc;BC;BC37A
canbc;BC;BC39
canbc;BC;BC41
canbc;BC;BC43
canbc;BC;BC49
canbc;BC;BC52
canbc;BC;BC77
canbc;BC;BC91
canbc;BC;BC91A
canbc;BC;BC93
canbc;BC;BC95
canbc;BC;BC95A
canbc;BC;BC97
canbc;BC;BC97A
canbc;BC;BC97B
canbc;BC;BC97C
canbc;BC;BC97D
canbc;BC;BC99
canbc;BC;BC101
canbc;BC;BC113
canbc;BC;BC118
canbc;BC;BC395
