systemName;region;route
usai;CA;I-5
usai;CA;I-8
usai;CA;I-10
usai;CA;I-15
usai;CA;I-40
usai;CA;I-80
usai;CA;I-105
usai;CA;I-110
usai;CA;I-205
usai;CA;I-210
usai;CA;I-215
usai;CA;I-238
usai;CA;I-280
usai;CA;I-380
usai;CA;I-405
usai;CA;I-505
usai;CA;I-580
usai;CA;I-605
usai;CA;I-680
usai;CA;I-710
usai;CA;I-780
usai;CA;I-805
usai;CA;I-880
usai;CA;I-980
usaus;CA;US6
usaus;CA;US50
usaus;CA;US95
usaus;CA;US97
usaus;CA;US101
usaus;CA;US199
usaus;CA;US395
usaca;CA;CA1
usaca;CA;CA2
usaca;CA;CA3
usaca;CA;CA4
usaca;CA;CA7
usaca;CA;CA9
usaca;CA;CA11
usaca;CA;CA12
usaca;CA;CA13
usaca;CA;CA14
usaca;CA;CA15
usaca;CA;CA16
usaca;CA;CA17
usaca;CA;CA18
usaca;CA;CA19
usaca;CA;CA20
usaca;CA;CA22
usaca;CA;CA23
usaca;CA;CA24
usaca;CA;CA25
usaca;CA;CA26
usaca;CA;CA27
usaca;CA;CA28
usaca;CA;CA29
usaca;CA;CA32
usaca;CA;CA33
usaca;CA;CA34
usaca;CA;CA35
usaca;CA;CA36
usaca;CA;CA37
usaca;CA;CA38
usaca;CA;CA39
usaca;CA;CA41
usaca;CA;CA43
usaca;CA;CA44
usaca;CA;CA45
usaca;CA;CA46
usaca;CA;CA47
usaca;CA;CA49
usaca;CA;CA52
usaca;CA;CA53
usaca;CA;CA54
usaca;CA;CA55
usaca;CA;CA56
usaca;CA;CA57
usaca;CA;CA58
usaca;CA;CA59
usaca;CA;CA60
usaca;CA;CA61
usaca;CA;CA62
usaca;CA;CA63
usaca;CA;CA65
usaca;CA;CA66
usaca;CA;CA67
usaca;CA;CA68
usaca;CA;CA70
usaca;CA;CA71
usaca;CA;CA72
usaca;CA;CA73
usaca;CA;CA74
usaca;CA;CA75
usaca;CA;CA76
usaca;CA;CA77
usaca;CA;CA78
usaca;CA;CA79
usaca;CA;CA82
usaca;CA;CA83
usaca;CA;CA84
usaca;CA;CA85
usaca;CA;CA86
usaca;CA;CA87
usaca;CA;CA88
usaca;CA;CA89
usaca;CA;CA90
usaca;CA;CA91
usaca;CA;CA92
usaca;CA;CA94
usaca;CA;CA96
usaca;CA;CA98
usaca;CA;CA99
usaca;CA;CA103
usaca;CA;CA104
usaca;CA;CA107
usaca;CA;CA108
usaca;CA;CA110
usaca;CA;CA111
usaca;CA;CA113
usaca;CA;CA115
usaca;CA;CA116
usaca;CA;CA118
usaca;CA;CA119
usaca;CA;CA120
usaca;CA;CA121
usaca;CA;CA123
usaca;CA;CA124
usaca;CA;CA125
usaca;CA;CA126
usaca;CA;CA127
usaca;CA;CA128
usaca;CA;CA129
usaca;CA;CA130
usaca;CA;CA131
usaca;CA;CA132
usaca;CA;CA133
usaca;CA;CA134
usaca;CA;CA135
usaca;CA;CA136
usaca;CA;CA137
usaca;CA;CA138
usaca;CA;CA139
usaca;CA;CA140
usaca;CA;CA142
usaca;CA;CA144
usaca;CA;CA145
usaca;CA;CA146
usaca;CA;CA147
usaca;CA;CA149
usaca;CA;CA150
usaca;CA;CA151
usaca;CA;CA152
usaca;CA;CA153
usaca;CA;CA154
usaca;CA;CA155
usaca;CA;CA156
usaca;CA;CA158
usaca;CA;CA160
usaca;CA;CA161
usaca;CA;CA162
usaca;CA;CA163
usaca;CA;CA165
usaca;CA;CA166
usaca;CA;CA167
usaca;CA;CA168
usaca;CA;CA169
usaca;CA;CA170
usaca;CA;CA172
usaca;CA;CA173
usaca;CA;CA174
usaca;CA;CA175
usaca;CA;CA177
usaca;CA;CA178
usaca;CA;CA180
usaca;CA;CA182
usaca;CA;CA183
usaca;CA;CA184
usaca;CA;CA185
usaca;CA;CA186
usaca;CA;CA187
usaca;CA;CA188
usaca;CA;CA189
usaca;CA;CA190
usaca;CA;CA191
usaca;CA;CA192
usaca;CA;CA193
usaca;CA;CA197
usaca;CA;CA198
usaca;CA;CA200
usaca;CA;CA201
usaca;CA;CA202
usaca;CA;CA203
usaca;CA;CA204
usaca;CA;CA207
usaca;CA;CA210
usaca;CA;CA211
usaca;CA;CA213
usaca;CA;CA216
usaca;CA;CA217
usaca;CA;CA218
usaca;CA;CA219
usaca;CA;CA220
usaca;CA;CA221
usaca;CA;CA222
usaca;CA;CA223
usaca;CA;CA227
usaca;CA;CA229
usaca;CA;CA232
usaca;CA;CA233
usaca;CA;CA236
usaca;CA;CA237
usaca;CA;CA238
usaca;CA;CA241
usaca;CA;CA242
usaca;CA;CA243
usaca;CA;CA245
usaca;CA;CA246
usaca;CA;CA247
usaca;CA;CA253
usaca;CA;CA254
usaca;CA;CA255
usaca;CA;CA259
usaca;CA;CA260
usaca;CA;CA261
usaca;CA;CA262
usaca;CA;CA263
usaca;CA;CA265
usaca;CA;CA266
usaca;CA;CA267
usaca;CA;CA269
usaca;CA;CA270
usaca;CA;CA271
usaca;CA;CA273
usaca;CA;CA281
usaca;CA;CA282
usaca;CA;CA284
usaca;CA;CA299
usaca;CA;CA330
usaca;CA;CA371
usaca;CA;CA710
usaca;CA;CA905
