systemName;region;route
usai;CO;I-25
usai;CO;I-70
usai;CO;I-76
usai;CO;I-225
usai;CO;I-270
usaus;CO;US6
usaus;CO;US24
usaus;CO;US34
usaus;CO;US36
usaus;CO;US40
usaus;CO;US50
usaus;CO;US84
usaus;CO;US85
usaus;CO;US87
usaus;CO;US138
usaus;CO;US160
usaus;CO;US285
usaus;CO;US287
usaus;CO;US350
usaus;CO;US385
usaus;CO;US400
usaus;CO;US491
usaus;CO;US550
usaco;CO;CO1
usaco;CO;CO2
usaco;CO;CO3
usaco;CO;CO5
usaco;CO;CO7
usaco;CO;CO8
usaco;CO;CO9
usaco;CO;CO10
usaco;CO;CO11
usaco;CO;CO12
usaco;CO;CO13
usaco;CO;CO14
usaco;CO;CO15
usaco;CO;CO16
usaco;CO;CO17
usaco;CO;CO21
usaco;CO;CO22
usaco;CO;CO23
usaco;CO;CO26
usaco;CO;CO30
usaco;CO;CO36
usaco;CO;CO39
usaco;CO;CO40
usaco;CO;CO41
usaco;CO;CO42
usaco;CO;CO44
usaco;CO;CO45
usaco;CO;CO46
usaco;CO;CO47
usaco;CO;CO52
usaco;CO;CO53
usaco;CO;CO55
usaco;CO;CO56
usaco;CO;CO58
usaco;CO;CO59
usaco;CO;CO60
usaco;CO;CO61
usaco;CO;CO62
usaco;CO;CO63
usaco;CO;CO64
usaco;CO;CO65
usaco;CO;CO66
usaco;CO;CO67
usaco;CO;CO69
usaco;CO;CO71
usaco;CO;CO72
usaco;CO;CO74
usaco;CO;CO75
usaco;CO;CO78
usaco;CO;CO79
usaco;CO;CO82
usaco;CO;CO83
usaco;CO;CO85
usaco;CO;CO86
usaco;CO;CO88
usaco;CO;CO89
usaco;CO;CO90
usaco;CO;CO91
usaco;CO;CO92
usaco;CO;CO93
usaco;CO;CO94
usaco;CO;CO95
usaco;CO;CO96
usaco;CO;CO97
usaco;CO;CO101
usaco;CO;CO103
usaco;CO;CO105
usaco;CO;CO109
usaco;CO;CO112
usaco;CO;CO113
usaco;CO;CO114
usaco;CO;CO115
usaco;CO;CO116
usaco;CO;CO119
usaco;CO;CO120
usaco;CO;CO121
usaco;CO;CO125
usaco;CO;CO127
usaco;CO;CO128
usaco;CO;CO131
usaco;CO;CO133
usaco;CO;CO134
usaco;CO;CO135
usaco;CO;CO136
usaco;CO;CO139
usaco;CO;CO140
usaco;CO;CO141
usaco;CO;CO142
usaco;CO;CO144
usaco;CO;CO145
usaco;CO;CO149
usaco;CO;CO150
usaco;CO;CO151
usaco;CO;CO157
usaco;CO;CO159
usaco;CO;CO165
usaco;CO;CO167
usaco;CO;CO170
usaco;CO;CO172
usaco;CO;CO177
usaco;CO;CO184
usaco;CO;CO194
usaco;CO;CO196
usaco;CO;CO202
usaco;CO;CO207
usaco;CO;CO224
usaco;CO;CO227
usaco;CO;CO231
usaco;CO;CO233
usaco;CO;CO239
usaco;CO;CO257
usaco;CO;CO265
usaco;CO;CO266
usaco;CO;CO291
usaco;CO;CO300
usaco;CO;CO317
usaco;CO;CO318
usaco;CO;CO325
usaco;CO;CO330
usaco;CO;CO340
usaco;CO;CO348
usaco;CO;CO368
usaco;CO;CO370
usaco;CO;CO371
usaco;CO;CO389
usaco;CO;CO391
usaco;CO;CO392
usaco;CO;CO394
usaco;CO;CO402
usaco;CO;CO470
usaco;CO;E470
