systemName;region;route
usai;IN;I-64
usai;IN;I-65
usai;IN;I-69
usai;IN;I-70
usai;IN;I-74
usai;IN;I-80
usai;IN;I-90
usai;IN;I-94
usai;IN;I-265
usai;IN;I-275
usai;IN;I-465
usai;IN;I-469
usai;IN;I-865
usaus;IN;US6
usaus;IN;US12
usaus;IN;US20
usaus;IN;US24
usaus;IN;US27
usaus;IN;US30
usaus;IN;US31
usaus;IN;US33
usaus;IN;US35
usaus;IN;US36
usaus;IN;US40
usaus;IN;US41
usaus;IN;US50
usaus;IN;US52
usaus;IN;US131
usaus;IN;US136
usaus;IN;US150
usaus;IN;US224
usaus;IN;US231
usaus;IN;US421
usain;IN;IN1
usain;IN;IN2
usain;IN;IN3
usain;IN;IN4
usain;IN;IN5
usain;IN;IN7
usain;IN;IN8
usain;IN;IN9
usain;IN;IN10
usain;IN;IN11
usain;IN;IN13
usain;IN;IN14
usain;IN;IN15
usain;IN;IN16
usain;IN;IN17
usain;IN;IN18
usain;IN;IN19
usain;IN;IN22
usain;IN;IN23
usain;IN;IN25
usain;IN;IN26
usain;IN;IN28
usain;IN;IN29
usain;IN;IN32
usain;IN;IN37
usain;IN;IN38
usain;IN;IN39
usain;IN;IN42
usain;IN;IN43
usain;IN;IN44
usain;IN;IN45
usain;IN;IN46
usain;IN;IN47
usain;IN;IN48
usain;IN;IN49
usain;IN;IN51
usain;IN;IN53
usain;IN;IN54
usain;IN;IN55
usain;IN;IN56
usain;IN;IN57
usain;IN;IN58
usain;IN;IN59
usain;IN;IN60
usain;IN;IN61
usain;IN;IN62
usain;IN;IN63
usain;IN;IN64
usain;IN;IN65
usain;IN;IN66
usain;IN;IN67
usain;IN;IN68
usain;IN;IN69
usain;IN;IN70
usain;IN;IN71
usain;IN;IN75
usain;IN;IN101
usain;IN;IN103
usain;IN;IN104
usain;IN;IN105
usain;IN;IN106
usain;IN;IN109
usain;IN;IN110
usain;IN;IN111
usain;IN;IN114
usain;IN;IN115
usain;IN;IN116
usain;IN;IN117
usain;IN;IN119
usain;IN;IN120
usain;IN;IN121
usain;IN;IN124
usain;IN;IN127
usain;IN;IN128
usain;IN;IN129
usain;IN;IN130
usain;IN;IN134
usain;IN;IN135
usain;IN;IN140
usain;IN;IN142
usain;IN;IN143
usain;IN;IN144
usain;IN;IN145
usain;IN;IN148
usain;IN;IN149
usain;IN;IN152
usain;IN;IN154
usain;IN;IN156
usain;IN;IN157
usain;IN;IN158
usain;IN;IN159
usain;IN;IN160
usain;IN;IN161
usain;IN;IN162
usain;IN;IN163
usain;IN;IN164
usain;IN;IN165
usain;IN;IN166
usain;IN;IN167
usain;IN;IN168
usain;IN;IN201
usain;IN;IN203
usain;IN;IN205
usain;IN;IN211
usain;IN;IN212
usain;IN;IN213
usain;IN;IN218
usain;IN;IN225
usain;IN;IN227
usain;IN;IN229
usain;IN;IN232
usain;IN;IN234
usain;IN;IN235
usain;IN;IN236
usain;IN;IN237
usain;IN;IN240
usain;IN;IN241
usain;IN;IN243
usain;IN;IN244
usain;IN;IN245
usain;IN;IN246
usain;IN;IN249
usain;IN;IN250
usain;IN;IN252
usain;IN;IN256
usain;IN;IN257
usain;IN;IN258
usain;IN;IN261
usain;IN;IN262
usain;IN;IN263
usain;IN;IN264
usain;IN;IN265
usain;IN;IN267
usain;IN;IN269
usain;IN;IN301
usain;IN;IN312
usain;IN;IN327
usain;IN;IN329
usain;IN;IN331
usain;IN;IN332
usain;IN;IN335
usain;IN;IN337
usain;IN;IN340
usain;IN;IN341
usain;IN;IN350
usain;IN;IN352
usain;IN;IN356
usain;IN;IN357
usain;IN;IN358
usain;IN;IN362
usain;IN;IN364
usain;IN;IN427
usain;IN;IN441
usain;IN;IN445
usain;IN;IN446
usain;IN;IN450
usain;IN;IN458
usain;IN;IN462
usain;IN;IN520
usain;IN;IN524
usain;IN;IN545
usain;IN;IN550
usain;IN;IN558
usain;IN;IN641
usain;IN;IN645
usain;IN;IN650
usain;IN;IN662
usain;IN;IN727
usain;IN;IN827
usain;IN;IN912
usain;IN;IN930
usain;IN;IN931
usain;IN;IN933
