systemName;region;route
usai;KS;I-35
usai;KS;I-70
usai;KS;I-135
usai;KS;I-235
usai;KS;I-335
usai;KS;I-435
usai;KS;I-470
usai;KS;I-635
usai;KS;I-670
usaus;KS;US24
usaus;KS;US36
usaus;KS;US40
usaus;KS;US50
usaus;KS;US54
usaus;KS;US56
usaus;KS;US59
usaus;KS;US69
usaus;KS;US73
usaus;KS;US75
usaus;KS;US77
usaus;KS;US81
usaus;KS;US83
usaus;KS;US159
usaus;KS;US160
usaus;KS;US166
usaus;KS;US169
usaus;KS;US177
usaus;KS;US183
usaus;KS;US270
usaus;KS;US281
usaus;KS;US283
usaus;KS;US400
usaks;KS;KS1
usaks;KS;KS2
usaks;KS;KS3
usaks;KS;KS4
usaks;KS;KS5
usaks;KS;KS7
usaks;KS;KS8
usaks;KS;KS9
usaks;KS;KS10
usaks;KS;KS11
usaks;KS;KS13
usaks;KS;KS14
usaks;KS;KS15
usaks;KS;KS16
usaks;KS;KS18
usaks;KS;KS19
usaks;KS;KS20
usaks;KS;KS22
usaks;KS;KS23
usaks;KS;KS25
usaks;KS;KS26
usaks;KS;KS27
usaks;KS;KS28
usaks;KS;KS30
usaks;KS;KS31
usaks;KS;KS32
usaks;KS;KS33
usaks;KS;KS34
usaks;KS;KS39
usaks;KS;KS41
usaks;KS;KS42
usaks;KS;KS43
usaks;KS;KS44
usaks;KS;KS47
usaks;KS;KS49
usaks;KS;KS51
usaks;KS;KS52
usaks;KS;KS53
usaks;KS;KS55
usaks;KS;KS57
usaks;KS;KS58
usaks;KS;KS60
usaks;KS;KS61
usaks;KS;KS62
usaks;KS;KS63
usaks;KS;KS65
usaks;KS;KS66
usaks;KS;KS67
usaks;KS;KS68
usaks;KS;KS71
usaks;KS;KS78
usaks;KS;KS79
usaks;KS;KS80
usaks;KS;KS84
usaks;KS;KS85
usaks;KS;KS88
usaks;KS;KS89
usaks;KS;KS92
usaks;KS;KS94
usaks;KS;KS95
usaks;KS;KS96
usaks;KS;KS98
usaks;KS;KS99
usaks;KS;KS101
usaks;KS;KS102
usaks;KS;KS103
usaks;KS;KS104
usaks;KS;KS105
usaks;KS;KS106
usaks;KS;KS110
usaks;KS;KS111
usaks;KS;KS112
usaks;KS;KS113
usaks;KS;KS114
usaks;KS;KS115
usaks;KS;KS116
usaks;KS;KS117
usaks;KS;KS119
usaks;KS;KS120
usaks;KS;KS123
usaks;KS;KS126
usaks;KS;KS128
usaks;KS;KS130
usaks;KS;KS131
usaks;KS;KS132
usaks;KS;KS136
usaks;KS;KS137
usaks;KS;KS138
usaks;KS;KS139
usaks;KS;KS140
usaks;KS;KS141
usaks;KS;KS143
usaks;KS;KS144
usaks;KS;KS146
usaks;KS;KS147
usaks;KS;KS148
usaks;KS;KS149
usaks;KS;KS150
usaks;KS;KS152
usaks;KS;KS153
usaks;KS;KS156
usaks;KS;KS157
usaks;KS;KS161
usaks;KS;KS167
usaks;KS;KS168
usaks;KS;KS173
usaks;KS;KS177
usaks;KS;KS178
usaks;KS;KS181
usaks;KS;KS182
usaks;KS;KS184
usaks;KS;KS185
usaks;KS;KS186
usaks;KS;KS187
usaks;KS;KS188
usaks;KS;KS189
usaks;KS;KS190
usaks;KS;KS191
usaks;KS;KS192
usaks;KS;KS193
usaks;KS;KS194
usaks;KS;KS195
usaks;KS;KS196
usaks;KS;KS197
usaks;KS;KS198
usaks;KS;KS199
usaks;KS;KS209
usaks;KS;KS211
usaks;KS;KS214
usaks;KS;KS215
usaks;KS;KS216
usaks;KS;KS218
usaks;KS;KS223
usaks;KS;KS228
usaks;KS;KS232
usaks;KS;KS233
usaks;KS;KS234
usaks;KS;KS236
usaks;KS;KS237
usaks;KS;KS238
usaks;KS;KS239
usaks;KS;KS243
usaks;KS;KS244
usaks;KS;KS246
usaks;KS;KS247
usaks;KS;KS248
usaks;KS;KS249
usaks;KS;KS251
usaks;KS;KS252
usaks;KS;KS253
usaks;KS;KS254
usaks;KS;KS255
usaks;KS;KS256
usaks;KS;KS258
usaks;KS;KS260
usaks;KS;KS261
usaks;KS;KS264
usaks;KS;KS266
usaks;KS;KS267
usaks;KS;KS268
usaks;KS;KS276
usaks;KS;KS278
usaks;KS;KS279
usaks;KS;KS284
usaks;KS;KS360
usaks;KS;KS368
usaks;KS;KS383
