systemName;region;route
usai;LA;I-10
usai;LA;I-12
usai;LA;I-20
usai;LA;I-49
usai;LA;I-55
usai;LA;I-59
usai;LA;I-110
usai;LA;I-210
usai;LA;I-220
usai;LA;I-310
usai;LA;I-510
usai;LA;I-610
usaus;LA;US11
usaus;LA;US51
usaus;LA;US61
usaus;LA;US63
usaus;LA;US65
usaus;LA;US71
usaus;LA;US79
usaus;LA;US80
usaus;LA;US84
usaus;LA;US90
usaus;LA;US165
usaus;LA;US167
usaus;LA;US171
usaus;LA;US190
usaus;LA;US371
usaus;LA;US425
usala;LA;LA1
usala;LA;LA2
usala;LA;LA3
usala;LA;LA4
usala;LA;LA5
usala;LA;LA6
usala;LA;LA8
usala;LA;LA9
usala;LA;LA10
usala;LA;LA12
usala;LA;LA13
usala;LA;LA14
usala;LA;LA15
usala;LA;LA16
usala;LA;LA17
usala;LA;LA18
usala;LA;LA19
usala;LA;LA20
usala;LA;LA21
usala;LA;LA22
usala;LA;LA23
usala;LA;LA24
usala;LA;LA25
usala;LA;LA26
usala;LA;LA27
usala;LA;LA28
usala;LA;LA29
usala;LA;LA30
usala;LA;LA31
usala;LA;LA33
usala;LA;LA34
usala;LA;LA35
usala;LA;LA36
usala;LA;LA37
usala;LA;LA38
usala;LA;LA39
usala;LA;LA40
usala;LA;LA41
usala;LA;LA42
usala;LA;LA43
usala;LA;LA44
usala;LA;LA45
usala;LA;LA46
usala;LA;LA47
usala;LA;LA48
usala;LA;LA49
usala;LA;LA50
usala;LA;LA52
usala;LA;LA53
usala;LA;LA54
usala;LA;LA55
usala;LA;LA56
usala;LA;LA57
usala;LA;LA58
usala;LA;LA59
usala;LA;LA60
usala;LA;LA62
usala;LA;LA63
usala;LA;LA64
usala;LA;LA64.1
usala;LA;LA66
usala;LA;LA67
usala;LA;LA68
usala;LA;LA69
usala;LA;LA70
usala;LA;LA72
usala;LA;LA73
usala;LA;LA74
usala;LA;LA75
usala;LA;LA76
usala;LA;LA77
usala;LA;LA78
usala;LA;LA81
usala;LA;LA82
usala;LA;LA83
usala;LA;LA85
usala;LA;LA86
usala;LA;LA87
usala;LA;LA88
usala;LA;LA89
usala;LA;LA89.1
usala;LA;LA91
usala;LA;LA92
usala;LA;LA92.1
usala;LA;LA93
usala;LA;LA93.1
usala;LA;LA94
usala;LA;LA95
usala;LA;LA96
usala;LA;LA97
usala;LA;LA98
usala;LA;LA99
usala;LA;LA100
usala;LA;LA101
usala;LA;LA102
usala;LA;LA103
usala;LA;LA104
usala;LA;LA105
usala;LA;LA106
usala;LA;LA107
usala;LA;LA108
usala;LA;LA109
usala;LA;LA110
usala;LA;LA111
usala;LA;LA112
usala;LA;LA113
usala;LA;LA114
usala;LA;LA115
usala;LA;LA116
usala;LA;LA117
usala;LA;LA118
usala;LA;LA119
usala;LA;LA120
usala;LA;LA121
usala;LA;LA122
usala;LA;LA123
usala;LA;LA124
usala;LA;LA125
usala;LA;LA126
usala;LA;LA127
usala;LA;LA128
usala;LA;LA129
usala;LA;LA130
usala;LA;LA131
usala;LA;LA132
usala;LA;LA133
usala;LA;LA134
usala;LA;LA135
usala;LA;LA136
usala;LA;LA138
usala;LA;LA139
usala;LA;LA140
usala;LA;LA141
usala;LA;LA142
usala;LA;LA143
usala;LA;LA144
usala;LA;LA145
usala;LA;LA146
usala;LA;LA147
usala;LA;LA148
usala;LA;LA149
usala;LA;LA150
usala;LA;LA151
usala;LA;LA152
usala;LA;LA153
usala;LA;LA154
usala;LA;LA155
usala;LA;LA156
usala;LA;LA157
usala;LA;LA158
usala;LA;LA159
usala;LA;LA160
usala;LA;LA161
usala;LA;LA162
usala;LA;LA163
usala;LA;LA164
usala;LA;LA168
usala;LA;LA169
usala;LA;LA170
usala;LA;LA172
usala;LA;LA173
usala;LA;LA174
usala;LA;LA175
usala;LA;LA176
usala;LA;LA177
usala;LA;LA178
usala;LA;LA181
usala;LA;LA182
usala;LA;LA182.2
usala;LA;LA183
usala;LA;LA184
usala;LA;LA191
usala;LA;LA300
usala;LA;LA301
usala;LA;LA302
usala;LA;LA303
usala;LA;LA304
usala;LA;LA306
usala;LA;LA307
usala;LA;LA308
usala;LA;LA309
usala;LA;LA311
usala;LA;LA312
usala;LA;LA315
usala;LA;LA316
usala;LA;LA317
usala;LA;LA318
usala;LA;LA319
usala;LA;LA320
usala;LA;LA321
usala;LA;LA322
usala;LA;LA323
usala;LA;LA324
usala;LA;LA326
usala;LA;LA327
usala;LA;LA328
usala;LA;LA329
usala;LA;LA330
usala;LA;LA331
usala;LA;LA332
