systemName;region;route
usai;ME;I-95
usai;ME;I-195
usai;ME;I-295
usai;ME;I-395
usaus;ME;US1
usaus;ME;US2
usaus;ME;US201
usaus;ME;US202
usaus;ME;US302
usame;ME;ME3
usame;ME;ME4
usame;ME;ME4A
usame;ME;ME5
usame;ME;ME6
usame;ME;ME7
usame;ME;ME8
usame;ME;ME9
usame;ME;ME9A
usame;ME;ME9B
usame;ME;ME10
usame;ME;ME11
usame;ME;ME11A
usame;ME;ME11B
usame;ME;ME15
usame;ME;ME16
usame;ME;ME17
usame;ME;ME22
usame;ME;ME23
usame;ME;ME24
usame;ME;ME25
usame;ME;ME26
usame;ME;ME27
usame;ME;ME32
usame;ME;ME35
usame;ME;ME37
usame;ME;ME41
usame;ME;ME43
usame;ME;ME46
usame;ME;ME52
usame;ME;ME69
usame;ME;ME73
usame;ME;ME77
usame;ME;ME85
usame;ME;ME86
usame;ME;ME88
usame;ME;ME89
usame;ME;ME90
usame;ME;ME91
usame;ME;ME92
usame;ME;ME93
usame;ME;ME94
usame;ME;ME96
usame;ME;ME97
usame;ME;ME98
usame;ME;ME99
usame;ME;ME100
usame;ME;ME100A
usame;ME;ME101
usame;ME;ME102
usame;ME;ME102A
usame;ME;ME103
usame;ME;ME104
usame;ME;ME105
usame;ME;ME106
usame;ME;ME107
usame;ME;ME108
usame;ME;ME109
usame;ME;ME110
usame;ME;ME111
usame;ME;ME112
usame;ME;ME113
usame;ME;ME114
usame;ME;ME115
usame;ME;ME116
usame;ME;ME117
usame;ME;ME118
usame;ME;ME119
usame;ME;ME120
usame;ME;ME121
usame;ME;ME122
usame;ME;ME123
usame;ME;ME124
usame;ME;ME125
usame;ME;ME126
usame;ME;ME127
usame;ME;ME128
usame;ME;ME129
usame;ME;ME130
usame;ME;ME131
usame;ME;ME132
usame;ME;ME133
usame;ME;ME134
usame;ME;ME135
usame;ME;ME136
usame;ME;ME137
usame;ME;ME138
usame;ME;ME139
usame;ME;ME140
usame;ME;ME141
usame;ME;ME142
usame;ME;ME143
usame;ME;ME144
usame;ME;ME145
usame;ME;ME146
usame;ME;ME148
usame;ME;ME149
usame;ME;ME150
usame;ME;ME151
usame;ME;ME152
usame;ME;ME153
usame;ME;ME154
usame;ME;ME155
usame;ME;ME156
usame;ME;ME157
usame;ME;ME158
usame;ME;ME159
usame;ME;ME160
usame;ME;ME161
usame;ME;ME161B
usame;ME;ME162
usame;ME;ME163
usame;ME;ME164
usame;ME;ME166
usame;ME;ME166A
usame;ME;ME167
usame;ME;ME168
usame;ME;ME169
usame;ME;ME170
usame;ME;ME171
usame;ME;ME172
usame;ME;ME173
usame;ME;ME174
usame;ME;ME175
usame;ME;ME176
usame;ME;ME177
usame;ME;ME178
usame;ME;ME179
usame;ME;ME180
usame;ME;ME181
usame;ME;ME182
usame;ME;ME183
usame;ME;ME184
usame;ME;ME185
usame;ME;ME186
usame;ME;ME187
usame;ME;ME188
usame;ME;ME189
usame;ME;ME190
usame;ME;ME191
usame;ME;ME192
usame;ME;ME193
usame;ME;ME194
usame;ME;ME195
usame;ME;ME196
usame;ME;ME197
usame;ME;ME198
usame;ME;ME199
usame;ME;ME200
usame;ME;ME204
usame;ME;ME205
usame;ME;ME206
usame;ME;ME207
usame;ME;ME208
usame;ME;ME209
usame;ME;ME212
usame;ME;ME213
usame;ME;ME214
usame;ME;ME215
usame;ME;ME216
usame;ME;ME218
usame;ME;ME219
usame;ME;ME220
usame;ME;ME221
usame;ME;ME222
usame;ME;ME223
usame;ME;ME224
usame;ME;ME225
usame;ME;ME226
usame;ME;ME227
usame;ME;ME228
usame;ME;ME229
usame;ME;ME230
usame;ME;ME231
usame;ME;ME232
usame;ME;ME233
usame;ME;ME234
usame;ME;ME235
usame;ME;ME236
usame;ME;ME237
usame;ME;ME238
