systemName;region;route
usai;MT;I-15
usai;MT;I-90
usai;MT;I-94
usai;MT;I-115
usaus;MT;US2
usaus;MT;US12
usaus;MT;US20
usaus;MT;US87
usaus;MT;US89
usaus;MT;US93
usaus;MT;US191
usaus;MT;US212
usaus;MT;US287
usaus;MT;US310
usamt;MT;MT1
usamt;MT;MT2
usamt;MT;MT3
usamt;MT;MT5
usamt;MT;MT7
usamt;MT;MT13
usamt;MT;MT16
usamt;MT;MT17
usamt;MT;MT19
usamt;MT;MT21
usamt;MT;MT23
usamt;MT;MT24
usamt;MT;MT25
usamt;MT;MT28
usamt;MT;MT35
usamt;MT;MT37
usamt;MT;MT38
usamt;MT;MT39
usamt;MT;MT40
usamt;MT;MT41
usamt;MT;MT42
usamt;MT;MT43
usamt;MT;MT44
usamt;MT;MT47
usamt;MT;MT48
usamt;MT;MT49
usamt;MT;MT55
usamt;MT;MT56
usamt;MT;MT59
usamt;MT;MT64
usamt;MT;MT66
usamt;MT;MT67
usamt;MT;MT68
usamt;MT;MT69
usamt;MT;MT72
usamt;MT;MT77
usamt;MT;MT78
usamt;MT;MT80
usamt;MT;MT81
usamt;MT;MT82
usamt;MT;MT83
usamt;MT;MT84
usamt;MT;MT85
usamt;MT;MT86
usamt;MT;MT87
usamt;MT;MT117
usamt;MT;MT135
usamt;MT;MT141
usamt;MT;MT200
usamt;MT;MT200S
usamt;MT;MT201
usamt;MT;MT287
usamt;MT;MT323
usamts;MT;SR201
usamts;MT;SR202
usamts;MT;SR203
usamts;MT;SR204
usamts;MT;SR205
usamts;MT;SR206
usamts;MT;SR207
usamts;MT;SR208
usamts;MT;SR209
usamts;MT;SR210
usamts;MT;SR211
usamts;MT;SR212
usamts;MT;SR213
usamts;MT;SR214
usamts;MT;SR215
usamts;MT;SR218
usamts;MT;SR219
usamts;MT;SR220
usamts;MT;SR221
usamts;MT;SR223
usamts;MT;SR224
usamts;MT;SR225
usamts;MT;SR226
usamts;MT;SR227
usamts;MT;SR228
usamts;MT;SR232
usamts;MT;SR233
usamts;MT;SR234
usamts;MT;SR235
usamts;MT;SR236
usamts;MT;SR237
usamts;MT;SR238
usamts;MT;SR239
usamts;MT;SR240
usamts;MT;SR241
usamts;MT;SR243
usamts;MT;SR244
usamts;MT;SR245
usamts;MT;SR246
usamts;MT;SR248
usamts;MT;SR249
usamts;MT;SR250
usamts;MT;SR251
usamts;MT;SR252
usamts;MT;SR253
usamts;MT;SR254
usamts;MT;SR255
usamts;MT;SR257
usamts;MT;SR258
usamts;MT;SR259
usamts;MT;SR260
usamts;MT;SR261
usamts;MT;SR263
usamts;MT;SR269
usamts;MT;SR271
usamts;MT;SR273
usamts;MT;SR276
usamts;MT;SR278
usamts;MT;SR279
usamts;MT;SR280
usamts;MT;SR282
usamts;MT;SR283
usamts;MT;SR284
usamts;MT;SR285
usamts;MT;SR286
usamts;MT;SR287
usamts;MT;SR288
usamts;MT;SR291
usamts;MT;SR294
usamts;MT;SR297
usamts;MT;SR298
usamts;MT;SR300
usamts;MT;SR302
usamts;MT;SR306
usamts;MT;SR308
usamts;MT;SR310
usamts;MT;SR311
usamts;MT;SR313
usamts;MT;SR314
usamts;MT;SR317
usamts;MT;SR320
usamts;MT;SR322
usamts;MT;SR324
usamts;MT;SR326
usamts;MT;SR327
usamts;MT;SR328
usamts;MT;SR330
usamts;MT;SR331
usamts;MT;SR332
usamts;MT;SR335
usamts;MT;SR336
usamts;MT;SR338
usamts;MT;SR340
usamts;MT;SR342
usamts;MT;SR343
usamts;MT;SR344
usamts;MT;SR345
usamts;MT;SR346
usamts;MT;SR347
usamts;MT;SR348
usamts;MT;SR350
usamts;MT;SR352
usamts;MT;SR354
usamts;MT;SR357
usamts;MT;SR358
usamts;MT;SR359
usamts;MT;SR360
usamts;MT;SR363
usamts;MT;SR365
usamts;MT;SR366
usamts;MT;SR370
usamts;MT;SR373
usamts;MT;SR374
usamts;MT;SR379
usamts;MT;SR381
usamts;MT;SR382
usamts;MT;SR384
usamts;MT;SR386
usamts;MT;SR387
usamts;MT;SR391
usamts;MT;SR393
usamts;MT;SR396
usamts;MT;SR399
usamts;MT;SR400
usamts;MT;SR401
usamts;MT;SR405
usamts;MT;SR408
usamts;MT;SR409
usamts;MT;SR411
usamts;MT;SR412
usamts;MT;SR416
usamts;MT;SR417
usamts;MT;SR419
usamts;MT;SR421
usamts;MT;SR422
usamts;MT;SR424
usamts;MT;SR426
usamts;MT;SR427
usamts;MT;SR430
usamts;MT;SR431
usamts;MT;SR432
usamts;MT;SR434
usamts;MT;SR435
usamts;MT;SR437
usamts;MT;SR438
usamts;MT;SR441
usamts;MT;SR444
usamts;MT;SR446
usamts;MT;SR447
usamts;MT;SR448
usamts;MT;SR449
usamts;MT;SR451
usamts;MT;SR453
usamts;MT;SR457
usamts;MT;SR462
usamts;MT;SR463
usamts;MT;SR464
usamts;MT;SR466
usamts;MT;SR467
usamts;MT;SR470
usamts;MT;SR471
usamts;MT;SR473
usamts;MT;SR474
usamts;MT;SR480
usamts;MT;SR482
usamts;MT;SR484
usamts;MT;SR486
usamts;MT;SR487
usamts;MT;SR489
usamts;MT;SR493
usamts;MT;SR494
usamts;MT;SR500
usamts;MT;SR503
usamts;MT;SR507
usamts;MT;SR508
usamts;MT;SR511
usamts;MT;SR512
usamts;MT;SR513
usamts;MT;SR516
usamts;MT;SR517
usamts;MT;SR518
usamts;MT;SR522
usamts;MT;SR528
usamts;MT;SR529
usamts;MT;SR531
usamts;MT;SR532
usamts;MT;SR534
usamts;MT;SR537
usamts;MT;SR540
usamts;MT;SR541
usamts;MT;SR543
usamts;MT;SR544
usamts;MT;SR547
usamts;MT;SR548
usamts;MT;SR551
usamts;MT;SR552
usamts;MT;SR556
usamts;MT;SR559
usamts;MT;SR565
usamts;MT;SR566
usamts;MT;SR567
usamts;MT;SR568
usamts;MT;SR569
usamts;MT;SR571
usamts;MT;SR573
