systemName;region;route
usai;NE;I-76
usai;NE;I-80
usai;NE;I-129
usai;NE;I-180
usai;NE;I-480
usai;NE;I-680
usaus;NE;US6
usaus;NE;US20
usaus;NE;US26
usaus;NE;US30
usaus;NE;US34
usaus;NE;US73
usaus;NE;US75
usaus;NE;US77
usaus;NE;US81
usaus;NE;US83
usaus;NE;US136
usaus;NE;US138
usaus;NE;US159
usaus;NE;US183
usaus;NE;US275
usaus;NE;US281
usaus;NE;US283
usaus;NE;US385
usane;NE;NE1
usane;NE;NE2
usane;NE;NE4
usane;NE;NE5
usane;NE;NE7
usane;NE;NE8
usane;NE;NE9
usane;NE;NE10
usane;NE;NE11
usane;NE;NE12
usane;NE;NE13
usane;NE;NE14
usane;NE;NE15
usane;NE;NE16
usane;NE;NE17
usane;NE;NE18
usane;NE;NE19
usane;NE;NE21
usane;NE;NE22
usane;NE;NE23
usane;NE;NE24
usane;NE;NE25
usane;NE;NE27
usane;NE;NE29
usane;NE;NE31
usane;NE;NE32
usane;NE;NE33
usane;NE;NE35
usane;NE;NE36
usane;NE;NE39
usane;NE;NE40
usane;NE;NE41
usane;NE;NE43
usane;NE;NE44
usane;NE;NE45
usane;NE;NE46
usane;NE;NE47
usane;NE;NE50
usane;NE;NE51
usane;NE;NE52
usane;NE;NE53
usane;NE;NE56
usane;NE;NE57
usane;NE;NE58
usane;NE;NE59
usane;NE;NE61
usane;NE;NE62
usane;NE;NE63
usane;NE;NE64
usane;NE;NE65
usane;NE;NE66
usane;NE;NE67
usane;NE;NE68
usane;NE;NE69
usane;NE;NE70
usane;NE;NE71
usane;NE;NE74
usane;NE;NE78
usane;NE;NE79
usane;NE;NE84
usane;NE;NE85
usane;NE;NE87
usane;NE;NE88
usane;NE;NE89
usane;NE;NE91
usane;NE;NE92
usane;NE;NE94
usane;NE;NE95
usane;NE;NE96
usane;NE;NE97
usane;NE;NE98
usane;NE;NE99
usane;NE;NE103
usane;NE;NE105
usane;NE;NE109
usane;NE;NE110
usane;NE;NE112
usane;NE;NE116
usane;NE;NE121
usane;NE;NE128
usane;NE;NE133
usane;NE;NE137
usane;NE;NE250
usane;NE;NE370
usanes;NE;L6A
usanes;NE;L7E
usanes;NE;L10B
usanes;NE;L10C
usanes;NE;L10D
usanes;NE;L10E
usanes;NE;L10F
usanes;NE;L17B
usanes;NE;L17C
usanes;NE;L17E
usanes;NE;L17F
usanes;NE;L17J
usanes;NE;L20A
usanes;NE;L23D
usanes;NE;L24A
usanes;NE;L24B
usanes;NE;L24D
usanes;NE;L28B
usanes;NE;L28K
usanes;NE;L31D
usanes;NE;L40C
usanes;NE;L40G
usanes;NE;L41D
usanes;NE;L44C
usanes;NE;L45B
usanes;NE;L50A
usanes;NE;L51A
usanes;NE;L51B
usanes;NE;L51C
usanes;NE;L53A
usanes;NE;L53B
usanes;NE;L53C
usanes;NE;L55K
usanes;NE;L55X
usanes;NE;L56C
usanes;NE;L56D
usanes;NE;L56G
usanes;NE;L59B
usanes;NE;L62A
usanes;NE;L63A
usanes;NE;L76E
usanes;NE;L80E
usanes;NE;L79E
usanes;NE;L80F
usanes;NE;L80G
usanes;NE;L80H
usanes;NE;L82A
usanes;NE;L85F
usanes;NE;L93B
usanes;NE;S1A
usanes;NE;S1B
usanes;NE;S1C
usanes;NE;S1D
usanes;NE;S2B
usanes;NE;S4A
usanes;NE;S5A
usanes;NE;S8A
usanes;NE;S9A
usanes;NE;S11A
usanes;NE;S12A
usanes;NE;S12B
usanes;NE;S12C
usanes;NE;S12D
usanes;NE;S12E
usanes;NE;S12F
usanes;NE;S13A
usanes;NE;S13C
usanes;NE;S13D
usanes;NE;S13F
usanes;NE;S13H
usanes;NE;S13K
usanes;NE;S14A
usanes;NE;S14B
usanes;NE;S14C
usanes;NE;S14H
usanes;NE;S15A
usanes;NE;S16A
usanes;NE;S16B
usanes;NE;S16F
usanes;NE;S18A
usanes;NE;S18B
usanes;NE;S18C
usanes;NE;S18D
usanes;NE;S18E
usanes;NE;S18F
