systemName;region;route
usai;NH;I-89
usai;NH;I-93
usai;NH;I-95
usai;NH;I-293
usai;NH;I-393
usaus;NH;US1
usaus;NH;US2
usaus;NH;US3
usaus;NH;US4
usaus;NH;US202
usaus;NH;US302
usanh;NH;NH1A
usanh;NH;NH1B
usanh;NH;NH3A
usanh;NH;NH4
usanh;NH;NH4A
usanh;NH;NH9
usanh;NH;NH9A
usanh;NH;NH10
usanh;NH;NH10A
usanh;NH;NH11
usanh;NH;NH11A
usanh;NH;NH11B
usanh;NH;NH11C
usanh;NH;NH12
usanh;NH;NH12A
usanh;NH;NH13
usanh;NH;NH16
usanh;NH;NH16A
usanh;NH;NH16B
usanh;NH;NH18
usanh;NH;NH25
usanh;NH;NH25A
usanh;NH;NH25B
usanh;NH;NH25C
usanh;NH;NH26
usanh;NH;NH27
usanh;NH;NH28
usanh;NH;NH28A
usanh;NH;NH31
usanh;NH;NH32
usanh;NH;NH33
usanh;NH;NH38
usanh;NH;NH41
usanh;NH;NH43
usanh;NH;NH45
usanh;NH;NH47
usanh;NH;NH49
usanh;NH;NH63
usanh;NH;NH75
usanh;NH;NH77
usanh;NH;NH78
usanh;NH;NH84
usanh;NH;NH85
usanh;NH;NH87
usanh;NH;NH88
usanh;NH;NH97
usanh;NH;NH101
usanh;NH;NH101A
usanh;NH;NH102
usanh;NH;NH103
usanh;NH;NH103A
usanh;NH;NH103B
usanh;NH;NH104
usanh;NH;NH106
usanh;NH;NH107
usanh;NH;NH107A
usanh;NH;NH108
usanh;NH;NH109
usanh;NH;NH109A
usanh;NH;NH110
usanh;NH;NH110A
usanh;NH;NH110B
usanh;NH;NH111
usanh;NH;NH111A
usanh;NH;NH112
usanh;NH;NH113
usanh;NH;NH113A
usanh;NH;NH113B
usanh;NH;NH114
usanh;NH;NH114A
usanh;NH;NH115
usanh;NH;NH115A
usanh;NH;NH116
usanh;NH;NH117
usanh;NH;NH118
usanh;NH;NH119
usanh;NH;NH120
usanh;NH;NH121
usanh;NH;NH121A
usanh;NH;NH122
usanh;NH;NH123
usanh;NH;NH123A
usanh;NH;NH124
usanh;NH;NH125
usanh;NH;NH126
usanh;NH;NH127
usanh;NH;NH128
usanh;NH;NH129
usanh;NH;NH130
usanh;NH;NH132
usanh;NH;NH135
usanh;NH;NH136
usanh;NH;NH137
usanh;NH;NH140
usanh;NH;NH141
usanh;NH;NH142
usanh;NH;NH145
usanh;NH;NH149
usanh;NH;NH150
usanh;NH;NH151
usanh;NH;NH152
usanh;NH;NH153
usanh;NH;NH155
usanh;NH;NH155A
usanh;NH;NH156
usanh;NH;NH171
usanh;NH;NH175
usanh;NH;NH175A
usanh;NH;NH202A
usanh;NH;NH236
usanh;NH;NH286
