systemName;region;route
usai;NJ;I-76
usai;NJ;I-78
usai;NJ;I-80
usai;NJ;I-95
usai;NJ;I-195
usai;NJ;I-278
usai;NJ;I-280
usai;NJ;I-287
usai;NJ;I-295
usai;NJ;I-676
usaus;NJ;US1
usaus;NJ;US9
usaus;NJ;US22
usaus;NJ;US30
usaus;NJ;US40
usaus;NJ;US46
usaus;NJ;US130
usaus;NJ;US202
usaus;NJ;US206
usaus;NJ;US322
usanj;NJ;NJ3
usanj;NJ;NJ4
usanj;NJ;NJ5
usanj;NJ;NJ7
usanj;NJ;NJ10
usanj;NJ;NJ12
usanj;NJ;NJ13
usanj;NJ;NJ14
usanj;NJ;NJ15
usanj;NJ;NJ17
usanj;NJ;NJ18
usanj;NJ;NJ19
usanj;NJ;NJ20
usanj;NJ;NJ21
usanj;NJ;NJ23
usanj;NJ;NJ24
usanj;NJ;NJ26
usanj;NJ;NJ27
usanj;NJ;NJ28
usanj;NJ;NJ29
usanj;NJ;NJ31
usanj;NJ;NJ32
usanj;NJ;NJ33
usanj;NJ;NJ34
usanj;NJ;NJ35
usanj;NJ;NJ36
usanj;NJ;NJ37
usanj;NJ;NJ38
usanj;NJ;NJ41
usanj;NJ;NJ42
usanj;NJ;NJ44
usanj;NJ;NJ45
usanj;NJ;NJ47
usanj;NJ;NJ48
usanj;NJ;NJ49
usanj;NJ;NJ50
usanj;NJ;NJ52
usanj;NJ;NJ53
usanj;NJ;NJ54
usanj;NJ;NJ55
usanj;NJ;NJ56
usanj;NJ;NJ57
usanj;NJ;NJ59
usanj;NJ;NJ62
usanj;NJ;NJ63
usanj;NJ;NJ64
usanj;NJ;NJ66
usanj;NJ;NJ67
usanj;NJ;NJ68
usanj;NJ;NJ70
usanj;NJ;NJ71
usanj;NJ;NJ72
usanj;NJ;NJ73
usanj;NJ;NJ77
usanj;NJ;NJ79
usanj;NJ;NJ81
usanj;NJ;NJ82
usanj;NJ;NJ83
usanj;NJ;NJ87
usanj;NJ;NJ88
usanj;NJ;NJ90
usanj;NJ;NJ91
usanj;NJ;NJ93
usanj;NJ;NJ94
usanj;NJ;NJ109
usanj;NJ;NJ120
usanj;NJ;NJ122
usanj;NJ;NJ124
usanj;NJ;NJ129
usanj;NJ;NJ133
usanj;NJ;NJ138
usanj;NJ;NJ139
usanj;NJ;NJ140
usanj;NJ;NJ143
usanj;NJ;NJ147
usanj;NJ;NJ152
usanj;NJ;NJ154
usanj;NJ;NJ156
usanj;NJ;NJ157
usanj;NJ;NJ159
usanj;NJ;NJ161
usanj;NJ;NJ163
usanj;NJ;NJ166
usanj;NJ;NJ167
usanj;NJ;NJ168
usanj;NJ;NJ171
usanj;NJ;NJ172
usanj;NJ;NJ173
usanj;NJ;NJ175
usanj;NJ;NJ179
usanj;NJ;NJ181
usanj;NJ;NJ182
usanj;NJ;NJ183
usanj;NJ;NJ184
usanj;NJ;NJ185
usanj;NJ;NJ187
usanj;NJ;NJ208
usanj;NJ;NJ284
usanj;NJ;NJ347
usanj;NJ;NJ413
usanj;NJ;NJ439
usanj;NJ;NJ440
usanj;NJ;NJ495
