systemName;region;route
usai;NM;I-10
usai;NM;I-25
usai;NM;I-40
usaus;NM;US54
usaus;NM;US56
usaus;NM;US60
usaus;NM;US62
usaus;NM;US64
usaus;NM;US70
usaus;NM;US82
usaus;NM;US84
usaus;NM;US85
usaus;NM;US87
usaus;NM;US160
usaus;NM;US180
usaus;NM;US285
usaus;NM;US380
usaus;NM;US412
usaus;NM;US491
usaus;NM;US550
usanm;NM;NM1
usanm;NM;NM2
usanm;NM;NM3
usanm;NM;NM4
usanm;NM;NM6
usanm;NM;NM7
usanm;NM;NM8
usanm;NM;NM9
usanm;NM;NM11
usanm;NM;NM12
usanm;NM;NM13
usanm;NM;NM14
usanm;NM;NM15
usanm;NM;NM16
usanm;NM;NM17
usanm;NM;NM18
usanm;NM;NM19
usanm;NM;NM20
usanm;NM;NM21
usanm;NM;NM22
usanm;NM;NM24
usanm;NM;NM26
usanm;NM;NM27
usanm;NM;NM28
usanm;NM;NM29
usanm;NM;NM30
usanm;NM;NM31
usanm;NM;NM32
usanm;NM;NM34
usanm;NM;NM35
usanm;NM;NM36
usanm;NM;NM37
usanm;NM;NM38
usanm;NM;NM39
usanm;NM;NM41
usanm;NM;NM42
usanm;NM;NM45
usanm;NM;NM47
usanm;NM;NM48
usanm;NM;NM50
usanm;NM;NM51
usanm;NM;NM52
usanm;NM;NM53
usanm;NM;NM55
usanm;NM;NM57
usanm;NM;NM58
usanm;NM;NM59
usanm;NM;NM61
usanm;NM;NM63
usanm;NM;NM65
usanm;NM;NM68
usanm;NM;NM72
usanm;NM;NM73
usanm;NM;NM74
usanm;NM;NM75
usanm;NM;NM76
usanm;NM;NM77
usanm;NM;NM78
usanm;NM;NM80
usanm;NM;NM81
usanm;NM;NM83
usanm;NM;NM88
usanm;NM;NM89
usanm;NM;NM90
usanm;NM;NM91
usanm;NM;NM92
usanm;NM;NM93
usanm;NM;NM94
usanm;NM;NM95
usanm;NM;NM96
usanm;NM;NM97
usanm;NM;NM101
