systemName;region;route
usai;RI;I-95
usai;RI;I-195
usai;RI;I-295
usaus;RI;US1
usaus;RI;US6
usaus;RI;US44
usari;RI;RI1A
usari;RI;RI2
usari;RI;RI3
usari;RI;RI4
usari;RI;RI5
usari;RI;RI7
usari;RI;RI10
usari;RI;RI12
usari;RI;RI14
usari;RI;RI15
usari;RI;RI24
usari;RI;RI33
usari;RI;RI37
usari;RI;RI51
usari;RI;RI77
usari;RI;RI78
usari;RI;RI81
usari;RI;RI91
usari;RI;RI94
usari;RI;RI96
usari;RI;RI98
usari;RI;RI99
usari;RI;RI100
usari;RI;RI101
usari;RI;RI102
usari;RI;RI103
usari;RI;RI104
usari;RI;RI107
usari;RI;RI108
usari;RI;RI110
usari;RI;RI112
usari;RI;RI113
usari;RI;RI114
usari;RI;RI114A
usari;RI;RI115
usari;RI;RI116
usari;RI;RI117
usari;RI;RI118
usari;RI;RI120
usari;RI;RI121
usari;RI;RI122
usari;RI;RI123
usari;RI;RI126
usari;RI;RI128
usari;RI;RI136
usari;RI;RI138
usari;RI;RI146
usari;RI;RI146A
usari;RI;RI152
usari;RI;RI165
usari;RI;RI177
usari;RI;RI179
usari;RI;RI214
usari;RI;RI216
usari;RI;RI238
usari;RI;RI246
usari;RI;RI401
usari;RI;RI402
usari;RI;RI403
