systemName;region;route
usai;SC;I-20
usai;SC;I-26
usai;SC;I-77
usai;SC;I-85
usai;SC;I-95
usai;SC;I-126
usai;SC;I-185
usai;SC;I-385
usai;SC;I-520
usai;SC;I-526
usai;SC;I-585
usaus;SC;US1
usaus;SC;US15
usaus;SC;US17
usaus;SC;US21
usaus;SC;US25
usaus;SC;US29
usaus;SC;US52
usaus;SC;US76
usaus;SC;US78
usaus;SC;US123
usaus;SC;US176
usaus;SC;US178
usaus;SC;US221
usaus;SC;US276
usaus;SC;US278
usaus;SC;US301
usaus;SC;US321
usaus;SC;US378
usaus;SC;US401
usaus;SC;US501
usaus;SC;US521
usaus;SC;US601
usaus;SC;US701
usasc;SC;SC2
usasc;SC;SC3
usasc;SC;SC4
usasc;SC;SC5
usasc;SC;SC6
usasc;SC;SC7
usasc;SC;SC8
usasc;SC;SC9
usasc;SC;SC10
usasc;SC;SC11
usasc;SC;SC12
usasc;SC;SC14
usasc;SC;SC16
usasc;SC;SC18
usasc;SC;SC19
usasc;SC;SC20
usasc;SC;SC22
usasc;SC;SC23
usasc;SC;SC24
usasc;SC;SC27
usasc;SC;SC28
usasc;SC;SC30
usasc;SC;SC31
usasc;SC;SC33
usasc;SC;SC34
usasc;SC;SC35
usasc;SC;SC37
usasc;SC;SC38
usasc;SC;SC39
usasc;SC;SC41
usasc;SC;SC45
usasc;SC;SC46
usasc;SC;SC47
usasc;SC;SC48
usasc;SC;SC49
usasc;SC;SC51
usasc;SC;SC53
usasc;SC;SC55
usasc;SC;SC56
usasc;SC;SC57
usasc;SC;SC58
usasc;SC;SC59
usasc;SC;SC60
usasc;SC;SC61
usasc;SC;SC63
usasc;SC;SC64
usasc;SC;SC65
usasc;SC;SC66
usasc;SC;SC67
usasc;SC;SC68
usasc;SC;SC70
usasc;SC;SC71
usasc;SC;SC72
usasc;SC;SC75
usasc;SC;SC79
usasc;SC;SC80
usasc;SC;SC81
usasc;SC;SC83
usasc;SC;SC86
usasc;SC;SC88
usasc;SC;SC90
usasc;SC;SC92
usasc;SC;SC93
usasc;SC;SC97
usasc;SC;SC99
usasc;SC;SC101
usasc;SC;SC102
usasc;SC;SC105
usasc;SC;SC107
usasc;SC;SC109
usasc;SC;SC110
usasc;SC;SC113
usasc;SC;SC114
usasc;SC;SC116
usasc;SC;SC118
usasc;SC;SC119
usasc;SC;SC120
usasc;SC;SC121
usasc;SC;SC122
usasc;SC;SC124
usasc;SC;SC125
usasc;SC;SC126
usasc;SC;SC127
usasc;SC;SC128
usasc;SC;SC129
usasc;SC;SC130
usasc;SC;SC133
usasc;SC;SC135
usasc;SC;SC137
usasc;SC;SC145
usasc;SC;SC146
usasc;SC;SC150
usasc;SC;SC151
usasc;SC;SC153
usasc;SC;SC154
usasc;SC;SC157
usasc;SC;SC160
usasc;SC;SC161
usasc;SC;SC162
usasc;SC;SC164
usasc;SC;SC165
usasc;SC;SC170
usasc;SC;SC171
usasc;SC;SC172
usasc;SC;SC173
usasc;SC;SC174
usasc;SC;SC177
usasc;SC;SC179
usasc;SC;SC181
usasc;SC;SC182
usasc;SC;SC183
usasc;SC;SC184
usasc;SC;SC186
usasc;SC;SC187
usasc;SC;SC188
usasc;SC;SC191
usasc;SC;SC193
usasc;SC;SC194
usasc;SC;SC198
usasc;SC;SC200
usasc;SC;SC201
usasc;SC;SC202
usasc;SC;SC203
usasc;SC;SC207
usasc;SC;SC210
usasc;SC;SC211
usasc;SC;SC212
usasc;SC;SC213
usasc;SC;SC215
