systemName;region;route
usai;UT;I-15
usai;UT;I-70
usai;UT;I-80
usai;UT;I-84
usai;UT;I-215
usaus;UT;US6
usaus;UT;US40
usaus;UT;US50
usaus;UT;US89
usaus;UT;US89A
usaus;UT;US91
usaus;UT;US163
usaus;UT;US189
usaus;UT;US191
usaus;UT;US491
usaut;UT;UT7
usaut;UT;UT8
usaut;UT;UT9
usaut;UT;UT10
usaut;UT;UT12
usaut;UT;UT13
usaut;UT;UT14
usaut;UT;UT16
usaut;UT;UT17
usaut;UT;UT18
usaut;UT;UT19
usaut;UT;UT20
usaut;UT;UT21
usaut;UT;UT22
usaut;UT;UT23
usaut;UT;UT24
usaut;UT;UT25
usaut;UT;UT26
usaut;UT;UT28
usaut;UT;UT29
usaut;UT;UT30
usaut;UT;UT31
usaut;UT;UT32
usaut;UT;UT34
usaut;UT;UT35
usaut;UT;UT36
usaut;UT;UT37
usaut;UT;UT38
usaut;UT;UT39
usaut;UT;UT42
usaut;UT;UT43
usaut;UT;UT44
usaut;UT;UT45
usaut;UT;UT46
usaut;UT;UT48
usaut;UT;UT51
usaut;UT;UT52
usaut;UT;UT53
usaut;UT;UT54
usaut;UT;UT55
usaut;UT;UT56
usaut;UT;UT57
usaut;UT;UT58
usaut;UT;UT59
usaut;UT;UT60
usaut;UT;UT61
usaut;UT;UT62
usaut;UT;UT63
usaut;UT;UT64
usaut;UT;UT65
usaut;UT;UT66
usaut;UT;UT67
usaut;UT;UT68
usaut;UT;UT71
usaut;UT;UT72
usaut;UT;UT73
usaut;UT;UT74
usaut;UT;UT75
usaut;UT;UT76
usaut;UT;UT77
usaut;UT;UT78
usaut;UT;UT79
usaut;UT;UT81
usaut;UT;UT82
usaut;UT;UT83
usaut;UT;UT85
usaut;UT;UT86
usaut;UT;UT87
usaut;UT;UT88
usaut;UT;UT90
usaut;UT;UT92
usaut;UT;UT93
usaut;UT;UT94
usaut;UT;UT95
usaut;UT;UT96
usaut;UT;UT97
usaut;UT;UT99
usaut;UT;UT100
usaut;UT;UT101
usaut;UT;UT102
usaut;UT;UT103
usaut;UT;UT104
usaut;UT;UT105
usaut;UT;UT106
usaut;UT;UT107
usaut;UT;UT108
usaut;UT;UT109
usaut;UT;UT110
usaut;UT;UT111
usaut;UT;UT112
usaut;UT;UT113
usaut;UT;UT114
usaut;UT;UT115
usaut;UT;UT116
usaut;UT;UT117
usaut;UT;UT118
usaut;UT;UT119
usaut;UT;UT120
usaut;UT;UT121
usaut;UT;UT122
usaut;UT;UT123
usaut;UT;UT124
usaut;UT;UT125
usaut;UT;UT126
usaut;UT;UT127
usaut;UT;UT128
usaut;UT;UT129
usaut;UT;UT130
usaut;UT;UT131
usaut;UT;UT132
usaut;UT;UT133
usaut;UT;UT134
usaut;UT;UT135
usaut;UT;UT136
usaut;UT;UT137
usaut;UT;UT138
usaut;UT;UT139
usaut;UT;UT140
usaut;UT;UT141
usaut;UT;UT142
usaut;UT;UT143
usaut;UT;UT144
usaut;UT;UT145
usaut;UT;UT147
usaut;UT;UT148
usaut;UT;UT149
usaut;UT;UT150
usaut;UT;UT151
usaut;UT;UT152
usaut;UT;UT153
usaut;UT;UT154
usaut;UT;UT155
usaut;UT;UT156
usaut;UT;UT157
usaut;UT;UT158
usaut;UT;UT159
usaut;UT;UT160
usaut;UT;UT161
usaut;UT;UT162
usaut;UT;UT164
usaut;UT;UT165
usaut;UT;UT167
usaut;UT;UT168
usaut;UT;UT171
usaut;UT;UT172
usaut;UT;UT173
usaut;UT;UT174
usaut;UT;UT175
usaut;UT;UT176
usaut;UT;UT177
usaut;UT;UT178
usaut;UT;UT179
usaut;UT;UT180
usaut;UT;UT186
usaut;UT;UT190
usaut;UT;UT193
usaut;UT;UT194
usaut;UT;UT196
usaut;UT;UT198
usaut;UT;UT199
usaut;UT;UT200
usaut;UT;UT201
usaut;UT;UT202
usaut;UT;UT203
usaut;UT;UT204
usaut;UT;UT208
usaut;UT;UT209
usaut;UT;UT210
usaut;UT;UT211
usaut;UT;UT218
usaut;UT;UT219
usaut;UT;UT222
usaut;UT;UT224
usaut;UT;UT225
usaut;UT;UT226
usaut;UT;UT227
usaut;UT;UT228
usaut;UT;UT232
usaut;UT;UT235
usaut;UT;UT240
usaut;UT;UT241
usaut;UT;UT243
usaut;UT;UT248
usaut;UT;UT252
usaut;UT;UT256
usaut;UT;UT257
usaut;UT;UT258
usaut;UT;UT259
usaut;UT;UT260
usaut;UT;UT261
usaut;UT;UT262
usaut;UT;UT264
usaut;UT;UT265
usaut;UT;UT266
usaut;UT;UT268
usaut;UT;UT269
usaut;UT;UT270
usaut;UT;UT271
usaut;UT;UT273
usaut;UT;UT274
usaut;UT;UT275
usaut;UT;UT276
usaut;UT;UT279
usaut;UT;UT280
usaut;UT;UT282
usaut;UT;UT287
usaut;UT;UT302
usaut;UT;UT311
usaut;UT;UT313
usaut;UT;UT314
usaut;UT;UT315
usaut;UT;UT316
usaut;UT;UT318
usaut;UT;UT319
