systemName;region;route
usai;VT;I-89
usai;VT;I-91
usai;VT;I-93
usai;VT;I-189
usaus;VT;US2
usaus;VT;US4
usaus;VT;US5
usaus;VT;US7
usaus;VT;US302
usavt;VT;VT2A
usavt;VT;VT2B
usavt;VT;VT3
usavt;VT;VT4A
usavt;VT;VT5A
usavt;VT;VT7A
usavt;VT;VT7B
usavt;VT;VT8
usavt;VT;VT8A
usavt;VT;VT9
usavt;VT;VT10
usavt;VT;VT10A
usavt;VT;VT11
usavt;VT;VT12
usavt;VT;VT12A
usavt;VT;VT14
usavt;VT;VT15
usavt;VT;VT16
usavt;VT;VT17
usavt;VT;VT18
usavt;VT;VT22A
usavt;VT;VT23
usavt;VT;VT25
usavt;VT;VT25A
usavt;VT;VT25B
usavt;VT;VT26
usavt;VT;VT30
usavt;VT;VT31
usavt;VT;VT35
usavt;VT;VT36
usavt;VT;VT38
usavt;VT;VT44
usavt;VT;VT53
usavt;VT;VT58
usavt;VT;VT62
usavt;VT;VT63
usavt;VT;VT64
usavt;VT;VT65
usavt;VT;VT66
usavt;VT;VT67
usavt;VT;VT67A
usavt;VT;VT73
usavt;VT;VT74
usavt;VT;VT78
usavt;VT;VT100
usavt;VT;VT100A
usavt;VT;VT100B
usavt;VT;VT100C
usavt;VT;VT101
usavt;VT;VT102
usavt;VT;VT103
usavt;VT;VT104
usavt;VT;VT105
usavt;VT;VT106
usavt;VT;VT107
usavt;VT;VT108
usavt;VT;VT109
usavt;VT;VT110
usavt;VT;VT111
usavt;VT;VT112
usavt;VT;VT113
usavt;VT;VT114
usavt;VT;VT116
usavt;VT;VT117
usavt;VT;VT118
usavt;VT;VT119
usavt;VT;VT120
usavt;VT;VT121
usavt;VT;VT122
usavt;VT;VT123
usavt;VT;VT125
usavt;VT;VT127
usavt;VT;VT128
usavt;VT;VT129
usavt;VT;VT131
usavt;VT;VT132
usavt;VT;VT133
usavt;VT;VT139
usavt;VT;VT140
usavt;VT;VT141
usavt;VT;VT142
usavt;VT;VT143
usavt;VT;VT144
usavt;VT;VT147
usavt;VT;VT149
usavt;VT;VT153
usavt;VT;VT155
usavt;VT;VT191
usavt;VT;VT207
usavt;VT;VT214
usavt;VT;VT215
usavt;VT;VT225
usavt;VT;VT232
usavt;VT;VT235
usavt;VT;VT236
usavt;VT;VT242
usavt;VT;VT243
usavt;VT;VT244
usavt;VT;VT253
usavt;VT;VT279
usavt;VT;VT289
usavt;VT;VT313
usavt;VT;VT314
usavt;VT;VT315
usavt;VT;VT346
usavt;VT;VTF5
