systemName;region;route
cantch;NB;TCHNB
cannb;NB;NB1
cannb;NB;NB2
cannb;NB;NB3
cannb;NB;NB4
cannb;NB;NB7
cannb;NB;NB8
cannb;NB;NB10
cannb;NB;NB11
cannb;NB;NB15
cannb;NB;NB16
cannb;NB;NB17
cannb;NB;NB95
cannb;NB;NB100
cannb;NB;NB101
cannb;NB;NB102
cannb;NB;NB103
cannb;NB;NB104
cannb;NB;NB105
cannb;NB;NB106
cannb;NB;NB107
cannb;NB;NB108
cannb;NB;NB109
cannb;NB;NB110
cannb;NB;NB111
cannb;NB;NB112
cannb;NB;NB113
cannb;NB;NB114
cannb;NB;NB115
cannb;NB;NB116
cannb;NB;NB117
cannb;NB;NB118
cannb;NB;NB119
cannb;NB;NB120
cannb;NB;NB121
cannb;NB;NB122
cannb;NB;NB123
cannb;NB;NB124
cannb;NB;NB126
cannb;NB;NB127
cannb;NB;NB128
cannb;NB;NB130
cannb;NB;NB132
cannb;NB;NB133
cannb;NB;NB134
cannb;NB;NB135
cannb;NB;NB140
cannb;NB;NB145
cannb;NB;NB148
cannb;NB;NB150
cannb;NB;NB160
cannb;NB;NB161
cannb;NB;NB165
cannb;NB;NB170
cannb;NB;NB172
cannb;NB;NB175
cannb;NB;NB176
cannb;NB;NB177
cannb;NB;NB180
cannb;NB;NB190
cannb;NB;NB205
cannb;NB;NB215
cannb;NB;NB218
cannb;NB;NB255
cannb;NB;NB260
cannb;NB;NB265
cannb;NB;NB275
cannb;NB;NB280
cannb;NB;NB303
cannb;NB;NB305
cannb;NB;NB310
cannb;NB;NB313
cannb;NB;NB315
cannb;NB;NB320
cannb;NB;NB322
cannb;NB;NB325
cannb;NB;NB330
cannb;NB;NB335
cannb;NB;NB340
cannb;NB;NB345
cannb;NB;NB350
cannb;NB;NB355
cannb;NB;NB360
cannb;NB;NB363
cannb;NB;NB365
cannb;NB;NB370
cannb;NB;NB375
cannb;NB;NB380
cannb;NB;NB385
cannb;NB;NB390
cannb;NB;NB395
cannb;NB;NB415
cannb;NB;NB420
cannb;NB;NB425
cannb;NB;NB430
cannb;NB;NB435
cannb;NB;NB440
cannb;NB;NB445
cannb;NB;NB450
cannb;NB;NB455
cannb;NB;NB460
cannb;NB;NB465
cannb;NB;NB470
cannb;NB;NB475
cannb;NB;NB480
cannb;NB;NB485
cannb;NB;NB490
cannb;NB;NB495
cannb;NB;NB505
cannb;NB;NB510
cannb;NB;NB515
cannb;NB;NB525
cannb;NB;NB530
cannb;NB;NB535
cannb;NB;NB540
cannb;NB;NB550
cannb;NB;NB555
cannb;NB;NB560
cannb;NB;NB565
cannb;NB;NB570
cannb;NB;NB575
cannb;NB;NB580
cannb;NB;NB585
cannb;NB;NB590
cannb;NB;NB595
cannb;NB;NB605
cannb;NB;NB610
cannb;NB;NB615
cannb;NB;NB616
cannb;NB;NB617
cannb;NB;NB620
cannb;NB;NB625
cannb;NB;NB628
cannb;NB;NB630
cannb;NB;NB635
cannb;NB;NB636
cannb;NB;NB640
cannb;NB;NB645
cannb;NB;NB655
cannb;NB;NB670
cannb;NB;NB690
cannb;NB;NB705
cannb;NB;NB710
cannb;NB;NB715
cannb;NB;NB725
cannb;NB;NB730
cannb;NB;NB735
cannb;NB;NB740
cannb;NB;NB745
cannb;NB;NB750
cannb;NB;NB755
cannb;NB;NB760
cannb;NB;NB770
cannb;NB;NB772
cannb;NB;NB774
cannb;NB;NB776
cannb;NB;NB778
cannb;NB;NB780
cannb;NB;NB785
cannb;NB;NB790
cannb;NB;NB820
cannb;NB;NB825
cannb;NB;NB845
cannb;NB;NB850
cannb;NB;NB855
cannb;NB;NB860
cannb;NB;NB865
cannb;NB;NB870
cannb;NB;NB875
cannb;NB;NB880
cannb;NB;NB885
cannb;NB;NB890
cannb;NB;NB895
cannb;NB;NB905
cannb;NB;NB910
cannb;NB;NB915
cannb;NB;NB925
cannb;NB;NB933
cannb;NB;NB935
cannb;NB;NB940
cannb;NB;NB945
cannb;NB;NB950
cannb;NB;NB955
cannb;NB;NB960
cannb;NB;NB970
