systemName;region;route
cantch;NL;TCHNL
cannl;NL;NL1
cannl;NL;NL2
cannl;NL;NL3
cannl;NL;NL10
cannl;NL;NL11
cannl;NL;NL13
cannl;NL;NL20
cannl;NL;NL21
cannl;NL;NL30
cannl;NL;NL40
cannl;NL;NL41
cannl;NL;NL50
cannl;NL;NL60
cannl;NL;NL61
cannl;NL;NL62
cannl;NL;NL63
cannl;NL;NL70
cannl;NL;NL71
cannl;NL;NL72
cannl;NL;NL73
cannl;NL;NL74
cannl;NL;NL75
cannl;NL;NL80
cannl;NL;NL81
cannl;NL;NL90
cannl;NL;NL91
cannl;NL;NL92
cannl;NL;NL93
cannl;NL;NL94
cannl;NL;NL100
cannl;NL;NL101
cannl;NL;NL102
cannl;NL;NL201
cannl;NL;NL202
cannl;NL;NL203
cannl;NL;NL204
cannl;NL;NL205
cannl;NL;NL210
cannl;NL;NL211
cannl;NL;NL212
cannl;NL;NL213
cannl;NL;NL214
cannl;NL;NL215
cannl;NL;NL220
cannl;NL;NL221
cannl;NL;NL222
cannl;NL;NL230
cannl;NL;NL231
cannl;NL;NL232
cannl;NL;NL233
cannl;NL;NL234
cannl;NL;NL235
cannl;NL;NL236
cannl;NL;NL237
cannl;NL;NL238
cannl;NL;NL239
cannl;NL;NL301
cannl;NL;NL310
cannl;NL;NL320
cannl;NL;NL330
cannl;NL;NL331
cannl;NL;NL332
cannl;NL;NL333
cannl;NL;NL334
cannl;NL;NL335
cannl;NL;NL340
cannl;NL;NL341
cannl;NL;NL342
cannl;NL;NL343
cannl;NL;NL344
cannl;NL;NL345
cannl;NL;NL346
cannl;NL;NL350
cannl;NL;NL351
cannl;NL;NL352
cannl;NL;NL360
cannl;NL;NL361
cannl;NL;NL362
cannl;NL;NL363
cannl;NL;NL364
cannl;NL;NL365
cannl;NL;NL370
cannl;NL;NL371
cannl;NL;NL380
cannl;NL;NL381
cannl;NL;NL382
cannl;NL;NL390
cannl;NL;NL391
cannl;NL;NL392
cannl;NL;NL401
cannl;NL;NL402
cannl;NL;NL403
cannl;NL;NL404
cannl;NL;NL405
cannl;NL;NL406
cannl;NL;NL407
cannl;NL;NL408
cannl;NL;NL410
cannl;NL;NL411
cannl;NL;NL412
cannl;NL;NL413
cannl;NL;NL414
cannl;NL;NL415
cannl;NL;NL416
cannl;NL;NL417
cannl;NL;NL418
cannl;NL;NL419
cannl;NL;NL420
cannl;NL;NL421
cannl;NL;NL422
cannl;NL;NL430
cannl;NL;NL431
cannl;NL;NL432
cannl;NL;NL433
cannl;NL;NL434
cannl;NL;NL435
cannl;NL;NL436
cannl;NL;NL437
cannl;NL;NL438
cannl;NL;NL440
cannl;NL;NL450
cannl;NL;NL460
cannl;NL;NL461
cannl;NL;NL462
cannl;NL;NL463
cannl;NL;NL470
cannl;NL;NL480
cannl;NL;NL490
cannl;NL;NL500
cannl;NL;NL503
cannl;NL;NL510
cannl;NL;NL513
cannl;NL;NL514
cannl;NL;NL516
cannl;NL;NL520
