systemName;region;route
cantch;NS;TCHNS
canns;NS;NS1
canns;NS;NS2
canns;NS;NS3
canns;NS;NS4
canns;NS;NS6
canns;NS;NS7
canns;NS;NS8
canns;NS;NS10
canns;NS;NS12
canns;NS;NS14
canns;NS;NS16
canns;NS;NS19
canns;NS;NS22
canns;NS;NS28
canns;NS;NS101
canns;NS;NS102
canns;NS;NS103
canns;NS;NS104
canns;NS;NS105
canns;NS;NS106
canns;NS;NS107
canns;NS;NS111
canns;NS;NS118
canns;NS;NS125
canns;NS;NS142
canns;NS;NS162
canns;NS;NS201
canns;NS;NS202
canns;NS;NS203
canns;NS;NS204
canns;NS;NS205
canns;NS;NS206
canns;NS;NS207
canns;NS;NS208
canns;NS;NS209
canns;NS;NS210
canns;NS;NS211
canns;NS;NS212
canns;NS;NS213
canns;NS;NS214
canns;NS;NS215
canns;NS;NS216
canns;NS;NS217
canns;NS;NS219
canns;NS;NS221
canns;NS;NS223
canns;NS;NS224
canns;NS;NS236
canns;NS;NS239
canns;NS;NS242
canns;NS;NS245
canns;NS;NS246
canns;NS;NS247
canns;NS;NS252
canns;NS;NS253
canns;NS;NS255
canns;NS;NS256
canns;NS;NS276
canns;NS;NS277
canns;NS;NS289
canns;NS;NS301
canns;NS;NS302
canns;NS;NS303
canns;NS;NS304
canns;NS;NS305
canns;NS;NS306
canns;NS;NS307
canns;NS;NS308
canns;NS;NS309
canns;NS;NS311
canns;NS;NS312
canns;NS;NS316
canns;NS;NS318
canns;NS;NS320
canns;NS;NS321
canns;NS;NS322
canns;NS;NS324
canns;NS;NS325
canns;NS;NS326
canns;NS;NS327
canns;NS;NS328
canns;NS;NS329
canns;NS;NS330
canns;NS;NS331
canns;NS;NS332
canns;NS;NS333
canns;NS;NS334
canns;NS;NS335
canns;NS;NS336
canns;NS;NS337
canns;NS;NS340
canns;NS;NS341
canns;NS;NS344
canns;NS;NS347
canns;NS;NS348
canns;NS;NS349
canns;NS;NS354
canns;NS;NS357
canns;NS;NS358
canns;NS;NS359
canns;NS;NS360
canns;NS;NS362
canns;NS;NS366
canns;NS;NS368
canns;NS;NS374
canns;NS;NS376
canns;NS;NS395
