systemName;region;route
cantch;AB;TCHAB
canab;AB;AB1
canab;AB;AB2
canab;AB;AB3
canab;AB;AB4
canab;AB;AB5
canab;AB;AB6
canab;AB;AB7
canab;AB;AB8
canab;AB;AB9
canab;AB;AB10
canab;AB;AB11
canab;AB;AB12
canab;AB;AB13
canab;AB;AB14
canab;AB;AB15
canab;AB;AB16
canab;AB;AB17
canab;AB;AB18
canab;AB;AB19
canab;AB;AB20
canab;AB;AB21
canab;AB;AB22
canab;AB;AB23
canab;AB;AB24
canab;AB;AB25
canab;AB;AB26
canab;AB;AB27
canab;AB;AB28
canab;AB;AB29
canab;AB;AB31
canab;AB;AB32
canab;AB;AB33
canab;AB;AB35
canab;AB;AB36
canab;AB;AB37
canab;AB;AB38
canab;AB;AB39
canab;AB;AB40
canab;AB;AB41
canab;AB;AB42
canab;AB;AB43
canab;AB;AB44
canab;AB;AB45
canab;AB;AB47
canab;AB;AB48
canab;AB;AB49
canab;AB;AB50
canab;AB;AB52
canab;AB;AB53
canab;AB;AB54
canab;AB;AB55
canab;AB;AB56
canab;AB;AB58
canab;AB;AB59
canab;AB;AB60
canab;AB;AB61
canab;AB;AB62
canab;AB;AB63
canab;AB;AB64
canab;AB;AB66
canab;AB;AB68
canab;AB;AB69
canab;AB;AB72
canab;AB;AB88
canab;AB;AB93
canab;AB;AB201
canab;AB;AB216
canab;AB;AB500
canab;AB;AB501
canab;AB;AB503
canab;AB;AB504
canab;AB;AB505
canab;AB;AB506
canab;AB;AB507
canab;AB;AB508
canab;AB;AB509
canab;AB;AB510
canab;AB;AB511
canab;AB;AB512
canab;AB;AB513
canab;AB;AB514
canab;AB;AB515
canab;AB;AB519
canab;AB;AB520
canab;AB;AB521
canab;AB;AB522
canab;AB;AB523
canab;AB;AB524
canab;AB;AB525
canab;AB;AB526
canab;AB;AB527
canab;AB;AB528
canab;AB;AB529
canab;AB;AB530
canab;AB;AB531
canab;AB;AB532
canab;AB;AB533
canab;AB;AB534
canab;AB;AB535
canab;AB;AB537
canab;AB;AB539
canab;AB;AB540
canab;AB;AB541
canab;AB;AB542
canab;AB;AB543
canab;AB;AB544
canab;AB;AB545
canab;AB;AB546
canab;AB;AB547
canab;AB;AB549
canab;AB;AB550
canab;AB;AB552
canab;AB;AB555
canab;AB;AB556
canab;AB;AB560
canab;AB;AB561
canab;AB;AB562
canab;AB;AB563
canab;AB;AB564
canab;AB;AB566
canab;AB;AB567
canab;AB;AB569
canab;AB;AB570
canab;AB;AB573
canab;AB;AB574
canab;AB;AB575
canab;AB;AB576
canab;AB;AB577
canab;AB;AB579
canab;AB;AB580
canab;AB;AB581
canab;AB;AB582
canab;AB;AB583
canab;AB;AB584
canab;AB;AB585
canab;AB;AB586
canab;AB;AB587
canab;AB;AB589
canab;AB;AB590
canab;AB;AB591
canab;AB;AB592
canab;AB;AB593
canab;AB;AB594
canab;AB;AB595
canab;AB;AB597
canab;AB;AB598
canab;AB;AB599
canab;AB;AB600
canab;AB;AB601
canab;AB;AB602
canab;AB;AB603
canab;AB;AB604
canab;AB;AB605
canab;AB;AB607
canab;AB;AB608
canab;AB;AB609
canab;AB;AB610
canab;AB;AB611
canab;AB;AB613
canab;AB;AB614
canab;AB;AB616
canab;AB;AB617
canab;AB;AB619
canab;AB;AB620
canab;AB;AB621
canab;AB;AB622
canab;AB;AB623
canab;AB;AB624
canab;AB;AB625
canab;AB;AB626
canab;AB;AB627
canab;AB;AB628
canab;AB;AB629
canab;AB;AB630
canab;AB;AB631
canab;AB;AB633
canab;AB;AB640
canab;AB;AB641
canab;AB;AB642
canab;AB;AB643
canab;AB;AB644
canab;AB;AB645
canab;AB;AB646
canab;AB;AB647
canab;AB;AB651
canab;AB;AB652
canab;AB;AB654
canab;AB;AB655
canab;AB;AB656
canab;AB;AB657
canab;AB;AB658
canab;AB;AB659
canab;AB;AB660
canab;AB;AB661
canab;AB;AB663
canab;AB;AB665
canab;AB;AB666
canab;AB;AB667
canab;AB;AB668
canab;AB;AB669
canab;AB;AB670
canab;AB;AB671
canab;AB;AB672
canab;AB;AB674
canab;AB;AB676
canab;AB;AB677
canab;AB;AB679
canab;AB;AB680
canab;AB;AB681
canab;AB;AB682
canab;AB;AB683
canab;AB;AB684
canab;AB;AB685
canab;AB;AB686
canab;AB;AB688
canab;AB;AB689
canab;AB;AB690
canab;AB;AB691
canab;AB;AB692
canab;AB;AB695
canab;AB;AB697
canab;AB;AB717
canab;AB;AB719
canab;AB;AB721
