systemName;region;route
canpe;PE;PE1
canpe;PE;PE1A
canpe;PE;PE2
canpe;PE;PE3
canpe;PE;PE4
canpe;PE;PE5
canpe;PE;PE6
canpe;PE;PE7
canpe;PE;PE8
canpe;PE;PE9
canpe;PE;PE10
canpe;PE;PE11
canpe;PE;PE12
canpe;PE;PE13
canpe;PE;PE14
canpe;PE;PE15
canpe;PE;PE16
canpe;PE;PE16A
canpe;PE;PE17
canpe;PE;PE17A
canpe;PE;PE18
canpe;PE;PE18A
canpe;PE;PE19
canpe;PE;PE19A
canpe;PE;PE20
canpe;PE;PE21
canpe;PE;PE22
canpe;PE;PE23
canpe;PE;PE24
canpe;PE;PE25
canpe;PE;PE26
canpe;PE;PE27
canpe;PE;PE101
canpe;PE;PE102
canpe;PE;PE103
canpe;PE;PE104
canpe;PE;PE105
canpe;PE;PE106
canpe;PE;PE107
canpe;PE;PE108
canpe;PE;PE109
canpe;PE;PE110
canpe;PE;PE111
canpe;PE;PE112
canpe;PE;PE113
canpe;PE;PE114
canpe;PE;PE115
canpe;PE;PE116
canpe;PE;PE117
canpe;PE;PE118
canpe;PE;PE119
canpe;PE;PE120
canpe;PE;PE121
canpe;PE;PE122
canpe;PE;PE123
canpe;PE;PE124
canpe;PE;PE125
canpe;PE;PE126
canpe;PE;PE127
canpe;PE;PE128
canpe;PE;PE129
canpe;PE;PE130
canpe;PE;PE131
canpe;PE;PE132
canpe;PE;PE133
canpe;PE;PE134
canpe;PE;PE135
canpe;PE;PE136
canpe;PE;PE137
canpe;PE;PE138
canpe;PE;PE139
canpe;PE;PE140
canpe;PE;PE141
canpe;PE;PE142
canpe;PE;PE143
canpe;PE;PE144
canpe;PE;PE145
canpe;PE;PE146
canpe;PE;PE147
canpe;PE;PE148
canpe;PE;PE149
canpe;PE;PE150
canpe;PE;PE151
canpe;PE;PE152
canpe;PE;PE153
canpe;PE;PE154
canpe;PE;PE155
canpe;PE;PE156
canpe;PE;PE157
canpe;PE;PE158
canpe;PE;PE159
canpe;PE;PE160
canpe;PE;PE161
canpe;PE;PE162
canpe;PE;PE163
canpe;PE;PE164
canpe;PE;PE165
canpe;PE;PE166
canpe;PE;PE167
canpe;PE;PE168
canpe;PE;PE169
canpe;PE;PE170
canpe;PE;PE171
canpe;PE;PE172
canpe;PE;PE173
canpe;PE;PE174
canpe;PE;PE175
canpe;PE;PE176
canpe;PE;PE177
canpe;PE;PE178
canpe;PE;PE179
canpe;PE;PE180
canpe;PE;PE181
canpe;PE;PE182
canpe;PE;PE183
canpe;PE;PE201
canpe;PE;PE202
canpe;PE;PE203
canpe;PE;PE204
canpe;PE;PE205
canpe;PE;PE206
canpe;PE;PE207
canpe;PE;PE208
canpe;PE;PE209
canpe;PE;PE210
canpe;PE;PE211
canpe;PE;PE212
canpe;PE;PE213
canpe;PE;PE214
canpe;PE;PE215
canpe;PE;PE216
canpe;PE;PE217
canpe;PE;PE218
canpe;PE;PE219
canpe;PE;PE220
canpe;PE;PE221
canpe;PE;PE222
canpe;PE;PE223
canpe;PE;PE224
canpe;PE;PE225
canpe;PE;PE226
canpe;PE;PE227
canpe;PE;PE228
canpe;PE;PE229
canpe;PE;PE230
canpe;PE;PE231
canpe;PE;PE232
canpe;PE;PE233
canpe;PE;PE234
canpe;PE;PE235
canpe;PE;PE236
canpe;PE;PE237
canpe;PE;PE238
canpe;PE;PE239
canpe;PE;PE240
canpe;PE;PE241
canpe;PE;PE242
canpe;PE;PE243
canpe;PE;PE244
canpe;PE;PE245
canpe;PE;PE246
canpe;PE;PE247
canpe;PE;PE248
canpe;PE;PE249
canpe;PE;PE250
canpe;PE;PE251
canpe;PE;PE252
canpe;PE;PE254
canpe;PE;PE255
canpe;PE;PE256
canpe;PE;PE257
canpe;PE;PE258
canpe;PE;PE259
canpe;PE;PE260
canpe;PE;PE261
canpe;PE;PE262
canpe;PE;PE263
canpe;PE;PE264
canpe;PE;PE265
canpe;PE;PE266
canpe;PE;PE267
canpe;PE;PE268
canpe;PE;PE269
canpe;PE;PE270
canpe;PE;PE271
canpe;PE;PE272
canpe;PE;PE301
canpe;PE;PE302
canpe;PE;PE303
canpe;PE;PE304
canpe;PE;PE305
canpe;PE;PE306
canpe;PE;PE307
canpe;PE;PE308
canpe;PE;PE309
canpe;PE;PE310
canpe;PE;PE311
canpe;PE;PE312
canpe;PE;PE313
canpe;PE;PE314
canpe;PE;PE315
canpe;PE;PE316
canpe;PE;PE317
canpe;PE;PE318
canpe;PE;PE319
canpe;PE;PE320
canpe;PE;PE321
canpe;PE;PE322
canpe;PE;PE323
canpe;PE;PE324
canpe;PE;PE325
canpe;PE;PE326
canpe;PE;PE327
canpe;PE;PE328
canpe;PE;PE329
canpe;PE;PE330
canpe;PE;PE331
canpe;PE;PE332
canpe;PE;PE333
canpe;PE;PE334
canpe;PE;PE335
canpe;PE;PE336
canpe;PE;PE337
canpe;PE;PE338
canpe;PE;PE339
canpe;PE;PE340
canpe;PE;PE341
canpe;PE;PE342
canpe;PE;PE343
canpe;PE;PE344
canpe;PE;PE345
canpe;PE;PE347
canpe;PE;PE348
canpe;PE;PE349
canpe;PE;PE350
canpe;PE;PE351
canpe;PE;PE352
canpe;PE;PE353
canpe;PE;PE354
canpe;PE;PE355
canpe;PE;PE356
canpe;PE;PE357
canpe;PE;PE358
