systemName;region;route
usafl;FL;FLA1A
usafl;FL;FL2
usafl;FL;FL3
usafl;FL;FL4
usafl;FL;FL5
usafl;FL;FL5A
usafl;FL;FL6
usafl;FL;FL7
usafl;FL;FL9
usafl;FL;FL9B
usafl;FL;FL10
usafl;FL;FL10A
usafl;FL;FL11
usafl;FL;FL12
usafl;FL;FL13
usafl;FL;FL14
usafl;FL;FL15
usafl;FL;FL15A
usafl;FL;FL16
usafl;FL;FL17
usafl;FL;FL18
usafl;FL;FL19
usafl;FL;FL20
usafl;FL;FL21
usafl;FL;FL22
usafl;FL;FL23
usafl;FL;FL24
usafl;FL;FL24A
usafl;FL;FL25
usafl;FL;FL26
usafl;FL;FL26A
usafl;FL;FL29
usafl;FL;FL30
usafl;FL;FL30A
usafl;FL;FL30E
usafl;FL;FL31
usafl;FL;FL33
usafl;FL;FL35
usafl;FL;FL37
usafl;FL;FL39
usafl;FL;FL39A
usafl;FL;FL40
usafl;FL;FL44
usafl;FL;FL45
usafl;FL;FL46
usafl;FL;FL47
usafl;FL;FL48
usafl;FL;FL50
usafl;FL;FL50A
usafl;FL;FL51
usafl;FL;FL52
usafl;FL;FL53
usafl;FL;FL54
usafl;FL;FL56
usafl;FL;FL59
usafl;FL;FL60
usafl;FL;FL61
usafl;FL;FL62
usafl;FL;FL64
usafl;FL;FL65
usafl;FL;FL66
usafl;FL;FL68
usafl;FL;FL69
usafl;FL;FL70
usafl;FL;FL71
usafl;FL;FL72
usafl;FL;FL73
usafl;FL;FL76
usafl;FL;FL77
usafl;FL;FL78
usafl;FL;FL79
usafl;FL;FL80
usafl;FL;FL81
usafl;FL;FL82
usafl;FL;FL83
usafl;FL;FL84
usafl;FL;FL85
usafl;FL;FL87
usafl;FL;FL89
usafl;FL;FL94
usafl;FL;FL97
usafl;FL;FL99
usafl;FL;FL100
usafl;FL;FL100A
usafl;FL;FL101
usafl;FL;FL102
usafl;FL;FL103
usafl;FL;FL104
usafl;FL;FL105
usafl;FL;FL109
usafl;FL;FL111
usafl;FL;FL112
usafl;FL;FL113
usafl;FL;FL114
usafl;FL;FL115
usafl;FL;FL116
usafl;FL;FL117
usafl;FL;FL120
usafl;FL;FL121
usafl;FL;FL122
usafl;FL;FL123
usafl;FL;FL126
usafl;FL;FL128
