systemName;region;route
usaga;GA;GA1
usaga;GA;GA2
usaga;GA;GA3
usaga;GA;GA4
usaga;GA;GA5
usaga;GA;GA6
usaga;GA;GA7
usaga;GA;GA8
usaga;GA;GA9
usaga;GA;GA10
usaga;GA;GA11
usaga;GA;GA12
usaga;GA;GA13
usaga;GA;GA14
usaga;GA;GA15
usaga;GA;GA16
usaga;GA;GA17
usaga;GA;GA18
usaga;GA;GA19
usaga;GA;GA20
usaga;GA;GA21
usaga;GA;GA22
usaga;GA;GA23
usaga;GA;GA24
usaga;GA;GA25
usaga;GA;GA26
usaga;GA;GA27
usaga;GA;GA28
usaga;GA;GA29
usaga;GA;GA30
usaga;GA;GA31
usaga;GA;GA32
usaga;GA;GA33
usaga;GA;GA34
usaga;GA;GA35
usaga;GA;GA36
usaga;GA;GA37
usaga;GA;GA38
usaga;GA;GA39
usaga;GA;GA40
usaga;GA;GA41
usaga;GA;GA42
usaga;GA;GA43
usaga;GA;GA44
usaga;GA;GA45
usaga;GA;GA46
usaga;GA;GA47
usaga;GA;GA48
usaga;GA;GA49
usaga;GA;GA50
usaga;GA;GA51
usaga;GA;GA52
usaga;GA;GA53
usaga;GA;GA54
usaga;GA;GA55
usaga;GA;GA56
usaga;GA;GA57
usaga;GA;GA58
usaga;GA;GA59
usaga;GA;GA60
usaga;GA;GA61
usaga;GA;GA62
usaga;GA;GA63
usaga;GA;GA64
usaga;GA;GA65
usaga;GA;GA66
usaga;GA;GA67
usaga;GA;GA68
usaga;GA;GA70
usaga;GA;GA71
usaga;GA;GA72
usaga;GA;GA73
usaga;GA;GA74
usaga;GA;GA75
usaga;GA;GA76
usaga;GA;GA77
usaga;GA;GA78
usaga;GA;GA79
usaga;GA;GA80
usaga;GA;GA81
usaga;GA;GA82
usaga;GA;GA83
usaga;GA;GA84
usaga;GA;GA85
usaga;GA;GA86
usaga;GA;GA87
usaga;GA;GA88
usaga;GA;GA89
usaga;GA;GA90
usaga;GA;GA91
usaga;GA;GA92
usaga;GA;GA93
usaga;GA;GA94
usaga;GA;GA95
usaga;GA;GA96
usaga;GA;GA97
usaga;GA;GA98
usaga;GA;GA99
usaga;GA;GA100
usaga;GA;GA101
usaga;GA;GA102
usaga;GA;GA103
usaga;GA;GA104
usaga;GA;GA105
usaga;GA;GA106
usaga;GA;GA107
usaga;GA;GA108
usaga;GA;GA109
usaga;GA;GA110
usaga;GA;GA111
usaga;GA;GA112
usaga;GA;GA113
usaga;GA;GA114
usaga;GA;GA115
usaga;GA;GA116
usaga;GA;GA117
usaga;GA;GA118
usaga;GA;GA119
usaga;GA;GA120
usaga;GA;GA121
usaga;GA;GA122
usaga;GA;GA123
usaga;GA;GA124
usaga;GA;GA125
usaga;GA;GA126
usaga;GA;GA127
usaga;GA;GA128
usaga;GA;GA129
usaga;GA;GA130
usaga;GA;GA132
usaga;GA;GA133
usaga;GA;GA135
usaga;GA;GA136
usaga;GA;GA137
usaga;GA;GA138
usaga;GA;GA139
usaga;GA;GA140
usaga;GA;GA141
usaga;GA;GA142
usaga;GA;GA144
usaga;GA;GA145
usaga;GA;GA146
usaga;GA;GA147
usaga;GA;GA149
usaga;GA;GA150
usaga;GA;GA151
usaga;GA;GA152
usaga;GA;GA153
usaga;GA;GA154
usaga;GA;GA155
usaga;GA;GA156
usaga;GA;GA157
usaga;GA;GA158
usaga;GA;GA159
usaga;GA;GA162
usaga;GA;GA164
usaga;GA;GA165
usaga;GA;GA166
usaga;GA;GA168
usaga;GA;GA169
usaga;GA;GA171
usaga;GA;GA172
usaga;GA;GA173
usaga;GA;GA174
usaga;GA;GA177
usaga;GA;GA178
usaga;GA;GA180
usaga;GA;GA181
usaga;GA;GA182
usaga;GA;GA183
usaga;GA;GA184
usaga;GA;GA185
usaga;GA;GA186
usaga;GA;GA187
usaga;GA;GA188
usaga;GA;GA189
usaga;GA;GA190
usaga;GA;GA191
usaga;GA;GA192
usaga;GA;GA193
usaga;GA;GA194
usaga;GA;GA195
usaga;GA;GA196
usaga;GA;GA197
usaga;GA;GA198
usaga;GA;GA199
usaga;GA;GA200
usaga;GA;GA201
usaga;GA;GA202
usaga;GA;GA203
usaga;GA;GA204
usaga;GA;GA206
usaga;GA;GA208
usaga;GA;GA211
usaga;GA;GA212
usaga;GA;GA215
usaga;GA;GA216
usaga;GA;GA219
usaga;GA;GA220
usaga;GA;GA223
usaga;GA;GA224
usaga;GA;GA225
usaga;GA;GA227
usaga;GA;GA228
usaga;GA;GA230
usaga;GA;GA231
usaga;GA;GA232
usaga;GA;GA233
usaga;GA;GA234
usaga;GA;GA236
usaga;GA;GA237
usaga;GA;GA240
usaga;GA;GA241
usaga;GA;GA242
usaga;GA;GA246
usaga;GA;GA247
usaga;GA;GA251
usaga;GA;GA252
usaga;GA;GA253
usaga;GA;GA254
usaga;GA;GA255
usaga;GA;GA256
usaga;GA;GA257
usaga;GA;GA260
usaga;GA;GA262
usaga;GA;GA264
usaga;GA;GA266
usaga;GA;GA268
usaga;GA;GA270
usaga;GA;GA271
usaga;GA;GA272
usaga;GA;GA273
usaga;GA;GA274
usaga;GA;GA275
usaga;GA;GA278
usaga;GA;GA279
usaga;GA;GA280
usaga;GA;GA281
usaga;GA;GA282
usaga;GA;GA283
usaga;GA;GA284
usaga;GA;GA285
usaga;GA;GA286
usaga;GA;GA288
usaga;GA;GA292
usaga;GA;GA293
usaga;GA;GA296
usaga;GA;GA297
usaga;GA;GA298
usaga;GA;GA299
usaga;GA;GA300
usaga;GA;GA301
usaga;GA;GA302
usaga;GA;GA303
usaga;GA;GA305
usaga;GA;GA306
usaga;GA;GA307
usaga;GA;GA308
usaga;GA;GA309
usaga;GA;GA310
usaga;GA;GA311
usaga;GA;GA313
usaga;GA;GA314
usaga;GA;GA315
usaga;GA;GA316
usaga;GA;GA317
usaga;GA;GA320
usaga;GA;GA323
usaga;GA;GA324
usaga;GA;GA325
usaga;GA;GA326
usaga;GA;GA327
usaga;GA;GA328
usaga;GA;GA329
usaga;GA;GA330
usaga;GA;GA331
usaga;GA;GA332
usaga;GA;GA333
usaga;GA;GA334
usaga;GA;GA335
usaga;GA;GA337
usaga;GA;GA338
usaga;GA;GA339
usaga;GA;GA341
usaga;GA;GA347
usaga;GA;GA348
usaga;GA;GA352
usaga;GA;GA354
usaga;GA;GA355
usaga;GA;GA356
usaga;GA;GA358
usaga;GA;GA360
usaga;GA;GA362
usaga;GA;GA365
usaga;GA;GA368
usaga;GA;GA369
usaga;GA;GA370
usaga;GA;GA372
usaga;GA;GA374
usaga;GA;GA376
usaga;GA;GA377
usaga;GA;GA378
usaga;GA;GA380
usaga;GA;GA382
usaga;GA;GA383
usaga;GA;GA384
usaga;GA;GA385
usaga;GA;GA388
usaga;GA;GA400
usaga;GA;GA404
usaga;GA;GA410
usaga;GA;GA515
usaga;GA;GA520
usaga;GA;GA540
