systemName;region;route
usahi;HI;HI11
usahi;HI;HI19
usahi;HI;HI30
usahi;HI;HI31
usahi;HI;HI32
usahi;HI;HI32A
usahi;HI;HI36
usahi;HI;HI36A
usahi;HI;HI37
usahi;HI;HI50
usahi;HI;HI51
usahi;HI;HI56
usahi;HI;HI58
usahi;HI;HI61
usahi;HI;HI63
usahi;HI;HI64
usahi;HI;HI65
usahi;HI;HI71
usahi;HI;HI76
usahi;HI;HI78
usahi;HI;HI80
usahi;HI;HI83
usahi;HI;HI92
usahi;HI;HI93
usahi;HI;HI98
usahi;HI;HI99
usahi;HI;HI130
usahi;HI;HI132
usahi;HI;HI139
usahi;HI;HI160
usahi;HI;HI190
usahi;HI;HI200
usahi;HI;HI220
usahi;HI;HI240
usahi;HI;HI250
usahi;HI;HI270
usahi;HI;HI310
usahi;HI;HI311
usahi;HI;HI340
usahi;HI;HI360
usahi;HI;HI377
usahi;HI;HI378
usahi;HI;HI440
usahi;HI;HI450
usahi;HI;HI460
usahi;HI;HI470
usahi;HI;HI480
usahi;HI;HI540
usahi;HI;HI541
usahi;HI;HI550
usahi;HI;HI552
usahi;HI;HI560
usahi;HI;HI570
usahi;HI;HI580
usahi;HI;HI583
usahi;HI;HI750
usahi;HI;HI930
usahi;HI;HI2000
usahi;HI;HI3000
usahi;HI;HI3400
usahi;HI;HI3500
usahi;HI;HI3800
usahi;HI;HI7012
usahi;HI;HI7101
usahi;HI;HI7110
usahi;HI;HI7310
usahi;HI;HI8930
