systemName;region;route
usai;HI;I-H1
usai;HI;I-H2
usai;HI;I-H3
usai;HI;I-H201
usai;TX;I-2
usai;FL;I-4
usai;CA;I-5
usai;OR;I-5
usai;WA;I-5
usai;CA;I-8
usai;AZ;I-8
usai;CA;I-10
usai;AZ;I-10
usai;NM;I-10
usai;TX;I-10
usai;LA;I-10
usai;MS;I-10
usai;AL;I-10
usai;FL;I-10
usai;NV;I-11
usai;LA;I-12
usai;TX;I-14
usai;CA;I-15
usai;NV;I-15
usai;AZ;I-15
usai;UT;I-15
usai;ID;I-15
usai;MT;I-15
usai;GA;I-16
usai;AZ;I-17
usai;AZ;I-19
usai;TX;I-20
usai;LA;I-20
usai;MS;I-20
usai;AL;I-20
usai;GA;I-20
usai;SC;I-20
usai;MS;I-22
usai;AL;I-22
usai;IL;I-24
usai;KY;I-24
usai;TN;I-24
usai;GA;I-24
usai;NM;I-25
usai;CO;I-25
usai;WY;I-25
usai;TN;I-26
usai;NC;I-26
usai;SC;I-26
usai;TX;I-27
usai;MO;I-29
usai;IA;I-29
usai;SD;I-29
usai;ND;I-29
usai;TX;I-30
usai;AR;I-30
usai;TX;I-35
usai;OK;I-35
usai;KS;I-35
usai;MO;I-35
usai;IA;I-35
usai;MN;I-35
usai;TX;I-35E
usai;MN;I-35E
usai;TX;I-35W
usai;MN;I-35W
usai;TX;I-37
usai;IL;I-39
usai;WI;I-39
usai;CA;I-40
usai;AZ;I-40
usai;NM;I-40
usai;TX;I-40
usai;OK;I-40
usai;AR;I-40
usai;TN;I-40
usai;NC;I-40
usai;IL;I-41
usai;WI;I-41
usai;NC;I-42
usai;WI;I-43
usai;TX;I-44
usai;OK;I-44
usai;MO;I-44
usai;TX;I-45
usai;LA;I-49
usai;AR;I-49
usai;MO;I-49
usai;LA;I-55
usai;MS;I-55
usai;TN;I-55
usai;AR;I-55
usai;MO;I-55
usai;IL;I-55
usai;AR;I-57
usai;MO;I-57
usai;IL;I-57
usai;LA;I-59
usai;MS;I-59
usai;AL;I-59
usai;GA;I-59
usai;MO;I-64
usai;IL;I-64
usai;IN;I-64
usai;KY;I-64
usai;WV;I-64
usai;VA;I-64
usai;AL;I-65
usai;KY;I-65
usai;TN;I-65
usai;IN;I-65
usai;VA;I-66
usai;DC;I-66
usai;WV;I-68
usai;MD;I-68
usai;TX;I-69
usai;MS;I-69
usai;KY;I-69
usai;IN;I-69
usai;MI;I-69
usai;TX;I-69C
usai;TX;I-69E
usai;TX;I-69W
usai;UT;I-70
usai;CO;I-70
usai;KS;I-70
usai;MO;I-70
usai;IL;I-70
usai;IN;I-70
usai;OH;I-70
usai;WV;I-70
usai;PA;I-70
usai;MD;I-70
usai;KY;I-71
usai;OH;I-71
usai;MO;I-72
usai;IL;I-72
usai;NC;I-73
usai;IA;I-74
usai;IL;I-74
usai;IN;I-74
usai;OH;I-74
usai;NC;I-74
usai;FL;I-75
usai;GA;I-75
usai;TN;I-75
usai;KY;I-75
usai;OH;I-75
usai;MI;I-75
usai;CO;I-76
usai;NE;I-76
usai;OH;I-76
usai;PA;I-76
usai;NJ;I-76
usai;SC;I-77
usai;NC;I-77
usai;VA;I-77
usai;WV;I-77
usai;OH;I-77
usai;PA;I-78
usai;NJ;I-78
usai;NY;I-78
usai;WV;I-79
usai;PA;I-79
usai;CA;I-80
usai;NV;I-80
usai;UT;I-80
usai;WY;I-80
usai;NE;I-80
usai;IA;I-80
usai;IL;I-80
usai;IN;I-80
usai;OH;I-80
usai;PA;I-80
usai;NJ;I-80
usai;TN;I-81
usai;VA;I-81
usai;WV;I-81
usai;MD;I-81
usai;PA;I-81
usai;NY;I-81
usai;WA;I-82
usai;OR;I-82
usai;MD;I-83
usai;PA;I-83
usai;OR;I-84
usai;ID;I-84
usai;UT;I-84
usai;PA;I-84
usai;NY;I-84
usai;CT;I-84
usai;MA;I-84
usai;AL;I-85
usai;GA;I-85
usai;SC;I-85
usai;NC;I-85
usai;VA;I-85
usai;ID;I-86
usai;PA;I-86
usai;NY;I-86
usai;NY;I-87
usai;NC;I-87
usai;IL;I-88
usai;NY;I-88
usai;NH;I-89
usai;VT;I-89
usai;WA;I-90
usai;ID;I-90
usai;MT;I-90
usai;WY;I-90
usai;SD;I-90
usai;MN;I-90
usai;WI;I-90
usai;IL;I-90
usai;IN;I-90
usai;OH;I-90
usai;PA;I-90
usai;NY;I-90
usai;MA;I-90
usai;CT;I-91
usai;MA;I-91
usai;VT;I-91
usai;MA;I-93
usai;NH;I-93
usai;VT;I-93
usai;MT;I-94
usai;ND;I-94
usai;MN;I-94
usai;WI;I-94
usai;IL;I-94
usai;IN;I-94
usai;MI;I-94
usai;FL;I-95
usai;GA;I-95
usai;SC;I-95
usai;NC;I-95
usai;VA;I-95
usai;DC;I-95
usai;MD;I-95
usai;DE;I-95
usai;PA;I-95
usai;NJ;I-95
usai;NY;I-95
usai;CT;I-95
usai;RI;I-95
usai;MA;I-95
usai;NH;I-95
usai;ME;I-95
usai;MI;I-96
usai;MD;I-97
usai;PA;I-99
usai;NY;I-99
usai;CA;I-105
usai;OR;I-105
usai;CA;I-110
usai;TX;I-110
usai;LA;I-110
usai;MS;I-110
usai;FL;I-110
usai;MT;I-115
usai;SC;I-126
usai;NE;I-129
usai;IA;I-129
usai;KS;I-135
usai;TN;I-140
usai;NC;I-140
usai;MO;I-155
usai;TN;I-155
usai;IL;I-155
usai;AL;I-165
usai;KY;I-165
usai;TX;I-169
usai;KY;I-169
usai;MO;I-170
usai;IL;I-172
usai;FL;I-175
usai;PA;I-176
usai;WY;I-180
usai;NE;I-180
usai;IL;I-180
usai;PA;I-180
usai;WA;I-182
usai;ID;I-184
usai;GA;I-185
usai;SC;I-185
usai;VT;I-189
usai;SD;I-190
usai;IL;I-190
usai;NY;I-190
usai;MA;I-190
usai;MI;I-194
usai;FL;I-195
usai;VA;I-195
usai;MD;I-195
usai;NJ;I-195
usai;RI;I-195
usai;MA;I-195
usai;ME;I-195
usai;MI;I-196
usai;CA;I-205
usai;OR;I-205
usai;WA;I-205
usai;CA;I-210
usai;LA;I-210
usai;CA;I-215
usai;NV;I-215
usai;UT;I-215
usai;LA;I-220
usai;MS;I-220
usai;CO;I-225
usai;MO;I-229
usai;SD;I-229
usai;OK;I-235
usai;KS;I-235
usai;IA;I-235
usai;CA;I-238
usai;OK;I-240
usai;TN;I-240
usai;NC;I-240
usai;OK;I-244
usai;MO;I-255
usai;IL;I-255
usai;KY;I-264
usai;VA;I-264
usai;KY;I-265
usai;IN;I-265
