systemName;region;route
usaid;ID;ID1
usaid;ID;ID3
usaid;ID;ID4
usaid;ID;ID5
usaid;ID;ID6
usaid;ID;ID7
usaid;ID;ID8
usaid;ID;ID9
usaid;ID;ID11
usaid;ID;ID13
usaid;ID;ID14
usaid;ID;ID16
usaid;ID;ID19
usaid;ID;ID21
usaid;ID;ID22
usaid;ID;ID24
usaid;ID;ID25
usaid;ID;ID27
usaid;ID;ID28
usaid;ID;ID29
usaid;ID;ID31
usaid;ID;ID32
usaid;ID;ID33
usaid;ID;ID34
usaid;ID;ID36
usaid;ID;ID37
usaid;ID;ID38
usaid;ID;ID39
usaid;ID;ID40
usaid;ID;ID41
usaid;ID;ID43
usaid;ID;ID44
usaid;ID;ID45
usaid;ID;ID46
usaid;ID;ID47
usaid;ID;ID48
usaid;ID;ID50
usaid;ID;ID51
usaid;ID;ID52
usaid;ID;ID53
usaid;ID;ID54
usaid;ID;ID55
usaid;ID;ID57
usaid;ID;ID58
usaid;ID;ID60
usaid;ID;ID61
usaid;ID;ID62
usaid;ID;ID64
usaid;ID;ID66
usaid;ID;ID67
usaid;ID;ID69
usaid;ID;ID71
usaid;ID;ID72
usaid;ID;ID74
usaid;ID;ID75
usaid;ID;ID77
usaid;ID;ID78
usaid;ID;ID79
usaid;ID;ID81
usaid;ID;ID87
usaid;ID;ID97
usaid;ID;ID99
usaid;ID;ID128
usaid;ID;ID162
usaid;ID;ID167
usaid;ID;ID200
