systemName;region;route
usail;IL;IL1
usail;IL;IL2
usail;IL;IL3
usail;IL;IL4
usail;IL;IL5
usail;IL;IL6
usail;IL;IL7
usail;IL;IL8
usail;IL;IL9
usail;IL;IL10
usail;IL;IL13
usail;IL;IL14
usail;IL;IL15
usail;IL;IL16
usail;IL;IL17
usail;IL;IL18
usail;IL;IL19
usail;IL;IL21
usail;IL;IL22
usail;IL;IL23
usail;IL;IL25
usail;IL;IL26
usail;IL;IL29
usail;IL;IL31
usail;IL;IL32
usail;IL;IL33
usail;IL;IL34
usail;IL;IL35
usail;IL;IL37
usail;IL;IL38
usail;IL;IL40
usail;IL;IL41
usail;IL;IL43
usail;IL;IL47
usail;IL;IL48
usail;IL;IL49
usail;IL;IL50
usail;IL;IL53
usail;IL;IL54
usail;IL;IL56
usail;IL;IL57
usail;IL;IL58
usail;IL;IL59
usail;IL;IL60
usail;IL;IL61
usail;IL;IL62
usail;IL;IL64
usail;IL;IL68
usail;IL;IL70
usail;IL;IL71
usail;IL;IL72
usail;IL;IL73
usail;IL;IL75
usail;IL;IL76
usail;IL;IL78
usail;IL;IL81
usail;IL;IL82
usail;IL;IL83
usail;IL;IL84
usail;IL;IL89
usail;IL;IL90
usail;IL;IL91
usail;IL;IL92
usail;IL;IL93
usail;IL;IL94
usail;IL;IL95
usail;IL;IL96
usail;IL;IL97
usail;IL;IL98
usail;IL;IL99
usail;IL;IL100
usail;IL;IL101
usail;IL;IL102
usail;IL;IL103
usail;IL;IL104
usail;IL;IL105
usail;IL;IL106
usail;IL;IL107
usail;IL;IL108
usail;IL;IL109
usail;IL;IL110
usail;IL;IL111
usail;IL;IL113
usail;IL;IL114
usail;IL;IL115
usail;IL;IL116
usail;IL;IL117
usail;IL;IL119
usail;IL;IL120
usail;IL;IL121
usail;IL;IL122
usail;IL;IL123
usail;IL;IL124
usail;IL;IL125
usail;IL;IL126
usail;IL;IL127
usail;IL;IL128
usail;IL;IL129
usail;IL;IL130
usail;IL;IL131
usail;IL;IL132
usail;IL;IL133
usail;IL;IL134
usail;IL;IL135
usail;IL;IL136
usail;IL;IL137
usail;IL;IL138
usail;IL;IL140
usail;IL;IL141
usail;IL;IL142
usail;IL;IL143
usail;IL;IL145
usail;IL;IL146
usail;IL;IL147
usail;IL;IL148
usail;IL;IL149
usail;IL;IL150
usail;IL;IL151
usail;IL;IL152
usail;IL;IL153
usail;IL;IL154
usail;IL;IL155
usail;IL;IL156
usail;IL;IL157
usail;IL;IL158
usail;IL;IL159
usail;IL;IL160
usail;IL;IL161
usail;IL;IL162
usail;IL;IL163
usail;IL;IL164
usail;IL;IL165
usail;IL;IL166
usail;IL;IL167
usail;IL;IL169
usail;IL;IL170
usail;IL;IL171
usail;IL;IL172
usail;IL;IL173
usail;IL;IL176
usail;IL;IL177
usail;IL;IL178
usail;IL;IL180
usail;IL;IL184
usail;IL;IL185
usail;IL;IL192
usail;IL;IL203
usail;IL;IL242
usail;IL;IL250
usail;IL;IL251
usail;IL;IL255
usail;IL;IL267
usail;IL;IL336
usail;IL;IL351
usail;IL;IL390
usail;IL;IL394
