systemName;region;route
usaky;KY;KY1
usaky;KY;KY2
usaky;KY;KY3
usaky;KY;KY4
usaky;KY;KY5
usaky;KY;KY6
usaky;KY;KY7
usaky;KY;KY8
usaky;KY;KY9
usaky;KY;KY10
usaky;KY;KY11
usaky;KY;KY12
usaky;KY;KY13
usaky;KY;KY14
usaky;KY;KY15
usaky;KY;KY16
usaky;KY;KY17
usaky;KY;KY18
usaky;KY;KY19
usaky;KY;KY20
usaky;KY;KY21
usaky;KY;KY22
usaky;KY;KY26
usaky;KY;KY28
usaky;KY;KY29
usaky;KY;KY30
usaky;KY;KY32
usaky;KY;KY33
usaky;KY;KY34
usaky;KY;KY35
usaky;KY;KY36
usaky;KY;KY37
usaky;KY;KY38
usaky;KY;KY39
usaky;KY;KY40
usaky;KY;KY43
usaky;KY;KY44
usaky;KY;KY46
usaky;KY;KY47
usaky;KY;KY48
usaky;KY;KY49
usaky;KY;KY52
usaky;KY;KY53
usaky;KY;KY54
usaky;KY;KY55
usaky;KY;KY56
usaky;KY;KY57
usaky;KY;KY58
usaky;KY;KY59
usaky;KY;KY61
usaky;KY;KY63
usaky;KY;KY66
usaky;KY;KY67
usaky;KY;KY69
usaky;KY;KY70
usaky;KY;KY72
usaky;KY;KY73
usaky;KY;KY74
usaky;KY;KY76
usaky;KY;KY77
usaky;KY;KY78
usaky;KY;KY79
usaky;KY;KY80
usaky;KY;KY81
usaky;KY;KY82
usaky;KY;KY83
usaky;KY;KY84
usaky;KY;KY85
usaky;KY;KY86
usaky;KY;KY87
usaky;KY;KY88
usaky;KY;KY89
usaky;KY;KY90
usaky;KY;KY91
usaky;KY;KY92
usaky;KY;KY93
usaky;KY;KY94
usaky;KY;KY95
usaky;KY;KY96
usaky;KY;KY97
usaky;KY;KY98
usaky;KY;KY99
usaky;KY;KY100
usaky;KY;KY101
usaky;KY;KY102
usaky;KY;KY103
usaky;KY;KY104
usaky;KY;KY105
usaky;KY;KY106
usaky;KY;KY107
usaky;KY;KY108
usaky;KY;KY109
usaky;KY;KY110
usaky;KY;KY111
usaky;KY;KY112
usaky;KY;KY113
usaky;KY;KY114
usaky;KY;KY115
usaky;KY;KY116
usaky;KY;KY117
usaky;KY;KY118
usaky;KY;KY120
usaky;KY;KY121
usaky;KY;KY122
usaky;KY;KY123
usaky;KY;KY124
usaky;KY;KY125
usaky;KY;KY126
usaky;KY;KY128
usaky;KY;KY129
usaky;KY;KY130
usaky;KY;KY131
usaky;KY;KY132
usaky;KY;KY133
usaky;KY;KY134
usaky;KY;KY135
usaky;KY;KY136
usaky;KY;KY137
usaky;KY;KY138
usaky;KY;KY139
usaky;KY;KY140
usaky;KY;KY141
usaky;KY;KY142
usaky;KY;KY143
usaky;KY;KY144
usaky;KY;KY145
usaky;KY;KY146
usaky;KY;KY147
usaky;KY;KY148
usaky;KY;KY149
usaky;KY;KY151
usaky;KY;KY152
usaky;KY;KY153
usaky;KY;KY154
usaky;KY;KY155
usaky;KY;KY156
usaky;KY;KY157
usaky;KY;KY158
usaky;KY;KY159
usaky;KY;KY160
usaky;KY;KY161
usaky;KY;KY162
usaky;KY;KY163
usaky;KY;KY164
usaky;KY;KY165
usaky;KY;KY166
usaky;KY;KY167
usaky;KY;KY168
usaky;KY;KY169
usaky;KY;KY170
usaky;KY;KY171
usaky;KY;KY172
usaky;KY;KY173
usaky;KY;KY174
usaky;KY;KY175
usaky;KY;KY176
usaky;KY;KY177
usaky;KY;KY178
usaky;KY;KY179
usaky;KY;KY180
usaky;KY;KY181
usaky;KY;KY182
usaky;KY;KY183
usaky;KY;KY184
usaky;KY;KY185
usaky;KY;KY186
usaky;KY;KY187
usaky;KY;KY188
usaky;KY;KY189
usaky;KY;KY190
usaky;KY;KY191
usaky;KY;KY192
usaky;KY;KY193
usaky;KY;KY194
usaky;KY;KY195
usaky;KY;KY196
usaky;KY;KY197
usaky;KY;KY198
usaky;KY;KY199
usaky;KY;KY200
usaky;KY;KY201
usaky;KY;KY202
usaky;KY;KY203
usaky;KY;KY204
usaky;KY;KY205
usaky;KY;KY206
usaky;KY;KY207
usaky;KY;KY208
usaky;KY;KY209
usaky;KY;KY210
usaky;KY;KY211
usaky;KY;KY212
usaky;KY;KY213
usaky;KY;KY214
usaky;KY;KY215
usaky;KY;KY216
usaky;KY;KY217
usaky;KY;KY218
usaky;KY;KY219
usaky;KY;KY220
usaky;KY;KY221
usaky;KY;KY222
usaky;KY;KY223
usaky;KY;KY224
usaky;KY;KY225
usaky;KY;KY226
usaky;KY;KY227
usaky;KY;KY228
usaky;KY;KY229
usaky;KY;KY230
usaky;KY;KY232
usaky;KY;KY233
usaky;KY;KY234
usaky;KY;KY235
usaky;KY;KY236
usaky;KY;KY237
usaky;KY;KY238
usaky;KY;KY239
usaky;KY;KY240
usaky;KY;KY241
usaky;KY;KY242
usaky;KY;KY243
usaky;KY;KY244
usaky;KY;KY245
usaky;KY;KY246
usaky;KY;KY247
usaky;KY;KY248
usaky;KY;KY249
usaky;KY;KY250
usaky;KY;KY251
usaky;KY;KY252
usaky;KY;KY253
usaky;KY;KY254
usaky;KY;KY255
usaky;KY;KY256
usaky;KY;KY257
usaky;KY;KY258
usaky;KY;KY259
usaky;KY;KY260
usaky;KY;KY261
usaky;KY;KY262
usaky;KY;KY263
usaky;KY;KY266
usaky;KY;KY267
usaky;KY;KY268
usaky;KY;KY269
usaky;KY;KY270
usaky;KY;KY271
usaky;KY;KY272
usaky;KY;KY273
usaky;KY;KY274
usaky;KY;KY276
usaky;KY;KY277
usaky;KY;KY278
usaky;KY;KY279
usaky;KY;KY280
usaky;KY;KY281
usaky;KY;KY282
usaky;KY;KY283
usaky;KY;KY284
usaky;KY;KY285
usaky;KY;KY286
usaky;KY;KY287
usaky;KY;KY288
usaky;KY;KY289
usaky;KY;KY290
usaky;KY;KY291
usaky;KY;KY292
usaky;KY;KY293
usaky;KY;KY294
usaky;KY;KY295
usaky;KY;KY296
usaky;KY;KY297
usaky;KY;KY298
usaky;KY;KY299
usaky;KY;KY300
usaky;KY;KY301
usaky;KY;KY302
usaky;KY;KY303
usaky;KY;KY304
usaky;KY;KY305
usaky;KY;KY306
usaky;KY;KY307
usaky;KY;KY308
usaky;KY;KY309
usaky;KY;KY310
usaky;KY;KY311
usaky;KY;KY312
usaky;KY;KY313
usaky;KY;KY314
usaky;KY;KY315
usaky;KY;KY316
usaky;KY;KY317
usaky;KY;KY319
usaky;KY;KY320
usaky;KY;KY321
usaky;KY;KY322
usaky;KY;KY323
usaky;KY;KY324
usaky;KY;KY325
usaky;KY;KY326
usaky;KY;KY327
usaky;KY;KY328
usaky;KY;KY329
usaky;KY;KY330
usaky;KY;KY331
usaky;KY;KY332
usaky;KY;KY333
usaky;KY;KY334
usaky;KY;KY335
usaky;KY;KY336
usaky;KY;KY337
usaky;KY;KY338
usaky;KY;KY339
usaky;KY;KY340
usaky;KY;KY341
usaky;KY;KY342
usaky;KY;KY343
usaky;KY;KY344
usaky;KY;KY345
usaky;KY;KY346
usaky;KY;KY347
usaky;KY;KY348
usaky;KY;KY350
usaky;KY;KY351
usaky;KY;KY352
usaky;KY;KY353
usaky;KY;KY354
usaky;KY;KY355
usaky;KY;KY356
usaky;KY;KY357
usaky;KY;KY358
usaky;KY;KY359
usaky;KY;KY360
usaky;KY;KY361
usaky;KY;KY362
usaky;KY;KY363
usaky;KY;KY364
usaky;KY;KY365
usaky;KY;KY366
usaky;KY;KY367
usaky;KY;KY368
usaky;KY;KY369
usaky;KY;KY370
usaky;KY;KY371
usaky;KY;KY372
usaky;KY;KY373
usaky;KY;KY374
usaky;KY;KY375
usaky;KY;KY376
usaky;KY;KY377
usaky;KY;KY378
usaky;KY;KY379
usaky;KY;KY380
usaky;KY;KY381
usaky;KY;KY382
usaky;KY;KY383
usaky;KY;KY384
usaky;KY;KY385
usaky;KY;KY386
usaky;KY;KY387
usaky;KY;KY388
usaky;KY;KY389
usaky;KY;KY390
usaky;KY;KY391
usaky;KY;KY392
usaky;KY;KY393
usaky;KY;KY394
usaky;KY;KY395
usaky;KY;KY396
usaky;KY;KY397
usaky;KY;KY398
usaky;KY;KY399
usaky;KY;KY400
usaky;KY;KY401
usaky;KY;KY402
usaky;KY;KY403
usaky;KY;KY404
usaky;KY;KY405
usaky;KY;KY406
usaky;KY;KY407
usaky;KY;KY408
usaky;KY;KY409
usaky;KY;KY410
usaky;KY;KY411
