systemName;region;route
usami;MI;MI1
usami;MI;MI3
usami;MI;MI5
usami;MI;MI6
usami;MI;MI8
usami;MI;MI10
usami;MI;MI11
usami;MI;MI13
usami;MI;MI14
usami;MI;MI15
usami;MI;MI17
usami;MI;MI18
usami;MI;MI19
usami;MI;MI20
usami;MI;MI21
usami;MI;MI22
usami;MI;MI24
usami;MI;MI25
usami;MI;MI26
usami;MI;MI27
usami;MI;MI28
usami;MI;MI29
usami;MI;MI30
usami;MI;MI32
usami;MI;MI33
usami;MI;MI34
usami;MI;MI35
usami;MI;MI36
usami;MI;MI37
usami;MI;MI38
usami;MI;MI39
usami;MI;MI40
usami;MI;MI42
usami;MI;MI43
usami;MI;MI44
usami;MI;MI45
usami;MI;MI46
usami;MI;MI47
usami;MI;MI48
usami;MI;MI49
usami;MI;MI50
usami;MI;MI51
usami;MI;MI52
usami;MI;MI53
usami;MI;MI54
usami;MI;MI55
usami;MI;MI57
usami;MI;MI58
usami;MI;MI59
usami;MI;MI60
usami;MI;MI61
usami;MI;MI62
usami;MI;MI63
usami;MI;MI64
usami;MI;MI65
usami;MI;MI66
usami;MI;MI67
usami;MI;MI68
usami;MI;MI69
usami;MI;MI71
usami;MI;MI72
usami;MI;MI73
usami;MI;MI75
usami;MI;MI77
usami;MI;MI78
usami;MI;MI79
usami;MI;MI80
usami;MI;MI81
usami;MI;MI82
usami;MI;MI83
usami;MI;MI84
usami;MI;MI85
usami;MI;MI86
usami;MI;MI88
usami;MI;MI89
usami;MI;MI90
usami;MI;MI91
usami;MI;MI93
usami;MI;MI94
usami;MI;MI95
usami;MI;MI96
usami;MI;MI97
usami;MI;MI99
usami;MI;MI100
usami;MI;MI102
usami;MI;MI103
usami;MI;MI104
usami;MI;MI106
usami;MI;MI109
usami;MI;MI113
usami;MI;MI115
usami;MI;MI116
usami;MI;MI117
usami;MI;MI119
usami;MI;MI120
usami;MI;MI121
usami;MI;MI123
usami;MI;MI124
usami;MI;MI125
usami;MI;MI129
usami;MI;MI134
usami;MI;MI136
usami;MI;MI138
usami;MI;MI139
usami;MI;MI140
usami;MI;MI142
usami;MI;MI143
usami;MI;MI149
usami;MI;MI150
usami;MI;MI152
usami;MI;MI153
usami;MI;MI154
usami;MI;MI155
usami;MI;MI156
usami;MI;MI157
usami;MI;MI179
usami;MI;MI183
usami;MI;MI185
usami;MI;MI186
usami;MI;MI188
usami;MI;MI189
usami;MI;MI199
usami;MI;MI201
usami;MI;MI203
usami;MI;MI204
usami;MI;MI211
usami;MI;MI212
usami;MI;MI216
usami;MI;MI217
usami;MI;MI221
usami;MI;MI222
usami;MI;MI227
usami;MI;MI231
usami;MI;MI239
usami;MI;MI247
usami;MI;MI294
usami;MI;MI311
usami;MI;MI343
usami;MI;MI553
