systemName;region;route
usamn;MN;MN1
usamn;MN;MN3
usamn;MN;MN4
usamn;MN;MN5
usamn;MN;MN6
usamn;MN;MN7
usamn;MN;MN9
usamn;MN;MN11
usamn;MN;MN13
usamn;MN;MN15
usamn;MN;MN16
usamn;MN;MN18
usamn;MN;MN19
usamn;MN;MN20
usamn;MN;MN21
usamn;MN;MN22
usamn;MN;MN23
usamn;MN;MN24
usamn;MN;MN25
usamn;MN;MN26
usamn;MN;MN27
usamn;MN;MN28
usamn;MN;MN29
usamn;MN;MN30
usamn;MN;MN32
usamn;MN;MN33
usamn;MN;MN34
usamn;MN;MN36
usamn;MN;MN37
usamn;MN;MN38
usamn;MN;MN39
usamn;MN;MN40
usamn;MN;MN41
usamn;MN;MN42
usamn;MN;MN43
usamn;MN;MN44
usamn;MN;MN45
usamn;MN;MN46
usamn;MN;MN47
usamn;MN;MN48
usamn;MN;MN50
usamn;MN;MN51
usamn;MN;MN55
usamn;MN;MN56
usamn;MN;MN57
usamn;MN;MN58
usamn;MN;MN60
usamn;MN;MN61
usamn;MN;MN62
usamn;MN;MN64
usamn;MN;MN65
usamn;MN;MN67
usamn;MN;MN68
usamn;MN;MN70
usamn;MN;MN72
usamn;MN;MN73
usamn;MN;MN74
usamn;MN;MN76
usamn;MN;MN77
usamn;MN;MN78
usamn;MN;MN79
usamn;MN;MN80
usamn;MN;MN83
usamn;MN;MN84
usamn;MN;MN86
usamn;MN;MN87
usamn;MN;MN89
usamn;MN;MN91
usamn;MN;MN92
usamn;MN;MN93
usamn;MN;MN95
usamn;MN;MN96
usamn;MN;MN97
usamn;MN;MN99
usamn;MN;MN100
usamn;MN;MN101
usamn;MN;MN102
usamn;MN;MN104
usamn;MN;MN105
usamn;MN;MN106
usamn;MN;MN107
usamn;MN;MN108
usamn;MN;MN109
usamn;MN;MN111
usamn;MN;MN113
usamn;MN;MN114
usamn;MN;MN115
usamn;MN;MN117
usamn;MN;MN119
usamn;MN;MN120
usamn;MN;MN121
usamn;MN;MN123
usamn;MN;MN135
usamn;MN;MN139
usamn;MN;MN149
usamn;MN;MN156
usamn;MN;MN169
usamn;MN;MN171
usamn;MN;MN172
usamn;MN;MN175
usamn;MN;MN194
usamn;MN;MN197
usamn;MN;MN200
usamn;MN;MN210
usamn;MN;MN217
usamn;MN;MN219
usamn;MN;MN220
usamn;MN;MN222
usamn;MN;MN223
usamn;MN;MN226
usamn;MN;MN237
usamn;MN;MN238
usamn;MN;MN241
usamn;MN;MN243
usamn;MN;MN244
usamn;MN;MN246
usamn;MN;MN247
usamn;MN;MN248
usamn;MN;MN250
usamn;MN;MN251
usamn;MN;MN252
usamn;MN;MN257
usamn;MN;MN264
usamn;MN;MN267
usamn;MN;MN269
usamn;MN;MN270
usamn;MN;MN271
usamn;MN;MN274
usamn;MN;MN280
usamn;MN;MN282
usamn;MN;MN284
usamn;MN;MN286
usamn;MN;MN287
usamn;MN;MN308
usamn;MN;MN310
usamn;MN;MN313
usamn;MN;MN316
usamn;MN;MN317
usamn;MN;MN336
usamn;MN;MN371
usamn;MN;MN610
