systemName;region;route
usamt;MT;MT1
usamt;MT;MT2
usamt;MT;MT3
usamt;MT;MT5
usamt;MT;MT7
usamt;MT;MT13
usamt;MT;MT16
usamt;MT;MT17
usamt;MT;MT19
usamt;MT;MT21
usamt;MT;MT23
usamt;MT;MT24
usamt;MT;MT25
usamt;MT;MT28
usamt;MT;MT35
usamt;MT;MT37
usamt;MT;MT38
usamt;MT;MT39
usamt;MT;MT40
usamt;MT;MT41
usamt;MT;MT42
usamt;MT;MT43
usamt;MT;MT44
usamt;MT;MT47
usamt;MT;MT48
usamt;MT;MT49
usamt;MT;MT55
usamt;MT;MT56
usamt;MT;MT59
usamt;MT;MT64
usamt;MT;MT66
usamt;MT;MT67
usamt;MT;MT68
usamt;MT;MT69
usamt;MT;MT72
usamt;MT;MT77
usamt;MT;MT78
usamt;MT;MT80
usamt;MT;MT81
usamt;MT;MT82
usamt;MT;MT83
usamt;MT;MT84
usamt;MT;MT85
usamt;MT;MT86
usamt;MT;MT87
usamt;MT;MT117
usamt;MT;MT135
usamt;MT;MT141
usamt;MT;MT200
usamt;MT;MT200S
usamt;MT;MT201
usamt;MT;MT287
usamt;MT;MT323
