systemName;region;route
usanc;NC;NC2
usanc;NC;NC3
usanc;NC;NC4
usanc;NC;NC5
usanc;NC;NC7
usanc;NC;NC8
usanc;NC;NC9
usanc;NC;NC10
usanc;NC;NC11
usanc;NC;NC12
usanc;NC;NC14
usanc;NC;NC16
usanc;NC;NC18
usanc;NC;NC20
usanc;NC;NC22
usanc;NC;NC24
usanc;NC;NC27
usanc;NC;NC28
usanc;NC;NC30
usanc;NC;NC32
usanc;NC;NC33
usanc;NC;NC34
usanc;NC;NC35
usanc;NC;NC37
usanc;NC;NC38
usanc;NC;NC39
usanc;NC;NC41
usanc;NC;NC42
usanc;NC;NC43
usanc;NC;NC45
usanc;NC;NC46
usanc;NC;NC47
usanc;NC;NC48
usanc;NC;NC49
usanc;NC;NC50
usanc;NC;NC51
usanc;NC;NC53
usanc;NC;NC54
usanc;NC;NC55
usanc;NC;NC56
usanc;NC;NC57
usanc;NC;NC58
usanc;NC;NC59
usanc;NC;NC60
usanc;NC;NC61
usanc;NC;NC62
usanc;NC;NC63
usanc;NC;NC65
usanc;NC;NC66
usanc;NC;NC67
usanc;NC;NC68
usanc;NC;NC69
usanc;NC;NC71
usanc;NC;NC72
usanc;NC;NC73
usanc;NC;NC74
usanc;NC;NC75
usanc;NC;NC78
usanc;NC;NC79
usanc;NC;NC80
usanc;NC;NC81
usanc;NC;NC82
usanc;NC;NC83
usanc;NC;NC84
usanc;NC;NC86
usanc;NC;NC87
usanc;NC;NC88
usanc;NC;NC89
usanc;NC;NC90
usanc;NC;NC91
usanc;NC;NC92
usanc;NC;NC93
usanc;NC;NC94
usanc;NC;NC96
usanc;NC;NC97
usanc;NC;NC98
usanc;NC;NC99
usanc;NC;NC100
usanc;NC;NC101
usanc;NC;NC102
usanc;NC;NC103
usanc;NC;NC104
usanc;NC;NC105
usanc;NC;NC106
usanc;NC;NC107
usanc;NC;NC108
usanc;NC;NC109
usanc;NC;NC110
usanc;NC;NC111
usanc;NC;NC112
usanc;NC;NC113
usanc;NC;NC114
usanc;NC;NC115
usanc;NC;NC116
usanc;NC;NC118
usanc;NC;NC119
usanc;NC;NC120
usanc;NC;NC121
usanc;NC;NC122
usanc;NC;NC123
usanc;NC;NC124
usanc;NC;NC125
usanc;NC;NC126
usanc;NC;NC127
usanc;NC;NC128
usanc;NC;NC130
usanc;NC;NC131
usanc;NC;NC132
usanc;NC;NC133
usanc;NC;NC134
usanc;NC;NC135
usanc;NC;NC136
usanc;NC;NC137
usanc;NC;NC138
usanc;NC;NC141
usanc;NC;NC142
usanc;NC;NC143
usanc;NC;NC144
usanc;NC;NC145
usanc;NC;NC146
usanc;NC;NC147
usanc;NC;NC148
usanc;NC;NC149
usanc;NC;NC150
usanc;NC;NC151
usanc;NC;NC152
usanc;NC;NC153
usanc;NC;NC157
usanc;NC;NC159
usanc;NC;NC160
usanc;NC;NC161
usanc;NC;NC162
usanc;NC;NC163
usanc;NC;NC168
usanc;NC;NC171
usanc;NC;NC172
usanc;NC;NC175
usanc;NC;NC177
usanc;NC;NC179
usanc;NC;NC180
usanc;NC;NC181
usanc;NC;NC182
usanc;NC;NC183
usanc;NC;NC184
usanc;NC;NC186
usanc;NC;NC191
usanc;NC;NC194
usanc;NC;NC197
usanc;NC;NC198
usanc;NC;NC200
usanc;NC;NC205
usanc;NC;NC207
usanc;NC;NC208
usanc;NC;NC209
usanc;NC;NC210
usanc;NC;NC211
usanc;NC;NC212
usanc;NC;NC213
usanc;NC;NC214
usanc;NC;NC215
usanc;NC;NC216
usanc;NC;NC217
usanc;NC;NC218
usanc;NC;NC222
usanc;NC;NC225
usanc;NC;NC226
usanc;NC;NC231
usanc;NC;NC241
usanc;NC;NC242
usanc;NC;NC251
usanc;NC;NC261
usanc;NC;NC268
usanc;NC;NC273
usanc;NC;NC274
usanc;NC;NC275
usanc;NC;NC279
usanc;NC;NC280
usanc;NC;NC281
usanc;NC;NC294
usanc;NC;NC304
usanc;NC;NC305
usanc;NC;NC306
usanc;NC;NC307
usanc;NC;NC308
usanc;NC;NC343
usanc;NC;NC344
usanc;NC;NC345
usanc;NC;NC381
usanc;NC;NC400
usanc;NC;NC403
usanc;NC;NC410
usanc;NC;NC411
usanc;NC;NC461
usanc;NC;NC481
usanc;NC;NC522
usanc;NC;NC540
usanc;NC;NC561
usanc;NC;NC581
usanc;NC;NC610
usanc;NC;NC615
usanc;NC;NC690
usanc;NC;NC694
usanc;NC;NC700
usanc;NC;NC704
usanc;NC;NC705
usanc;NC;NC710
usanc;NC;NC711
usanc;NC;NC731
usanc;NC;NC740
usanc;NC;NC742
usanc;NC;NC751
usanc;NC;NC770
usanc;NC;NC772
usanc;NC;NC801
usanc;NC;NC901
usanc;NC;NC902
usanc;NC;NC903
usanc;NC;NC904
usanc;NC;NC905
usanc;NC;NC906
