systemName;region;route
usanv;NV;NV28
usanv;NV;NV88
usanv;NV;NV115
usanv;NV;NV116
usanv;NV;NV117
usanv;NV;NV118
usanv;NV;NV119
usanv;NV;NV120
usanv;NV;NV140
usanv;NV;NV146
usanv;NV;NV147
usanv;NV;NV156
usanv;NV;NV157
usanv;NV;NV158
usanv;NV;NV159
usanv;NV;NV160
usanv;NV;NV161
usanv;NV;NV163
usanv;NV;NV164
usanv;NV;NV165
usanv;NV;NV168
usanv;NV;NV169
usanv;NV;NV170
usanv;NV;NV172
usanv;NV;NV173
usanv;NV;NV206
usanv;NV;NV207
usanv;NV;NV208
usanv;NV;CC215
usanv;NV;NV221
usanv;NV;NV223
usanv;NV;NV225
usanv;NV;NV226
usanv;NV;NV227
usanv;NV;NV228
usanv;NV;NV229
usanv;NV;NV230
usanv;NV;NV231
usanv;NV;NV232
usanv;NV;NV233
usanv;NV;NV264
usanv;NV;NV265
usanv;NV;NV266
usanv;NV;NV267
usanv;NV;NV278
usanv;NV;NV289
usanv;NV;NV290
usanv;NV;NV292
usanv;NV;NV293
usanv;NV;NV294
usanv;NV;NV304
usanv;NV;NV305
usanv;NV;NV306
usanv;NV;NV317
usanv;NV;NV318
usanv;NV;NV319
usanv;NV;NV320
usanv;NV;NV321
usanv;NV;NV322
usanv;NV;NV338
usanv;NV;NV339
usanv;NV;NV340
usanv;NV;NV341
usanv;NV;NV342
usanv;NV;NV359
usanv;NV;NV360
usanv;NV;NV361
usanv;NV;NV372
usanv;NV;NV373
usanv;NV;NV374
usanv;NV;NV375
usanv;NV;NV376
usanv;NV;NV377
usanv;NV;NV379
usanv;NV;NV396
usanv;NV;NV397
usanv;NV;NV398
usanv;NV;NV399
usanv;NV;NV400
usanv;NV;NV401
usanv;NV;NV425
usanv;NV;NV427
usanv;NV;NV430
usanv;NV;NV431
usanv;NV;NV439
usanv;NV;NV443
usanv;NV;NV445
usanv;NV;NV446
usanv;NV;NV447
usanv;NV;NV487
usanv;NV;NV488
usanv;NV;NV490
usanv;NV;NV535
usanv;NV;NV562
usanv;NV;NV564
usanv;NV;NV573
usanv;NV;NV574
usanv;NV;NV578
usanv;NV;NV579
usanv;NV;NV582
usanv;NV;NV592
usanv;NV;NV593
usanv;NV;NV595
usanv;NV;NV596
usanv;NV;NV599
usanv;NV;NV604
usanv;NV;NV610
usanv;NV;NV612
usanv;NV;NV613
usanv;NV;NV647
usanv;NV;NV648
usanv;NV;NV653
usanv;NV;NV655
usanv;NV;NV659
usanv;NV;NV667
usanv;NV;NV671
usanv;NV;NV715
usanv;NV;NV718
usanv;NV;NV720
usanv;NV;NV722
usanv;NV;NV723
usanv;NV;NV726
usanv;NV;NV756
usanv;NV;NV757
usanv;NV;NV759
usanv;NV;NV760
usanv;NV;NV766
usanv;NV;NV767
usanv;NV;NV773
usanv;NV;NV774
usanv;NV;NV787
usanv;NV;NV789
usanv;NV;NV794
usanv;NV;NV795
usanv;NV;NV796
usanv;NV;NV806
usanv;NV;NV822
usanv;NV;NV823
usanv;NV;NV824
usanv;NV;NV825
usanv;NV;NV827
usanv;NV;NV828
usanv;NV;NV829
usanv;NV;NV839
usanv;NV;NV844
usanv;NV;NV854
usanv;NV;NV856
usanv;NV;NV860
usanv;NV;NV877
usanv;NV;NV880
usanv;NV;NV892
usanv;NV;NV893
usanv;NV;NV894
usanv;NV;NV895
