systemName;region;route
usaor;OR;OR3
usaor;OR;OR6
usaor;OR;OR7
usaor;OR;OR8
usaor;OR;OR10
usaor;OR;OR11
usaor;OR;OR18
usaor;OR;OR19
usaor;OR;OR22
usaor;OR;OR27
usaor;OR;OR31
usaor;OR;OR34
usaor;OR;OR35
usaor;OR;OR36
usaor;OR;OR37
usaor;OR;OR38
usaor;OR;OR39
usaor;OR;OR42
usaor;OR;OR43
usaor;OR;OR46
usaor;OR;OR47
usaor;OR;OR51
usaor;OR;OR52
usaor;OR;OR53
usaor;OR;OR58
usaor;OR;OR62
usaor;OR;OR66
usaor;OR;OR70
usaor;OR;OR74
usaor;OR;OR78
usaor;OR;OR82
usaor;OR;OR86
usaor;OR;OR99
usaor;OR;OR99E
usaor;OR;OR99W
usaor;OR;OR103
usaor;OR;OR104
usaor;OR;OR126
usaor;OR;OR127
usaor;OR;OR130
usaor;OR;OR131
usaor;OR;OR132
usaor;OR;OR138
usaor;OR;OR140
usaor;OR;OR153
usaor;OR;OR154
usaor;OR;OR164
usaor;OR;OR201
usaor;OR;OR202
usaor;OR;OR203
usaor;OR;OR204
usaor;OR;OR205
usaor;OR;OR206
usaor;OR;OR207
usaor;OR;OR210
usaor;OR;OR211
usaor;OR;OR212
usaor;OR;OR213
usaor;OR;OR214
usaor;OR;OR216
usaor;OR;OR217
usaor;OR;OR218
usaor;OR;OR219
usaor;OR;OR221
usaor;OR;OR223
usaor;OR;OR224
usaor;OR;OR226
usaor;OR;OR227
usaor;OR;OR228
usaor;OR;OR229
usaor;OR;OR230
usaor;OR;OR233
usaor;OR;OR234
usaor;OR;OR237
usaor;OR;OR238
usaor;OR;OR240
usaor;OR;OR241
usaor;OR;OR242
usaor;OR;OR244
usaor;OR;OR245
usaor;OR;OR255
usaor;OR;OR260
usaor;OR;OR281
usaor;OR;OR282
usaor;OR;OR293
usaor;OR;OR331
usaor;OR;OR332
usaor;OR;OR339
usaor;OR;OR370
usaor;OR;OR380
usaor;OR;OR402
usaor;OR;OR422
usaor;OR;OR528
usaor;OR;OR540
usaor;OR;OR542
usaor;OR;OR551
usaor;OR;OR569
