systemName;region;route
usapa;PA;PA3
usapa;PA;PA5
usapa;PA;PA8
usapa;PA;PA10
usapa;PA;PA12
usapa;PA;PA14
usapa;PA;PA16
usapa;PA;PA17
usapa;PA;PA18
usapa;PA;PA21
usapa;PA;PA23
usapa;PA;PA24
usapa;PA;PA25
usapa;PA;PA26
usapa;PA;PA27
usapa;PA;PA28
usapa;PA;PA29
usapa;PA;PA31
usapa;PA;PA32
usapa;PA;PA33
usapa;PA;PA34
usapa;PA;PA35
usapa;PA;PA36
usapa;PA;PA38
usapa;PA;PA39
usapa;PA;PA41
usapa;PA;PA42
usapa;PA;PA43
usapa;PA;PA44
usapa;PA;PA45
usapa;PA;PA46
usapa;PA;PA48
usapa;PA;PA49
usapa;PA;PA50
usapa;PA;PA51
usapa;PA;PA52
usapa;PA;PA53
usapa;PA;PA54
usapa;PA;PA56
usapa;PA;PA58
usapa;PA;PA59
usapa;PA;PA60
usapa;PA;PA61
usapa;PA;PA63
usapa;PA;PA64
usapa;PA;PA65
usapa;PA;PA66
usapa;PA;PA68
usapa;PA;PA69
usapa;PA;PA72
usapa;PA;PA73
usapa;PA;PA74
usapa;PA;PA75
usapa;PA;PA77
usapa;PA;PA82
usapa;PA;PA85
usapa;PA;PA86
usapa;PA;PA87
usapa;PA;PA88
usapa;PA;PA89
usapa;PA;PA92
usapa;PA;PA93
usapa;PA;PA94
usapa;PA;PA96
usapa;PA;PA97
usapa;PA;PA98
usapa;PA;PA99
usapa;PA;PA100
usapa;PA;PA102
usapa;PA;PA103
usapa;PA;PA104
usapa;PA;PA106
usapa;PA;PA107
usapa;PA;PA108
usapa;PA;PA110
usapa;PA;PA113
usapa;PA;PA114
usapa;PA;PA115
usapa;PA;PA116
usapa;PA;PA117
usapa;PA;PA118
usapa;PA;PA120
usapa;PA;PA121
usapa;PA;PA124
usapa;PA;PA125
usapa;PA;PA127
usapa;PA;PA128
usapa;PA;PA130
usapa;PA;PA132
usapa;PA;PA134
usapa;PA;PA136
usapa;PA;PA138
usapa;PA;PA143
usapa;PA;PA144
usapa;PA;PA145
usapa;PA;PA146
usapa;PA;PA147
usapa;PA;PA148
usapa;PA;PA150
usapa;PA;PA151
usapa;PA;PA152
usapa;PA;PA153
usapa;PA;PA154
usapa;PA;PA155
usapa;PA;PA156
usapa;PA;PA157
usapa;PA;PA158
usapa;PA;PA160
usapa;PA;PA162
usapa;PA;PA163
usapa;PA;PA164
usapa;PA;PA166
usapa;PA;PA167
usapa;PA;PA168
usapa;PA;PA170
usapa;PA;PA171
usapa;PA;PA173
usapa;PA;PA174
usapa;PA;PA177
usapa;PA;PA179
usapa;PA;PA181
usapa;PA;PA182
usapa;PA;PA183
usapa;PA;PA184
usapa;PA;PA187
usapa;PA;PA188
usapa;PA;PA191
usapa;PA;PA192
usapa;PA;PA194
usapa;PA;PA196
usapa;PA;PA198
usapa;PA;PA199
usapa;PA;PA201
usapa;PA;PA204
usapa;PA;PA208
usapa;PA;PA210
usapa;PA;PA212
usapa;PA;PA213
usapa;PA;PA214
usapa;PA;PA215
usapa;PA;PA216
usapa;PA;PA217
usapa;PA;PA218
usapa;PA;PA221
usapa;PA;PA222
usapa;PA;PA225
