systemName;region;route
usatxf;TX;FM1
usatxf;TX;RR1
usatxf;TX;FM2
usatxf;TX;FM3
usatxf;TX;FM4
usatxf;TX;FM5
usatxf;TX;FM6
usatxf;TX;FM8
usatxf;TX;FM9
usatxf;TX;FM10
usatxf;TX;FM11
usatxf;TX;FM12
usatxf;TX;FM13
usatxf;TX;FM14
usatxf;TX;FM15
usatxf;TX;FM16
usatxf;TX;FM17
usatxf;TX;FM18
usatxf;TX;FM19
usatxf;TX;FM20
usatxf;TX;FM21
usatxf;TX;FM22
usatxf;TX;FM23
usatxf;TX;FM24
usatxf;TX;FM26
usatxf;TX;FM27
usatxf;TX;FM28
usatxf;TX;FM30
usatxf;TX;FM31
usatxf;TX;FM32
usatxf;TX;FM33
usatxf;TX;FM34
usatxf;TX;FM35
usatxf;TX;FM36
usatxf;TX;FM37
usatxf;TX;FM38
usatxf;TX;FM39
usatxf;TX;FM40
usatxf;TX;FM41
usatxf;TX;FM43
usatxf;TX;FM44
usatxf;TX;FM45
usatxf;TX;FM46
usatxf;TX;FM47
usatxf;TX;FM48
usatxf;TX;FM49
usatxf;TX;FM50
usatxf;TX;FM51
usatxf;TX;FM52
usatxf;TX;FM54
usatxf;TX;FM55
usatxf;TX;FM56
usatxf;TX;FM57
usatxf;TX;FM58
usatxf;TX;FM59
usatxf;TX;FM60
usatxf;TX;FM61
usatxf;TX;FM62
usatxf;TX;FM64
usatxf;TX;FM65
usatxf;TX;FM66
usatxf;TX;FM67
usatxf;TX;FM68
usatxf;TX;FM69
usatxf;TX;FM70
usatxf;TX;FM71
usatxf;TX;FM72
usatxf;TX;FM73
usatxf;TX;FM74
usatxf;TX;FM75
usatxf;TX;FM76
usatxf;TX;FM77
usatxf;TX;FM78
usatxf;TX;FM79
usatxf;TX;FM80
usatxf;TX;FM81
usatxf;TX;FM82
usatxf;TX;FM83
usatxf;TX;FM84
usatxf;TX;FM85
usatxf;TX;FM86
usatxf;TX;FM87
usatxf;TX;FM88
usatxf;TX;FM89
usatxf;TX;FM90
usatxf;TX;FM91
usatxf;TX;FM92
usatxf;TX;FM93
usatxf;TX;FM94
usatxf;TX;FM95
usatxf;TX;FM96
usatxf;TX;FM97
usatxf;TX;FM98
usatxf;TX;FM99
usatxf;TX;FM100
usatxf;TX;FM101
usatxf;TX;FM102
usatxf;TX;FM103
usatxf;TX;FM104
usatxf;TX;FM105
usatxf;TX;FM106
usatxf;TX;FM107
usatxf;TX;FM108
usatxf;TX;FM109
usatxf;TX;FM110
usatxf;TX;FM111
usatxf;TX;FM112
usatxf;TX;FM113
usatxf;TX;FM114
usatxf;TX;FM115
usatxf;TX;FM116
usatxf;TX;FM117
usatxf;TX;FM118
usatxf;TX;FM119
usatxf;TX;FM120
usatxf;TX;FM121
usatxf;TX;FM122
usatxf;TX;FM123
usatxf;TX;FM124
usatxf;TX;FM125
usatxf;TX;FM126
usatxf;TX;FM127
usatxf;TX;FM128
usatxf;TX;FM129
usatxf;TX;FM130
usatxf;TX;FM131
usatxf;TX;FM132
usatxf;TX;FM133
usatxf;TX;FM134
usatxf;TX;FM135
usatxf;TX;FM136
usatxf;TX;FM137
usatxf;TX;FM138
usatxf;TX;FM139
usatxf;TX;FM140
usatxf;TX;FM141
usatxf;TX;FM142
usatxf;TX;FM143
usatxf;TX;FM144
usatxf;TX;FM145
usatxf;TX;FM146
usatxf;TX;FM147
usatxf;TX;FM148
usatxf;TX;FM149
usatxf;TX;FM150
usatxf;TX;FM151
usatxf;TX;FM152
usatxf;TX;FM153
usatxf;TX;FM154
usatxf;TX;FM155
usatxf;TX;FM156
usatxf;TX;FM157
usatxf;TX;FM158
usatxf;TX;FM159
usatxf;TX;FM160
usatxf;TX;FM161
usatxf;TX;FM162
usatxf;TX;FM163
usatxf;TX;FM164
usatxf;TX;FM165
usatxf;TX;FM166
usatxf;TX;FM167
usatxf;TX;FM168
usatxf;TX;FM169
usatxf;TX;FM170
usatxf;TX;FM171
usatxf;TX;FM172
usatxf;TX;FM173
usatxf;TX;FM174
usatxf;TX;FM175
usatxf;TX;FM176
usatxf;TX;FM177
usatxf;TX;FM178
usatxf;TX;FM179
usatxf;TX;FM180
usatxf;TX;FM181
usatxf;TX;FM182
usatxf;TX;FM183
usatxf;TX;FM184
usatxf;TX;FM185
usatxf;TX;FM186
usatxf;TX;FM187
usatxf;TX;FM188
usatxf;TX;FM189
usatxf;TX;FM190
usatxf;TX;FM191
usatxf;TX;FM192
usatxf;TX;FM193
usatxf;TX;FM194
usatxf;TX;FM195
usatxf;TX;FM196
usatxf;TX;FM197
usatxf;TX;FM198
usatxf;TX;FM199
usatxf;TX;FM200
usatxf;TX;FM201
usatxf;TX;FM202
usatxf;TX;FM203
usatxf;TX;FM204
usatxf;TX;FM205
usatxf;TX;FM206
usatxf;TX;FM207
usatxf;TX;FM209
usatxf;TX;FM210
usatxf;TX;FM211
usatxf;TX;FM212
usatxf;TX;FM213
usatxf;TX;FM214
usatxf;TX;FM215
usatxf;TX;FM216
usatxf;TX;FM217
usatxf;TX;FM218
usatxf;TX;FM219
usatxf;TX;FM220
usatxf;TX;FM221
usatxf;TX;FM222
usatxf;TX;FM223
usatxf;TX;FM224
usatxf;TX;FM225
usatxf;TX;FM226
usatxf;TX;FM227
usatxf;TX;FM228
usatxf;TX;FM229
usatxf;TX;FM230
usatxf;TX;FM231
usatxf;TX;FM232
usatxf;TX;FM233
usatxf;TX;FM234
usatxf;TX;FM235
usatxf;TX;FM236
usatxf;TX;FM237
usatxf;TX;FM238
usatxf;TX;FM239
usatxf;TX;FM240
usatxf;TX;FM241
usatxf;TX;FM242
usatxf;TX;FM243
usatxf;TX;FM244
usatxf;TX;FM245
usatxf;TX;FM246
usatxf;TX;FM247
usatxf;TX;FM248
usatxf;TX;FM249
usatxf;TX;FM250
usatxf;TX;FM251
usatxf;TX;FM252
usatxf;TX;FM253
usatxf;TX;FM254
usatxf;TX;FM256
usatxf;TX;FM257
usatxf;TX;FM258
usatxf;TX;FM259
usatxf;TX;FM261
usatxf;TX;FM262
usatxf;TX;FM263
usatxf;TX;FM264
usatxf;TX;FM265
usatxf;TX;FM266
usatxf;TX;FM267
usatxf;TX;FM268
usatxf;TX;FM269
usatxf;TX;FM270
usatxf;TX;FM271
usatxf;TX;FM272
usatxf;TX;FM273
usatxf;TX;FM274
usatxf;TX;FM275
usatxf;TX;FM276
usatxf;TX;FM277
usatxf;TX;FM278
usatxf;TX;FM279
usatxf;TX;FM280
usatxf;TX;FM281
usatxf;TX;FM282
usatxf;TX;FM283
usatxf;TX;FM284
usatxf;TX;FM285
usatxf;TX;FM287
usatxf;TX;FM288
usatxf;TX;FM289
usatxf;TX;FM291
usatxf;TX;FM292
usatxf;TX;FM293
usatxf;TX;FM294
usatxf;TX;FM295
usatxf;TX;FM296
usatxf;TX;FM297
usatxf;TX;FM298
usatxf;TX;FM300
usatxf;TX;FM301
usatxf;TX;FM302
usatxf;TX;FM303
usatxf;TX;FM304
usatxf;TX;FM305
usatxf;TX;FM306
usatxf;TX;FM307
usatxf;TX;FM308
usatxf;TX;FM309
usatxf;TX;FM310
usatxf;TX;FM311
usatxf;TX;FM312
usatxf;TX;FM313
usatxf;TX;FM314
usatxf;TX;FM315
usatxf;TX;FM316
usatxf;TX;FM317
usatxf;TX;FM318
usatxf;TX;FM319
usatxf;TX;FM320
usatxf;TX;FM321
usatxf;TX;FM322
usatxf;TX;FM323
usatxf;TX;FM324
usatxf;TX;FM325
usatxf;TX;FM326
usatxf;TX;FM327
usatxf;TX;FM328
usatxf;TX;FM329
usatxf;TX;FM330
usatxf;TX;FM331
usatxf;TX;FM332
usatxf;TX;FM333
usatxf;TX;FM334
usatxf;TX;FM335
usatxf;TX;FM336
usatxf;TX;FM337
usatxf;TX;FM338
usatxf;TX;FM339
usatxf;TX;FM340
usatxf;TX;FM341
usatxf;TX;FM342
usatxf;TX;FM343
usatxf;TX;FM344
usatxf;TX;FM345
usatxf;TX;FM346
