systemName;region;route
usatxfs;TX;FS1
usatxfs;TX;FS3
usatxfs;TX;FS54
usatxfs;TX;FS71
usatxfs;TX;FS91
usatxfs;TX;FS94
usatxfs;TX;FS102
usatxfs;TX;FS103
usatxfs;TX;FS118
usatxfs;TX;FS125
usatxfs;TX;FS149
usatxfs;TX;FS183
usatxfs;TX;FS293
usatxfs;TX;FS308
usatxfs;TX;FS339
usatxfs;TX;FS357
usatxfs;TX;FS378
usatxfs;TX;FS390
usatxfs;TX;FS410
usatxfs;TX;FS413
usatxfs;TX;FS439
usatxfs;TX;FS514
usatxfs;TX;FS586
usatxfs;TX;FS619
usatxfs;TX;FS655
usatxfs;TX;FS677
usatxfs;TX;FS707
usatxfs;TX;FS762
usatxfs;TX;FS782
usatxfs;TX;FS880
usatxfs;TX;FS957
usatxfs;TX;FS962
usatxfs;TX;FS980
usatxfs;TX;FS1151
usatxfs;TX;FS1189
usatxfs;TX;FS1201
usatxfs;TX;FS1237
usatxfs;TX;FS1330
usatxfs;TX;FS1366
usatxfs;TX;FS1434
usatxfs;TX;FS1487
usatxfs;TX;FS1499
usatxfs;TX;FS1501
usatxfs;TX;FS1541
usatxfs;TX;FS1571
usatxfs;TX;FS1637
usatxfs;TX;FS1713
usatxfs;TX;FS1825
usatxfs;TX;FS1873
usatxfs;TX;FS1883
usatxfs;TX;FS1919
usatxfs;TX;FS1947
usatxfs;TX;FS1963
usatxfs;TX;FS2098
usatxfs;TX;FS2155
usatxfs;TX;FS2247
usatxfs;TX;FS2285
usatxfs;TX;FS2296
usatxfs;TX;FS2361
usatxfs;TX;FS2397
usatxfs;TX;FS3007
usatxfs;TX;FS3127
usatxfs;TX;FS3143
usatxfs;TX;FS3370
