systemName;region;route
usatxs;TX;Spr3
usatxs;TX;Spr5
usatxs;TX;Spr6
usatxs;TX;Spr10
usatxs;TX;Spr16
usatxs;TX;Spr17
usatxs;TX;Spr19
usatxs;TX;Spr22
usatxs;TX;Spr24
usatxs;TX;Spr26
usatxs;TX;Spr28
usatxs;TX;Spr29
usatxs;TX;Spr30
usatxs;TX;Spr31
usatxs;TX;Spr35
usatxs;TX;Spr37
usatxs;TX;Spr38
usatxs;TX;Spr45
usatxs;TX;Spr52
usatxs;TX;Spr54
usatxs;TX;Spr56
usatxs;TX;Spr57
usatxs;TX;Spr59
usatxs;TX;Spr63
usatxs;TX;Spr65
usatxs;TX;Spr67
usatxs;TX;Spr69
usatxs;TX;Spr72
usatxs;TX;Spr73
usatxs;TX;Spr74
usatxs;TX;Spr77
usatxs;TX;Spr78
usatxs;TX;Spr80
usatxs;TX;Spr83
usatxs;TX;Spr85
usatxs;TX;Spr86
usatxs;TX;Spr87
usatxs;TX;Spr91
usatxs;TX;Spr92
usatxs;TX;Spr93
usatxs;TX;Spr95
usatxs;TX;Spr97
usatxs;TX;Spr100
usatxs;TX;Spr102
usatxs;TX;Spr104
usatxs;TX;Spr108
usatxs;TX;Spr112
usatxs;TX;Spr113
usatxs;TX;Spr114
usatxs;TX;Spr115
usatxs;TX;Spr117
usatxs;TX;Spr119
usatxs;TX;Spr122
usatxs;TX;Spr125
usatxs;TX;Spr126
usatxs;TX;Spr129
usatxs;TX;Spr131
usatxs;TX;Spr133
usatxs;TX;Spr134
usatxs;TX;Spr135
usatxs;TX;Spr136
usatxs;TX;Spr137
usatxs;TX;Spr138
usatxs;TX;Spr139
usatxs;TX;Spr140
usatxs;TX;Spr144
usatxs;TX;Spr146
usatxs;TX;Spr147
usatxs;TX;Spr148
usatxs;TX;Spr152
usatxs;TX;Spr156
usatxs;TX;Spr158
usatxs;TX;Spr159
usatxs;TX;Spr161
usatxs;TX;Spr162
usatxs;TX;Spr164
usatxs;TX;Spr165
usatxs;TX;Spr169
usatxs;TX;Spr172
usatxs;TX;Spr174
usatxs;TX;Spr176
usatxs;TX;Spr180
usatxs;TX;Spr185
usatxs;TX;Spr186
usatxs;TX;Spr188
usatxs;TX;Spr190
usatxs;TX;Spr191
usatxs;TX;Spr192
usatxs;TX;Spr194
usatxs;TX;Spr195
usatxs;TX;Spr196
usatxs;TX;Spr197
usatxs;TX;Spr199
usatxs;TX;Spr202
usatxs;TX;Spr203
usatxs;TX;Spr204
usatxs;TX;Spr213
usatxs;TX;Spr215
usatxs;TX;Spr216
usatxs;TX;Spr226
usatxs;TX;Spr228
usatxs;TX;Spr231
usatxs;TX;Spr233
usatxs;TX;Spr234
usatxs;TX;Spr235
usatxs;TX;Spr239
usatxs;TX;Spr240
usatxs;TX;Spr242
usatxs;TX;Spr244
usatxs;TX;Spr245
usatxs;TX;Spr246
usatxs;TX;Spr247
usatxs;TX;Spr248
usatxs;TX;Spr259
usatxs;TX;Spr260
usatxs;TX;Spr261
usatxs;TX;Spr263
usatxs;TX;Spr264
usatxs;TX;Spr272
usatxs;TX;Spr273
usatxs;TX;Spr277
usatxs;TX;Spr278
usatxs;TX;Spr280
usatxs;TX;Spr290
usatxs;TX;Spr294
usatxs;TX;Spr297
usatxs;TX;Spr298
usatxs;TX;Spr299
usatxs;TX;Spr302
usatxs;TX;Spr303
usatxs;TX;Spr309
usatxs;TX;Spr311
usatxs;TX;Spr312
usatxs;TX;Spr316
usatxs;TX;Spr317
usatxs;TX;Spr320
usatxs;TX;Spr324
usatxs;TX;Spr325
usatxs;TX;Spr326
usatxs;TX;Spr327
