systemName;region;route
usaus;CT;US1
usaus;DC;US1
usaus;FL;US1
usaus;GA;US1
usaus;MA;US1
usaus;MD;US1
usaus;ME;US1
usaus;NC;US1
usaus;NH;US1
usaus;NJ;US1
usaus;NY;US1
usaus;PA;US1
usaus;RI;US1
usaus;SC;US1
usaus;VA;US1
usaus;ID;US2
usaus;ME;US2
usaus;MI;US2
usaus;MN;US2
usaus;MT;US2
usaus;ND;US2
usaus;NH;US2
usaus;NY;US2
usaus;VT;US2
usaus;WA;US2
usaus;WI;US2
usaus;MA;US3
usaus;NH;US3
usaus;NH;US4
usaus;NY;US4
usaus;VT;US4
usaus;CT;US5
usaus;MA;US5
usaus;VT;US5
usaus;CA;US6
usaus;CO;US6
usaus;CT;US6
usaus;IA;US6
usaus;IL;US6
usaus;IN;US6
usaus;MA;US6
usaus;NE;US6
usaus;NV;US6
usaus;NY;US6
usaus;OH;US6
usaus;PA;US6
usaus;RI;US6
usaus;UT;US6
usaus;PA;US6N
usaus;CT;US7
usaus;MA;US7
usaus;VT;US7
usaus;MI;US8
usaus;MN;US8
usaus;WI;US8
usaus;DE;US9
usaus;NJ;US9
usaus;NY;US9
usaus;NY;US9W
usaus;MI;US10
usaus;MN;US10
usaus;ND;US10
usaus;WI;US10
usaus;AL;US11
usaus;GA;US11
usaus;LA;US11
usaus;MD;US11
usaus;MS;US11
usaus;NY;US11
usaus;PA;US11
usaus;TN;US11
usaus;VA;US11
usaus;WV;US11
usaus;TN;US11E
usaus;VA;US11E
usaus;TN;US11W
usaus;VA;US11W
usaus;ID;US12
usaus;IL;US12
usaus;IN;US12
usaus;MI;US12
usaus;MN;US12
usaus;MT;US12
usaus;ND;US12
usaus;SD;US12
usaus;WA;US12
usaus;WI;US12
usaus;DE;US13
usaus;MD;US13
usaus;NC;US13
usaus;PA;US13
usaus;VA;US13
usaus;IL;US14
usaus;MN;US14
usaus;SD;US14
usaus;WI;US14
usaus;WY;US14
usaus;MD;US15
usaus;NC;US15
usaus;NY;US15
usaus;PA;US15
usaus;SC;US15
usaus;VA;US15
usaus;SD;US16
usaus;WY;US16
usaus;FL;US17
usaus;GA;US17
usaus;NC;US17
usaus;SC;US17
usaus;VA;US17
usaus;IA;US18
usaus;SD;US18
usaus;WI;US18
usaus;WY;US18
usaus;FL;US19
usaus;GA;US19
usaus;NC;US19
usaus;PA;US19
usaus;TN;US19
usaus;VA;US19
usaus;WV;US19
usaus;NC;US19E
usaus;TN;US19E
usaus;NC;US19W
usaus;TN;US19W
usaus;IA;US20
usaus;ID;US20
usaus;IL;US20
usaus;IN;US20
usaus;MA;US20
usaus;MT;US20
usaus;NE;US20
usaus;NY;US20
usaus;OH;US20
usaus;OR;US20
usaus;PA;US20
usaus;WY;US20
usaus;NC;US21
usaus;SC;US21
usaus;VA;US21
usaus;NJ;US22
usaus;OH;US22
usaus;PA;US22
usaus;WV;US22
usaus;FL;US23
usaus;GA;US23
usaus;KY;US23
usaus;MI;US23
usaus;NC;US23
usaus;OH;US23
usaus;TN;US23
usaus;VA;US23
usaus;CO;US24
usaus;IL;US24
usaus;IN;US24
usaus;KS;US24
usaus;MI;US24
usaus;MO;US24
usaus;OH;US24
usaus;GA;US25
usaus;KY;US25
usaus;NC;US25
usaus;SC;US25
usaus;TN;US25
usaus;KY;US25E
usaus;TN;US25E
usaus;KY;US25W
usaus;TN;US25W
usaus;ID;US26
usaus;NE;US26
usaus;OR;US26
usaus;WY;US26
usaus;FL;US27
usaus;GA;US27
usaus;IN;US27
usaus;KY;US27
usaus;OH;US27
usaus;TN;US27
usaus;AL;US29
usaus;DC;US29
usaus;GA;US29
usaus;MD;US29
usaus;NC;US29
usaus;SC;US29
usaus;VA;US29
usaus;IA;US30
usaus;ID;US30
usaus;IL;US30
usaus;IN;US30
usaus;NE;US30
usaus;NJ;US30
usaus;OH;US30
usaus;OR;US30
usaus;PA;US30
usaus;WV;US30
usaus;WY;US30
usaus;AL;US31
usaus;IN;US31
usaus;KY;US31
usaus;MI;US31
usaus;TN;US31
usaus;KY;US31E
usaus;TN;US31E
usaus;KY;US31W
usaus;TN;US31W
usaus;IN;US33
usaus;OH;US33
usaus;VA;US33
usaus;WV;US33
usaus;CO;US34
usaus;IA;US34
usaus;IL;US34
usaus;NE;US34
usaus;IN;US35
usaus;OH;US35
usaus;WV;US35
usaus;CO;US36
usaus;IL;US36
usaus;IN;US36
usaus;KS;US36
usaus;MO;US36
usaus;OH;US36
usaus;CO;US40
usaus;DE;US40
usaus;IL;US40
usaus;IN;US40
usaus;KS;US40
usaus;MD;US40
usaus;MO;US40
usaus;NJ;US40
usaus;OH;US40
usaus;PA;US40
usaus;UT;US40
usaus;WV;US40
usaus;FL;US41
usaus;GA;US41
usaus;IL;US41
usaus;IN;US41
usaus;KY;US41
usaus;MI;US41
usaus;TN;US41
usaus;WI;US41
usaus;KY;US42
usaus;OH;US42
usaus;AL;US43
usaus;TN;US43
usaus;CT;US44
usaus;MA;US44
usaus;NY;US44
usaus;RI;US44
usaus;AL;US45
usaus;IL;US45
usaus;KY;US45
usaus;MI;US45
usaus;MS;US45
usaus;TN;US45
usaus;WI;US45
usaus;TN;US45E
usaus;TN;US45W
usaus;NJ;US46
usaus;VA;US48
usaus;WV;US48
usaus;AR;US49
usaus;MS;US49
usaus;MS;US49E
usaus;MS;US49W
usaus;CA;US50
usaus;CO;US50
usaus;DC;US50
usaus;IL;US50
usaus;IN;US50
usaus;KS;US50
usaus;MD;US50
usaus;MO;US50
usaus;NV;US50
usaus;OH;US50
usaus;UT;US50
usaus;VA;US50
usaus;WV;US50
usaus;IL;US51
usaus;KY;US51
usaus;LA;US51
usaus;MS;US51
usaus;TN;US51
usaus;WI;US51
usaus;IA;US52
usaus;IL;US52
usaus;IN;US52
usaus;KY;US52
usaus;MN;US52
usaus;NC;US52
usaus;ND;US52
usaus;OH;US52
usaus;SC;US52
usaus;VA;US52
usaus;WV;US52
usaus;MN;US53
usaus;WI;US53
usaus;IL;US54
usaus;KS;US54
usaus;MO;US54
usaus;NM;US54
usaus;OK;US54
usaus;TX;US54
usaus;KS;US56
usaus;MO;US56
usaus;NM;US56
usaus;OK;US56
usaus;TX;US57
usaus;TN;US58
usaus;VA;US58
usaus;AR;US59
usaus;IA;US59
usaus;KS;US59
usaus;MN;US59
usaus;MO;US59
usaus;OK;US59
usaus;TX;US59
usaus;AZ;US60
usaus;IL;US60
usaus;KY;US60
usaus;MO;US60
usaus;NM;US60
usaus;OK;US60
usaus;TX;US60
usaus;VA;US60
usaus;WV;US60
usaus;AR;US61
usaus;IA;US61
usaus;LA;US61
usaus;MN;US61
usaus;MO;US61
usaus;MS;US61
usaus;TN;US61
usaus;WI;US61
usaus;AR;US62
usaus;IL;US62
usaus;KY;US62
usaus;MO;US62
usaus;NM;US62
usaus;NY;US62
usaus;OH;US62
usaus;OK;US62
usaus;PA;US62
usaus;TX;US62
usaus;AR;US63
usaus;IA;US63
usaus;LA;US63
usaus;MN;US63
usaus;MO;US63
usaus;WI;US63
usaus;AR;US64
usaus;AZ;US64
usaus;NC;US64
usaus;NM;US64
usaus;OK;US64
usaus;TN;US64
usaus;AR;US65
usaus;IA;US65
usaus;LA;US65
usaus;MN;US65
usaus;MO;US65
usaus;AR;US67
usaus;IA;US67
usaus;IL;US67
usaus;MO;US67
usaus;TX;US67
usaus;KY;US68
usaus;OH;US68
usaus;IA;US69
usaus;KS;US69
usaus;MN;US69
usaus;MO;US69
usaus;OK;US69
usaus;TX;US69
usaus;AR;US70
usaus;AZ;US70
usaus;NC;US70
usaus;NM;US70
usaus;OK;US70
usaus;TN;US70
usaus;TX;US70
usaus;TN;US70N
usaus;TN;US70S
usaus;AR;US71
usaus;IA;US71
usaus;LA;US71
usaus;MN;US71
usaus;MO;US71
usaus;TX;US71
usaus;AL;US72
usaus;MS;US72
usaus;TN;US72
usaus;KS;US73
usaus;NE;US73
usaus;NC;US74
usaus;TN;US74
usaus;IA;US75
usaus;KS;US75
usaus;MN;US75
usaus;NE;US75
usaus;OK;US75
usaus;TX;US75
usaus;GA;US76
usaus;NC;US76
usaus;SC;US76
usaus;TN;US76
usaus;IA;US77
usaus;KS;US77
usaus;NE;US77
usaus;OK;US77
usaus;TX;US77
usaus;AL;US78
usaus;AR;US78
usaus;GA;US78
usaus;MS;US78
usaus;SC;US78
usaus;TN;US78
usaus;AR;US79
usaus;KY;US79
usaus;LA;US79
usaus;TN;US79
usaus;TX;US79
usaus;AL;US80
usaus;GA;US80
usaus;LA;US80
usaus;MS;US80
usaus;TX;US80
usaus;KS;US81
usaus;ND;US81
usaus;NE;US81
usaus;OK;US81
usaus;SD;US81
usaus;TX;US81
usaus;AL;US82
usaus;AR;US82
usaus;GA;US82
usaus;MS;US82
usaus;NM;US82
usaus;TX;US82
usaus;KS;US83
usaus;ND;US83
usaus;NE;US83
usaus;OK;US83
usaus;SD;US83
usaus;TX;US83
usaus;AL;US84
usaus;CO;US84
usaus;GA;US84
usaus;LA;US84
usaus;MS;US84
usaus;NM;US84
usaus;TX;US84
usaus;CO;US85
usaus;ND;US85
usaus;NM;US85
usaus;SD;US85
usaus;TX;US85
usaus;WY;US85
usaus;CO;US87
usaus;MT;US87
usaus;NM;US87
usaus;TX;US87
usaus;WY;US87
usaus;AZ;US89
usaus;ID;US89
usaus;MT;US89
usaus;UT;US89
usaus;WY;US89
usaus;AZ;US89A
usaus;UT;US89A
usaus;AL;US90
usaus;FL;US90
usaus;LA;US90
usaus;MS;US90
usaus;TX;US90
usaus;ID;US91
usaus;UT;US91
usaus;FL;US92
usaus;AZ;US93
usaus;ID;US93
usaus;MT;US93
usaus;NV;US93
usaus;AZ;US95
usaus;CA;US95
usaus;ID;US95
usaus;NV;US95
usaus;OR;US95
usaus;TX;US96
usaus;CA;US97
usaus;OR;US97
usaus;WA;US97
usaus;AL;US98
usaus;FL;US98
usaus;MS;US98
usaus;CA;US101
usaus;OR;US101
usaus;WA;US101
usaus;DE;US113
usaus;MD;US113
usaus;NC;US117
usaus;KY;US119
usaus;PA;US119
usaus;WV;US119
usaus;VA;US121
usaus;GA;US123
usaus;SC;US123
usaus;KY;US127
usaus;MI;US127
usaus;OH;US127
usaus;TN;US127
usaus;FL;US129
usaus;GA;US129
usaus;NC;US129
usaus;TN;US129
usaus;NJ;US130
usaus;IN;US131
usaus;MI;US131
usaus;IA;US136
usaus;IL;US136
usaus;IN;US136
usaus;MO;US136
usaus;NE;US136
usaus;CO;US138
usaus;NE;US138
usaus;MI;US141
usaus;WI;US141
usaus;IL;US150
usaus;IN;US150
usaus;KY;US150
usaus;IA;US151
usaus;WI;US151
usaus;NC;US158
usaus;KS;US159
usaus;MO;US159
usaus;NE;US159
usaus;AZ;US160
usaus;CO;US160
usaus;KS;US160
usaus;MO;US160
usaus;NM;US160
usaus;AZ;US163
usaus;UT;US163
usaus;AR;US165
usaus;LA;US165
usaus;KS;US166
usaus;MO;US166
usaus;AR;US167
usaus;LA;US167
usaus;IA;US169
usaus;KS;US169
usaus;MN;US169
usaus;MO;US169
usaus;OK;US169
usaus;LA;US171
usaus;TX;US175
usaus;NC;US176
usaus;SC;US176
usaus;KS;US177
usaus;OK;US177
usaus;NC;US178
usaus;SC;US178
usaus;AZ;US180
usaus;NM;US180
usaus;TX;US180
usaus;TX;US181
usaus;KS;US183
usaus;NE;US183
usaus;OK;US183
usaus;SD;US183
usaus;TX;US183
usaus;UT;US189
usaus;WY;US189
usaus;LA;US190
usaus;TX;US190
usaus;AZ;US191
usaus;MT;US191
usaus;UT;US191
usaus;WY;US191
usaus;FL;US192
usaus;ID;US195
usaus;WA;US195
usaus;OR;US197
usaus;WA;US197
usaus;CA;US199
usaus;OR;US199
usaus;ME;US201
usaus;CT;US202
usaus;DE;US202
usaus;MA;US202
usaus;ME;US202
usaus;NH;US202
usaus;NJ;US202
usaus;NY;US202
usaus;PA;US202
usaus;NJ;US206
usaus;PA;US206
usaus;NY;US209
usaus;PA;US209
usaus;VA;US211
usaus;MN;US212
usaus;MT;US212
usaus;SD;US212
usaus;WY;US212
usaus;IA;US218
usaus;MN;US218
usaus;MD;US219
usaus;NY;US219
usaus;PA;US219
usaus;VA;US219
usaus;WV;US219
usaus;MD;US220
usaus;NC;US220
usaus;PA;US220
usaus;VA;US220
