systemName;region;route
usawi;WI;WI11
usawi;WI;WI13
usawi;WI;WI15
usawi;WI;WI16
usawi;WI;WI17
usawi;WI;WI19
usawi;WI;WI20
usawi;WI;WI21
usawi;WI;WI22
usawi;WI;WI23
usawi;WI;WI24
usawi;WI;WI25
usawi;WI;WI26
usawi;WI;WI27
usawi;WI;WI28
usawi;WI;WI29
usawi;WI;WI30
usawi;WI;WI31
usawi;WI;WI32
usawi;WI;WI33
usawi;WI;WI34
usawi;WI;WI35
usawi;WI;WI36
usawi;WI;WI37
usawi;WI;WI38
usawi;WI;WI39
usawi;WI;WI40
usawi;WI;WI42
usawi;WI;WI44
usawi;WI;WI46
usawi;WI;WI47
usawi;WI;WI48
usawi;WI;WI49
usawi;WI;WI50
usawi;WI;WI52
usawi;WI;WI54
usawi;WI;WI55
usawi;WI;WI56
usawi;WI;WI57
usawi;WI;WI58
usawi;WI;WI59
usawi;WI;WI60
usawi;WI;WI64
usawi;WI;WI65
usawi;WI;WI66
usawi;WI;WI67
usawi;WI;WI68
usawi;WI;WI69
usawi;WI;WI70
usawi;WI;WI71
usawi;WI;WI72
usawi;WI;WI73
usawi;WI;WI76
usawi;WI;WI77
usawi;WI;WI78
usawi;WI;WI79
usawi;WI;WI80
usawi;WI;WI81
usawi;WI;WI82
usawi;WI;WI83
usawi;WI;WI85
usawi;WI;WI86
usawi;WI;WI87
usawi;WI;WI88
usawi;WI;WI89
usawi;WI;WI91
usawi;WI;WI92
usawi;WI;WI93
usawi;WI;WI95
usawi;WI;WI96
usawi;WI;WI97
usawi;WI;WI98
usawi;WI;WI100
usawi;WI;WI101
usawi;WI;WI102
usawi;WI;WI104
usawi;WI;WI105
usawi;WI;WI106
usawi;WI;WI107
usawi;WI;WI108
usawi;WI;WI110
usawi;WI;WI111
usawi;WI;WI112
usawi;WI;WI113
usawi;WI;WI114
usawi;WI;WI116
usawi;WI;WI117
usawi;WI;WI118
usawi;WI;WI119
usawi;WI;WI120
usawi;WI;WI121
usawi;WI;WI122
usawi;WI;WI124
usawi;WI;WI125
usawi;WI;WI126
usawi;WI;WI127
usawi;WI;WI128
usawi;WI;WI129
usawi;WI;WI130
usawi;WI;WI131
usawi;WI;WI133
usawi;WI;WI134
usawi;WI;WI136
usawi;WI;WI137
usawi;WI;WI138
usawi;WI;WI139
usawi;WI;WI140
usawi;WI;WI142
usawi;WI;WI144
usawi;WI;WI145
usawi;WI;WI146
usawi;WI;WI147
usawi;WI;WI152
usawi;WI;WI153
usawi;WI;WI154
usawi;WI;WI155
usawi;WI;WI156
usawi;WI;WI157
usawi;WI;WI158
usawi;WI;WI160
usawi;WI;WI161
usawi;WI;WI162
usawi;WI;WI164
usawi;WI;WI165
usawi;WI;WI167
usawi;WI;WI169
usawi;WI;WI170
usawi;WI;WI171
usawi;WI;WI172
usawi;WI;WI173
usawi;WI;WI175
usawi;WI;WI178
usawi;WI;WI179
usawi;WI;WI180
usawi;WI;WI181
usawi;WI;WI182
usawi;WI;WI186
usawi;WI;WI187
usawi;WI;WI188
usawi;WI;WI190
usawi;WI;WI191
usawi;WI;WI193
usawi;WI;WI195
usawi;WI;WI213
usawi;WI;WI241
usawi;WI;WI243
usawi;WI;WI253
usawi;WI;WI310
usawi;WI;WI312
usawi;WI;WI318
usawi;WI;WI441
usawi;WI;WI794
